"","ID","Lon","Lat","General","PROVINCE","Kulbicki","crypto5BROF","crypto5BRIF","pare5BRin","pare5BRout"
"1","V1",93.64,8.38,"Fished","Andaman","Central Indo_Pacific",770,1777,47,32
"2","V2",93.08,8.38,"Fished","Andaman","Central Indo_Pacific",947,765,21,27
"3","V3",93.16,8.38,"Fished","Andaman","Central Indo_Pacific",933,1087,26,28
"4","V4",92.84,8.86,"Fished","Andaman","Central Indo_Pacific",664,713,20,23
"5","V5",92.84,8.78,"Fished","Andaman","Central Indo_Pacific",507,897,25,26
"6","V6",93.16,8.22,"Fished","Andaman","Central Indo_Pacific",901,328,22,34
"7","V7",92.76,9.26,"Fished","Andaman","Central Indo_Pacific",902,476,21,24
"8","V8",92.76,9.1,"Fished","Andaman","Central Indo_Pacific",781,382,27,14
"9","V9",92.84,9.1,"Fished","Andaman","Central Indo_Pacific",670,847,27,13
"10","V10",93,8.46,"Fished","Andaman","Central Indo_Pacific",750,527,27,27
"11","V11",93.08,8.22,"Fished","Andaman","Central Indo_Pacific",1127,414,19,29
"12","V12",93.08,8.3,"Fished","Andaman","Central Indo_Pacific",1109,567,17,33
"13","V13",93.64,7.02,"Fished","Andaman","Central Indo_Pacific",2717,2758,20,31
"14","V14",93.72,6.94,"Fished","Andaman","Central Indo_Pacific",2630,3015,18,38
"15","V15",93.24,8.3,"Fished","Andaman","Central Indo_Pacific",1064,760,29,43
"16","V16",93.56,7.98,"Fished","Andaman","Central Indo_Pacific",1367,1325,30,33
"17","V17",93.56,7.9,"Fished","Andaman","Central Indo_Pacific",1409,1801,42,30
"18","V18",93.72,7.26,"Fished","Andaman","Central Indo_Pacific",1374,296,38,37
"19","V19",93.64,7.26,"Fished","Andaman","Central Indo_Pacific",1386,468,35,41
"20","V20",92.84,9.26,"Fished","Andaman","Central Indo_Pacific",679,993,28,19
"21","V21",92.68,9.18,"Fished","Andaman","Central Indo_Pacific",758,907,23,16
"22","V22",93.32,7.9,"Fished","Andaman","Central Indo_Pacific",1631,2466,28,23
"23","V23",93.8,6.78,"Fished","Andaman","Central Indo_Pacific",1773,3065,60,34
"24","V24",92.36,10.78,"Fished","Andaman","Central Indo_Pacific",1652,1897,15,19
"25","V25",92.52,10.94,"Fished","Andaman","Central Indo_Pacific",1251,1093,29,32
"26","V26",92.44,10.86,"Fished","Andaman","Central Indo_Pacific",1683,2160,24,43
"27","V27",93.64,7.42,"Fished","Andaman","Central Indo_Pacific",1057,805,45,42
"28","V28",93.64,7.34,"Fished","Andaman","Central Indo_Pacific",1362,879,42,41
"29","V29",93.64,7.18,"Fished","Andaman","Central Indo_Pacific",1518,900,10,23
"30","V30",93,13.66,"Fished","Andaman","Central Indo_Pacific",1473,2446,27,8
"31","V31",93.08,13.66,"Fished","Andaman","Central Indo_Pacific",1312,2694,29,7
"32","V32",92.2,10.94,"Fished","Andaman","Central Indo_Pacific",995,1049,17,27
"33","V33",92.2,11.02,"Fished","Andaman","Central Indo_Pacific",918,968,23,26
"34","V34",92.68,11.02,"Fished","Andaman","Central Indo_Pacific",1008,771,40,34
"35","V35",92.68,11.26,"Fished","Andaman","Central Indo_Pacific",820,1132,42,51
"36","V36",92.76,11.34,"Fished","Andaman","Central Indo_Pacific",762,1115,47,43
"37","V37",93.64,14.94,"Fished","Andaman","Central Indo_Pacific",711,841,11,14
"38","V38",93.56,14.78,"Fished","Andaman","Central Indo_Pacific",829,514,13,14
"39","V39",93.56,14.86,"Fished","Andaman","Central Indo_Pacific",736,1019,19,11
"40","V40",92.6,10.94,"Fished","Andaman","Central Indo_Pacific",1321,833,42,36
"41","V41",93,11.82,"Fished","Andaman","Central Indo_Pacific",1058,2577,22,19
"42","V42",92.92,11.98,"Fished","Andaman","Central Indo_Pacific",1976,1219,4,10
"43","V43",92.2,11.5,"Fished","Andaman","Central Indo_Pacific",912,667,12,25
"44","V44",92.28,11.5,"Fished","Andaman","Central Indo_Pacific",896,857,13,31
"45","V45",92.2,11.58,"Fished","Andaman","Central Indo_Pacific",960,362,8,22
"46","V46",92.44,13.18,"Fished","Andaman","Central Indo_Pacific",1231,734,8,18
"47","V47",92.44,13.26,"Fished","Andaman","Central Indo_Pacific",1032,787,7,15
"48","V48",92.52,13.18,"Fished","Andaman","Central Indo_Pacific",1460,2628,13,17
"49","V49",92.6,13.42,"Fished","Andaman","Central Indo_Pacific",1268,1561,7,16
"50","V50",92.36,12.54,"Fished","Andaman","Central Indo_Pacific",1006,319,6,13
"51","V51",92.52,13.34,"Fished","Andaman","Central Indo_Pacific",1220,504,8,14
"52","V52",92.52,13.26,"Fished","Andaman","Central Indo_Pacific",1265,905,9,16
"53","V53",92.44,13.1,"Fished","Andaman","Central Indo_Pacific",1447,929,9,19
"54","V54",93.24,14.06,"Fished","Andaman","Central Indo_Pacific",745,744,19,10
"55","V55",93.32,14.22,"Fished","Andaman","Central Indo_Pacific",706,615,20,11
"56","V56",93.4,14.22,"Fished","Andaman","Central Indo_Pacific",543,900,21,9
"57","V57",93.32,14.06,"Fished","Andaman","Central Indo_Pacific",798,549,19,12
"58","V58",92.52,13.42,"Fished","Andaman","Central Indo_Pacific",1039,622,11,16
"59","V59",92.6,13.34,"Fished","Andaman","Central Indo_Pacific",1305,2121,7,12
"60","V60",92.84,13.58,"Fished","Andaman","Central Indo_Pacific",1705,5111,26,17
"61","V61",92.52,11.98,"Fished","Andaman","Central Indo_Pacific",1193,1175,17,22
"62","V62",93.08,11.74,"Fished","Andaman","Central Indo_Pacific",889,1233,47,23
"63","V63",92.84,12.06,"Fished","Andaman","Central Indo_Pacific",2172,497,2,4
"64","V64",92.68,11.18,"Fished","Andaman","Central Indo_Pacific",733,696,36,41
"65","V65",92.44,12.46,"Fished","Andaman","Central Indo_Pacific",1247,194,2,11
"66","V66",92.36,12.46,"Fished","Andaman","Central Indo_Pacific",1024,233,3,14
"67","V67",92.36,12.3,"Fished","Andaman","Central Indo_Pacific",1040,573,6,18
"68","V68",92.36,12.62,"Fished","Andaman","Central Indo_Pacific",943,691,9,11
"69","V69",92.44,12.54,"Fished","Andaman","Central Indo_Pacific",1133,252,0,10
"70","V70",92.44,12.62,"Fished","Andaman","Central Indo_Pacific",1102,565,8,10
