ID,ID2,Lon,Lat,TERRITORY1,Grav_tot,ECOREGION,PROVINCE
V1,1,93.64,8.38,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V2,2,93.08,8.38,Andaman and Nicobar,7,Andaman and Nicobar Islands,Andaman
V3,3,93.16,8.38,Andaman and Nicobar,5,Andaman and Nicobar Islands,Andaman
V4,4,92.84,8.86,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V5,5,92.84,8.78,Andaman and Nicobar,1,Andaman and Nicobar Islands,Andaman
V6,6,93.16,8.22,,0,Andaman and Nicobar Islands,Andaman
V7,7,92.76,9.26,Andaman and Nicobar,27,Andaman and Nicobar Islands,Andaman
V8,8,92.76,9.1,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V9,9,92.84,9.1,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V10,10,93,8.46,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V11,11,93.08,8.22,Andaman and Nicobar,20,Andaman and Nicobar Islands,Andaman
V12,12,93.08,8.3,Andaman and Nicobar,20,Andaman and Nicobar Islands,Andaman
V13,13,93.64,7.02,Andaman and Nicobar,4,Andaman and Nicobar Islands,Andaman
V14,14,93.72,6.94,Andaman and Nicobar,4,Andaman and Nicobar Islands,Andaman
V15,15,93.24,8.3,Andaman and Nicobar,4,Andaman and Nicobar Islands,Andaman
V16,16,93.56,7.98,,0,Andaman and Nicobar Islands,Andaman
V17,17,93.56,7.9,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V18,18,93.72,7.26,Andaman and Nicobar,5,Andaman and Nicobar Islands,Andaman
V19,19,93.64,7.26,,5,Andaman and Nicobar Islands,Andaman
V20,20,92.84,9.26,Andaman and Nicobar,57,Andaman and Nicobar Islands,Andaman
V21,21,92.68,9.18,Andaman and Nicobar,44,Andaman and Nicobar Islands,Andaman
V22,22,93.32,7.9,Andaman and Nicobar,11,Andaman and Nicobar Islands,Andaman
V23,23,93.8,6.78,Andaman and Nicobar,6,Andaman and Nicobar Islands,Andaman
V24,24,92.36,10.78,Andaman and Nicobar,7,Andaman and Nicobar Islands,Andaman
V25,25,92.52,10.94,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V26,26,92.44,10.86,Andaman and Nicobar,16,Andaman and Nicobar Islands,Andaman
V27,27,93.64,7.42,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V28,28,93.64,7.34,,5,Andaman and Nicobar Islands,Andaman
V29,29,93.64,7.18,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V30,30,93,13.66,,0,Andaman and Nicobar Islands,Andaman
V31,31,93.08,13.66,Andaman and Nicobar,5,Andaman and Nicobar Islands,Andaman
V32,32,92.2,10.94,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V33,33,92.2,11.02,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V34,34,92.68,11.02,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V35,35,92.68,11.26,Andaman and Nicobar,16,Andaman and Nicobar Islands,Andaman
V36,36,92.76,11.34,Andaman and Nicobar,33,Andaman and Nicobar Islands,Andaman
V37,37,93.64,14.94,Myanmar,12,Andaman and Nicobar Islands,Andaman
V38,38,93.56,14.78,Myanmar,11,Andaman and Nicobar Islands,Andaman
V39,39,93.56,14.86,Myanmar,11,Andaman and Nicobar Islands,Andaman
V40,40,92.6,10.94,Andaman and Nicobar,4,Andaman and Nicobar Islands,Andaman
V41,41,93,11.82,Andaman and Nicobar,19,Andaman and Nicobar Islands,Andaman
V42,42,92.92,11.98,Andaman and Nicobar,14,Andaman and Nicobar Islands,Andaman
V43,43,92.2,11.5,Andaman and Nicobar,6,Andaman and Nicobar Islands,Andaman
V44,44,92.28,11.5,Andaman and Nicobar,8,Andaman and Nicobar Islands,Andaman
V45,45,92.2,11.58,Andaman and Nicobar,6,Andaman and Nicobar Islands,Andaman
V46,46,92.44,13.18,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V47,47,92.44,13.26,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V48,48,92.52,13.18,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V49,49,92.6,13.42,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V50,50,92.36,12.54,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V51,51,92.52,13.34,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V52,52,92.52,13.26,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V53,53,92.44,13.1,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V54,54,93.24,14.06,Myanmar,6,Andaman and Nicobar Islands,Andaman
V55,55,93.32,14.22,Myanmar,8,Andaman and Nicobar Islands,Andaman
V56,56,93.4,14.22,Myanmar,0,Andaman and Nicobar Islands,Andaman
V57,57,93.32,14.06,Myanmar,10,Andaman and Nicobar Islands,Andaman
V58,58,92.52,13.42,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V59,59,92.6,13.34,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V60,60,92.84,13.58,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V61,61,92.52,11.98,Andaman and Nicobar,7,Andaman and Nicobar Islands,Andaman
V62,62,93.08,11.74,Andaman and Nicobar,14,Andaman and Nicobar Islands,Andaman
V63,63,92.84,12.06,Andaman and Nicobar,75,Andaman and Nicobar Islands,Andaman
V64,64,92.68,11.18,,0,Andaman and Nicobar Islands,Andaman
V65,65,92.44,12.46,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V66,66,92.36,12.46,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V67,67,92.36,12.3,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V68,68,92.36,12.62,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V69,69,92.44,12.54,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V70,70,92.44,12.62,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V71,71,92.44,12.22,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V72,72,92.36,12.22,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V73,73,92.44,12.3,Andaman and Nicobar,3,Andaman and Nicobar Islands,Andaman
V74,74,92.6,10.86,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V75,75,92.76,11.18,Andaman and Nicobar,10,Andaman and Nicobar Islands,Andaman
V76,76,94.28,13.5,Andaman and Nicobar,0,Andaman and Nicobar Islands,Andaman
V77,77,92.36,10.54,Andaman and Nicobar,2,Andaman and Nicobar Islands,Andaman
V78,78,97.88,9.5,Thailand,25,Andaman Sea Coral Coast,Andaman
V79,79,97.88,9.34,Thailand,29,Andaman Sea Coral Coast,Andaman
V80,80,97.88,9.42,Thailand,26,Andaman Sea Coral Coast,Andaman
V81,81,97.96,10.3,Myanmar,37,Andaman Sea Coral Coast,Andaman
V82,82,97.64,11.82,Myanmar,30,Andaman Sea Coral Coast,Andaman
V83,83,97.48,11.82,Myanmar,26,Andaman Sea Coral Coast,Andaman
