ID,ID2,Lon,Lat,TERRITORY1,sItes
V1,1,93.64,8.38,Andaman and Nicobar,
V2,2,93.08,8.38,Andaman and Nicobar,
V3,3,93.16,8.38,Andaman and Nicobar,
V4,4,92.84,8.86,Andaman and Nicobar,
V5,5,92.84,8.78,Andaman and Nicobar,
V6,6,93.16,8.22,,
V7,7,92.76,9.26,Andaman and Nicobar,
V8,8,92.76,9.1,Andaman and Nicobar,
V9,9,92.84,9.1,Andaman and Nicobar,
V10,10,93,8.46,Andaman and Nicobar,
V11,11,93.08,8.22,Andaman and Nicobar,
V12,12,93.08,8.3,Andaman and Nicobar,
V13,13,93.64,7.02,Andaman and Nicobar,
V14,14,93.72,6.94,Andaman and Nicobar,
V15,15,93.24,8.3,Andaman and Nicobar,
V16,16,93.56,7.98,,
V17,17,93.56,7.9,Andaman and Nicobar,
V18,18,93.72,7.26,Andaman and Nicobar,
V19,19,93.64,7.26,,
V20,20,92.84,9.26,Andaman and Nicobar,
V21,21,92.68,9.18,Andaman and Nicobar,
V22,22,93.32,7.9,Andaman and Nicobar,
V23,23,93.8,6.78,Andaman and Nicobar,
V24,24,92.36,10.78,Andaman and Nicobar,
V25,25,92.52,10.94,Andaman and Nicobar,
V26,26,92.44,10.86,Andaman and Nicobar,
V27,27,93.64,7.42,Andaman and Nicobar,
V28,28,93.64,7.34,,
V29,29,93.64,7.18,Andaman and Nicobar,
V30,30,93,13.66,,
V31,31,93.08,13.66,Andaman and Nicobar,
V32,32,92.2,10.94,Andaman and Nicobar,
V33,33,92.2,11.02,Andaman and Nicobar,
V34,34,92.68,11.02,Andaman and Nicobar,
V35,35,92.68,11.26,Andaman and Nicobar,
V36,36,92.76,11.34,Andaman and Nicobar,
V37,37,93.64,14.94,Myanmar,
V38,38,93.56,14.78,Myanmar,
V39,39,93.56,14.86,Myanmar,
V40,40,92.6,10.94,Andaman and Nicobar,
V41,41,93,11.82,Andaman and Nicobar,
V42,42,92.92,11.98,Andaman and Nicobar,
V43,43,92.2,11.5,Andaman and Nicobar,
V44,44,92.28,11.5,Andaman and Nicobar,
V45,45,92.2,11.58,Andaman and Nicobar,
V46,46,92.44,13.18,Andaman and Nicobar,
V47,47,92.44,13.26,Andaman and Nicobar,
V48,48,92.52,13.18,Andaman and Nicobar,
V49,49,92.6,13.42,Andaman and Nicobar,
V50,50,92.36,12.54,Andaman and Nicobar,
V51,51,92.52,13.34,Andaman and Nicobar,
V52,52,92.52,13.26,Andaman and Nicobar,
V53,53,92.44,13.1,Andaman and Nicobar,
V54,54,93.24,14.06,Myanmar,
V55,55,93.32,14.22,Myanmar,
V56,56,93.4,14.22,Myanmar,
V57,57,93.32,14.06,Myanmar,
V58,58,92.52,13.42,Andaman and Nicobar,
V59,59,92.6,13.34,Andaman and Nicobar,
V60,60,92.84,13.58,Andaman and Nicobar,
V61,61,92.52,11.98,Andaman and Nicobar,
V62,62,93.08,11.74,Andaman and Nicobar,
V63,63,92.84,12.06,Andaman and Nicobar,
V64,64,92.68,11.18,,
V65,65,92.44,12.46,Andaman and Nicobar,
V66,66,92.36,12.46,Andaman and Nicobar,
V67,67,92.36,12.3,Andaman and Nicobar,
V68,68,92.36,12.62,Andaman and Nicobar,
V69,69,92.44,12.54,Andaman and Nicobar,
V70,70,92.44,12.62,Andaman and Nicobar,
V71,71,92.44,12.22,Andaman and Nicobar,
V72,72,92.36,12.22,Andaman and Nicobar,
V73,73,92.44,12.3,Andaman and Nicobar,
V74,74,92.6,10.86,Andaman and Nicobar,
V75,75,92.76,11.18,Andaman and Nicobar,
V76,76,94.28,13.5,Andaman and Nicobar,
V77,77,92.36,10.54,Andaman and Nicobar,
V78,78,97.88,9.5,Thailand,
V79,79,97.88,9.34,Thailand,
V80,80,97.88,9.42,Thailand,
V81,81,97.96,10.3,Myanmar,
V82,82,97.64,11.82,Myanmar,
V83,83,97.48,11.82,Myanmar,
V84,84,97.72,12.14,,
V85,85,97.8,12.3,Myanmar,
V86,86,97.96,10.06,Myanmar,
V87,87,98.2,12.94,Myanmar,
V88,88,98.2,13.1,Myanmar,
V89,89,97.88,12.78,,
V90,90,98.28,12.86,Myanmar,
