ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V1,1,93.64,8.38,India,,,,Fished,Fished
V2,2,93.08,8.38,India,,,,Fished,Fished
V3,3,93.16,8.38,India,,,,Fished,Fished
V4,4,92.84,8.86,India,,,,Fished,Fished
V5,5,92.84,8.78,India,,,,Fished,Fished
V6,6,93.16,8.22,,,,,Fished,Fished
V7,7,92.76,9.26,India,,,,Fished,Fished
V8,8,92.76,9.1,India,,,,Fished,Fished
V9,9,92.84,9.1,India,,,,Fished,Fished
V10,10,93,8.46,India,,,,Fished,Fished
V11,11,93.08,8.22,India,,,,Fished,Fished
V12,12,93.08,8.3,India,,,,Fished,Fished
V13,13,93.64,7.02,India,,,,Fished,Fished
V14,14,93.72,6.94,India,,,,Fished,Fished
V15,15,93.24,8.3,India,,,,Fished,Fished
V16,16,93.56,7.98,,,,,Fished,Fished
V17,17,93.56,7.9,India,,,,Fished,Fished
V18,18,93.72,7.26,India,,,,Fished,Fished
V19,19,93.64,7.26,,,,,Fished,Fished
V20,20,92.84,9.26,India,,,,Fished,Fished
V21,21,92.68,9.18,India,,,,Fished,Fished
V22,22,93.32,7.9,India,,,,Fished,Fished
V23,23,93.8,6.78,India,,,,Fished,Fished
V24,24,92.36,10.78,India,,,,Fished,Fished
V25,25,92.52,10.94,India,,,,Fished,Fished
V26,26,92.44,10.86,India,,,,Fished,Fished
V27,27,93.64,7.42,India,,,,Fished,Fished
V28,28,93.64,7.34,,,,,Fished,Fished
V29,29,93.64,7.18,India,,,,Fished,Fished
V30,30,93,13.66,,,,,Fished,Fished
V31,31,93.08,13.66,India,,,,Fished,Fished
V32,32,92.2,10.94,India,,,,Fished,Fished
V33,33,92.2,11.02,India,,,,Fished,Fished
V34,34,92.68,11.02,India,,,,Fished,Fished
V35,35,92.68,11.26,India,,,,Fished,Fished
V36,36,92.76,11.34,India,,,,Fished,Fished
V37,37,93.64,14.94,Myanmar,,,,Fished,Fished
V38,38,93.56,14.78,Myanmar,,,,Fished,Fished
V39,39,93.56,14.86,Myanmar,,,,Fished,Fished
V40,40,92.6,10.94,India,,,,Fished,Fished
V41,41,93,11.82,India,,,,Fished,Fished
V42,42,92.92,11.98,India,,,,Fished,Fished
V43,43,92.2,11.5,India,,,,Fished,Fished
V44,44,92.28,11.5,India,,,,Fished,Fished
V45,45,92.2,11.58,India,,,,Fished,Fished
V46,46,92.44,13.18,India,,,,Fished,Fished
V47,47,92.44,13.26,India,,,,Fished,Fished
V48,48,92.52,13.18,India,,,,Fished,Fished
