"","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","Indegree","ModelMode","btwdegree","Inflow","Outdegree","InflowLR","SelfR","Larval_behaviour","FE","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR","LonId","LatID","Lon","Lat"
"1","V10025","sw_pacific","new_caledonia","new_caledonia_7",25.92239262,111.352,2.801571902,0,"Fished",48.58066279,6,"pare",122.8954621,156,54,156,0,"passive","pare",156,6,1,12,3,78,31.16666667,918.3333333,165.96,-21.06,165.9494,-21.0572
"2","V10026","sw_pacific","new_caledonia","new_caledonia_9",25.66932856,129.559,3.647123986,0,"Fished",64.00851649,6,"pare",765.9300143,160,71,160,0,"passive","pare",160,6,0,15,5,132,59.66666667,2352,166.68,-21.62,166.6661,-21.6264
"3","V10094","sw_pacific","new_caledonia","new_caledonia_12",25.01223383,91.282,12.56664162,0,"Fished",107.1845271,59,"pare",1732.414148,1544,60,1570,26,"passive","pare",1570,59,8,360,26,700,42.11864407,1149.084746,165.88,-22.02,165.8847,-21.9672
"4","V10463","sw_pacific","new_caledonia","new_caledonia_5",25.92937784,106.391,2.780672141,11,"Restricted",38.41327332,138,"pare",21112.10106,6042,62,6096,54,"passive","pare",6096,138,43,490,58,2424,56.05072464,1780.811594,163.96,-19.94,164,-20
"5","V10478","sw_pacific","new_caledonia","new_caledonia_2",26.18471463,142.026,0.629343304,5,"Restricted",311.634362,76,"pare",39358.54148,2094,87,2094,0,"passive","pare",2094,76,27,315,29,806,46.71052632,1405.552632,165.8,-19.94,165.8284,-19.8943
"6","V10513","sw_pacific","new_caledonia","new_caledonia_1",26.05786634,156.323,1.020673114,11,"Restricted",307.5213714,118,"pare",36741.53316,4848,69,4944,96,"passive","pare",4944,118,30,568,42,1694,54.21186441,1734.576271,166.12,-20.42,166.1606,-20.3981
"7","V10543","sw_pacific","new_caledonia","new_caledonia_6",25.86883296,96.901,5.978511005,0,"Fished",31.1682725,9,"pare",5367.845403,246,43,246,0,"passive","pare",246,9,3,87,0,0,15.22222222,409.3333333,167.08,-20.82,167.1718,-20.8296
"8","V10549","central_pacific","niue","niue_1",26.64775405,95.536,35.29592494,0,"Fished",404.6782482,8,"pare",324.1035994,212,43,212,0,"passive","pare",212,8,1,174,0,0,17.75,489.75,-169.88,-19.14,-169.9222,-19.0935
"9","V10587","central_pacific","tonga","tonga_2",25.97714345,87.83,0.723435024,0,"Fished",215.0916064,10,"pare",737.9746123,278,22,278,0,"passive","pare",278,10,4,16,1,26,23.9,659.6,-174.68,-19.94,-174.7209,-19.9368
"10","V10598","central_pacific","tonga","tonga_7",25.92717357,147.542,7.603968166,0,"Fished",205.3941372,26,"pare",58.41408899,684,10,684,0,"passive","pare",684,26,7,264,3,78,26.73076923,728.8461538,-174.44,-19.94,-174.4924,-19.9616
