"","X","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","Indegree","ModelMode","btwdegree","Inflow","Outdegree","InflowLR","SelfR","Larval_behaviour","FE","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR"
"1",1,"V10025","sw_pacific","new_caledonia","new_caledonia_7",25.92239262,111.352,2.801571902,0,"Fished",48.58066279,6,"pare",122.89546210362,156,54,156,0,"passive","pare",0,0,0,0,0,0,0,0
"2",2,"V10026","sw_pacific","new_caledonia","new_caledonia_9",25.66932856,129.559,3.647123986,0,"Fished",64.00851649,6,"pare",765.930014252441,160,71,160,0,"passive","pare",0,0,0,0,0,0,0,0
"3",3,"V10094","sw_pacific","new_caledonia","new_caledonia_12",25.01223383,91.282,12.56664162,0,"Fished",107.1845271,59,"pare",1732.41414827244,1544,60,1570,26,"passive","pare",0,0,0,0,0,0,0,0
"4",4,"V10463","sw_pacific","new_caledonia","new_caledonia_5",25.92937784,106.391,2.780672141,11,"Restricted",38.41327332,138,"pare",21112.1010567473,6042,62,6096,54,"passive","pare",0,0,0,0,0,0,0,0
"5",5,"V10478","sw_pacific","new_caledonia","new_caledonia_2",26.18471463,142.026,0.629343304,5,"Restricted",311.634362,76,"pare",39358.5414828086,2094,87,2094,0,"passive","pare",0,0,0,0,0,0,0,0
"6",6,"V10513","sw_pacific","new_caledonia","new_caledonia_1",26.05786634,156.323,1.020673114,11,"Restricted",307.5213714,118,"pare",36741.5331575022,4848,69,4944,96,"passive","pare",0,0,0,0,0,0,0,0
"7",7,"V10543","sw_pacific","new_caledonia","new_caledonia_6",25.86883296,96.901,5.978511005,0,"Fished",31.1682725,9,"pare",5367.84540270238,246,43,246,0,"passive","pare",0,0,0,0,0,0,0,0
"8",8,"V10549","central_pacific","niue","niue_1",26.64775405,95.536,35.29592494,0,"Fished",404.6782482,8,"pare",324.103599372623,212,43,212,0,"passive","pare",0,0,0,0,0,0,0,0
"9",9,"V10587","central_pacific","tonga","tonga_2",25.97714345,87.83,0.723435024,0,"Fished",215.0916064,10,"pare",737.974612344541,278,22,278,0,"passive","pare",0,0,0,0,0,0,0,0
"10",10,"V10598","central_pacific","tonga","tonga_7",25.92717357,147.542,7.603968166,0,"Fished",205.3941372,26,"pare",58.4140889897882,684,10,684,0,"passive","pare",0,0,0,0,0,0,0,0
"11",11,"V10609","central_pacific","tonga","tonga_8",25.70779242,83.3,43.37380658,0,"Fished",226.4487803,12,"pare",280.044442015865,334,38,334,0,"passive","pare",0,0,0,0,0,0,0,0
"12",12,"V10619","central_pacific","tonga","tonga_3",25.91113305,140.111,0.912890815,0,"Fished",430.1842233,23,"pare",5601.3670277662,632,17,632,0,"passive","pare",0,0,0,0,0,0,0,0
"13",13,"V10642","central_pacific","tonga","tonga_4",26.55343314,169.5,9.637179249,0,"Fished",325.8606815,29,"pare",26959.2862687656,788,12,788,0,"passive","pare",0,0,0,0,0,0,0,0
"14",14,"V10644","central_pacific","tonga","tonga_11",26.55757882,151.723,13.96639455,0,"Fished",50.39981213,31,"pare",277.436509410511,842,17,842,0,"passive","pare",0,0,0,0,0,0,0,0
"15",15,"V10842","sw_atlantic","santa_catarina","santa_catarina_1",22.26363588,34.835,269.533681,19,"Restricted",88.83822906,29,"pare",202868.984980279,886,19,914,28,"passive","pare",0,0,0,0,0,0,0,0
"16",16,"V10843","sw_atlantic","santa_catarina","santa_catarina_3",22.30991188,27.791,326.1445974,19,"Restricted",107.4861895,27,"pare",10510.0783067239,800,19,826,26,"passive","pare",0,0,0,0,0,0,0,0
"17",17,"V10844","sw_atlantic","santa_catarina","santa_catarina_4",21.95692995,26.716,253.218654,19,"Restricted",31.69254448,28,"pare",104.156655844156,780,13,780,0,"passive","pare",0,0,0,0,0,0,0,0
"18",18,"V10845","eastern_atlantic","cverde","cverde_1",24.13931764,28.606,10.60280489,0,"Fished",275.8589295,44,"pare",439.598828497333,1666,6,1734,68,"passive","pare",0,0,0,0,0,0,0,0
"19",19,"V1130","polynesian","cook_islands_sp","cook_islands_sp_1",28.39715436,84.018,0.000161209,2,"Restricted",358.8420184,0,"pare",0,0,6,0,0,"passive","pare",0,0,0,0,0,0,0,0
"20",20,"V11490","central_iwp","pulau_naira","pulau_naira_1",28.55016913,183.038,132.9532289,0,"Fished",519.5839125,20,"pare",44.3312710154993,576,17,576,0,"passive","pare",0,0,0,0,0,0,0,0
"21",21,"V1170","central_pacific","samoa","samoa_4",28.26729949,69.896,4.900748768,0,"Fished",54.29437089,6,"pare",11247.3459250986,166,17,166,0,"passive","pare",0,0,0,0,0,0,0,0
