"","ID","X.x","locality","sites","region","area","biomassarea1","biomassarea2","biomassarea","lon","lat","grav_total","Age_of_protection","Class","distprox","X.y","pare5in","pare15in","pare5inN","pare15inN","pare5out","pare15out","pare5outN","pare15outN","pare5btw","pare15btw","pare5LR","pare15LR","parein","pare25in","pareinN","pare25inN","pareout","pare25out","pareoutN","pare25outN","parebtw","pare25btw","pare25LR","pareLR","crypto5in","crypto15in","crypto35in","crypto5inN","crypto15inN","crypto35inN","crypto5out","crypto15out","crypto35out","crypto5outN","crypto15outN","crypto35outN","crypto5btw","crypto15btw","crypto35btw","crypto5LR","crypto15LR","crypto35LR","cryptoin","cryptoinN","cryptoout","cryptooutN","cryptobtw","cryptoLR","transi5in","transi15in","transi35in","transi5inN","transi15inN","transi35inN","transi5out","transi15out","transi35out","transi5outN","transi15outN","transi35outN","transi5btw","transi15btw","transi35btw","transi5LR","transi15LR","transi35LR","transiin","transiinN","transiout","transioutN","transibtw","transiLR","residin","resid5in","resid15in","resid35in","residinN","resid5inN","resid15inN","resid35inN","residout","resid5out","resid15out","resid35out","residoutN","resid5outN","resid15outN","resid35outN","residbtw","resid5btw","resid15btw","resid35btw","residLR","resid5LR","resid15LR","resid35LR","TotalinN","TotaloutN","Totalbtw","TotalLR","logbiomassarea"
"1","V10025",218,"new_caledonia","new_caledonia_7","sw_pacific",3440,48.5806627921296,48.5806627921296,87.3195032748271,165.9494,-21.0572,2.801571902,0,"Fished",1.14316223146431,32,29,21,0.0019590623522259,0.00141863135850841,34,40,0.00229683172329933,0.00270215496858745,19814.1696837398,1116.14143612128,14,0,6,4,0.000405323245288117,0.000270215496858745,54,17,0.00364790920759306,0.00114841586164967,160.97488068626,736.661181623879,0,0,36,18,0,0.0024319394717287,0.00121596973586435,0,74,12,4,0.00499898669188678,0.000810646490576235,0.000270215496858745,4582.65396378716,1171.5,0,230,95,0,3,0.000202661622644059,49,0.00331013983651962,58.3578314220262,0,16,3,0,0.00108086198743498,0.000202661622644059,0,50,37,18,0.00337769371073431,0.00249949334594339,0.00121596973586435,7879.88411681633,6024.97731738869,0,6,0,0,0,0,19,0.00128352361007904,0,0,6,35,72,2,0.000405323245288117,0.00236438559751402,0.00486387894345741,0.000135107748429372,54,68,122,68,0.00364790920759306,0.00459366344659866,0.00824157265419172,0.00459366344659866,160.97488068626,398.338543763397,8561.92320268248,65.2712760040443,0,243,35,0,0.0159427143146659,0.0367493075727893,50351.5207219271,623,4.46957384310426
"2","V10026",220,"new_caledonia","new_caledonia_9","sw_pacific",3840,64.0085164947482,64.0085164947482,96.6536234636865,166.6661,-21.6264,3.647123986,0,"Fished",1.60341941428272,33,24,9,0.00162129298115247,0.000607984867932176,39,40,0.00263460109437276,0.00270215496858745,24.4850723025587,3304.42892691268,44,0,6,7,0.000405323245288117,0.000472877119502804,71,21,0.00479632506924272,0.00141863135850841,883.703637788348,10969.2743320878,0,0,45,1,0,0.00303992433966088,6.75538742146862e-05,0,90,15,4,0.00607984867932176,0.00101330811322029,0.000270215496858745,15522.5561390719,152.833333333333,0,104,0,0,14,0.000945754239005607,68,0.00459366344659866,771.071818074365,0,11,4,0,0.000743092616361548,0.000270215496858745,0,44,44,26,0.00297237046544619,0.00297237046544619,0.00175640072958184,7691.31982793881,281.833374927873,0,4,0,0,2,0.000135107748429372,12,0.000810646490576235,472.677581672505,0,6,45,51,4,0.000405323245288117,0.00303992433966088,0.003445247584949,0.000270215496858745,71,93,124,91,0.00479632506924272,0.00628251030196582,0.00837668040262109,0.00614740255353645,883.703637788348,1450.92635026353,5684.0752131871,213.124696562659,0,116,5,0,0.0135783287171519,0.042626494629467,45294.8572665882,273,4.57113369552258
"3","V10067",219,"new_caledonia","new_caledonia_8","sw_pacific",3840,130.858364861467,130.858364861467,181.401610157795,166.0997,-21.5269,36.17983409,0,"Fished",16.4690815323197,78,37,29,0.00249949334594339,0.0019590623522259,42,44,0.00283726271701682,0.00297237046544619,36511.3327237622,43378.2109501436,0,9,22,8,0.0014861852327231,0.00054043099371749,37,22,0.00249949334594339,0.0014861852327231,13717.6741792783,10749.0243108784,0,1,75,8,0,0.00506654056610147,0.00054043099371749,0,59,15,2,0.00398567857866649,0.00101330811322029,0.000135107748429372,261.594433217291,8936.5,0,135,0,0,35,0.00236438559751402,44,0.00297237046544619,8588.23277718431,5,18,15,4,0.00121596973586435,0.00101330811322029,0.000270215496858745,27,17,15,0.00182395460379653,0.00114841586164967,0.00101330811322029,6166.07409018916,56540.9309115073,1422.8134774397,2,0,0,1,6.75538742146862e-05,11,0.000743092616361548,2061.32812296819,0,22,83,61,32,0.0014861852327231,0.00560697155981896,0.00412078632709586,0.00216172397486996,37,71,96,45,0.00249949334594339,0.00479632506924272,0.00648517192460988,0.00303992433966088,13717.6741792783,21288.5394945724,17530.5732425277,8528.56615553258,1,141,28,0,0.0249949334594339,0.0307370127676822,211314.15978977,315,5.20071341392497
"4","V10091",215,"new_caledonia","new_caledonia_4","sw_pacific",1040,63.902100784754,63.902100784754,74.221960970524,166.2517,-22.1689,129.4310751,0,"Fished",11.44283641594,105,66,65,0.00445855569816929,0.0043910018239546,64,58,0.00432344794973992,0.0039181247044518,12588.6911776666,38921.4623883458,62,3,49,24,0.00331013983651962,0.00162129298115247,61,34,0.00412078632709586,0.00229683172329933,3220.51868177155,7994.52466173287,10,0,92,9,2,0.00621495642775113,0.000607984867932176,0.000135107748429372,86,20,5,0.00580963318246301,0.00135107748429372,0.000337769371073431,3344.09631039588,1071.08333333333,183.666666666667,26,0,0,51,0.003445247584949,69,0.00466121732081335,3065.70618436297,0,45,29,21,0.00303992433966088,0.0019590623522259,0.00141863135850841,33,41,20,0.00222927784908465,0.00276970884280213,0.00135107748429372,8896.88076115875,530.513278381137,4594.13244154787,0,0,0,7,0.000472877119502804,14,0.000945754239005607,470.24441799493,0,49,102,128,51,0.00331013983651962,0.00689049516989799,0.00864689589947984,0.003445247584949,61,90,121,80,0.00412078632709586,0.00607984867932176,0.00817401877997703,0.0054043099371749,3220.51868177155,2912.72905801861,3453.84174639157,1741.5576770395,0,35,4,0,0.0428291562521111,0.0440451259879754,86233.1795006786,140,4.30706007633602
"5","V10094",213,"new_caledonia","new_caledonia_12","sw_pacific",2200,107.184527095818,107.184527095818,130.103220842642,165.8847,-21.9672,12.56664162,0,"Fished",5.89105623327018,108,87,58,0.0058771870566777,0.0039181247044518,57,58,0.00385057083023711,0.0039181247044518,33017.5551339409,5578.11203935494,2,3,59,37,0.00398567857866649,0.00249949334594339,60,34,0.00405323245288117,0.00229683172329933,2353.08705641699,6656.52427875343,10,1,124,19,4,0.00837668040262109,0.00128352361007904,0.000270215496858745,104,21,7,0.00702560291832737,0.00141863135850841,0.000472877119502804,33998.3466298875,7369.91666666667,24999.1666666667,16,0,0,88,0.00594474093089239,94,0.0063500641761805,9975.82357586862,25,71,48,50,0.00479632506924272,0.00324258596230494,0.00337769371073431,28,32,21,0.00189150847801121,0.00216172397486996,0.00141863135850841,329.204688961746,1271.06368464719,8752.37500645644,2,0,0,18,0.00121596973586435,20,0.00135107748429372,10482.3208114968,15,59,138,156,107,0.00398567857866649,0.0093224346416267,0.010538404377491,0.00722826454097142,60,104,122,73,0.00405323245288117,0.00702560291832737,0.00824157265419172,0.00493143281767209,2353.08705641699,4303.24871453433,23424.89390939,1412.69384051275,1,17,21,4,0.0607309329190029,0.0446531108559076,151113.101259773,75,4.86832814188106
"6","V10104",212,"new_caledonia","new_caledonia_10","sw_pacific",1920,25.0259424841852,25.0259424841852,25.0868045718692,166.8508,-22.3178,5.973891369,0,"Fished",19.0923371673835,120,47,40,0.00317503208809025,0.00270215496858745,49,30,0.00331013983651962,0.00202661622644059,1152.25031442966,23362.3236665712,58,0,47,40,0.00317503208809025,0.00270215496858745,37,7,0.00249949334594339,0.000472877119502804,2821.20476105371,2234.49649394978,0,0,60,12,6,0.00405323245288117,0.000810646490576235,0.000405323245288117,72,10,3,0.00486387894345741,0.000675538742146862,0.000202661622644059,211.36854058793,816.833333333333,2022.66666666667,34,0,0,60,0.00405323245288117,50,0.00337769371073431,9815.88829583585,0,20,22,34,0.00135107748429372,0.0014861852327231,0.00229683172329933,12,14,7,0.000810646490576235,0.000945754239005607,0.000472877119502804,8845.03524390085,2396.76092001709,3911.66529829878,0,0,0,6,0.000405323245288117,5,0.000337769371073431,5558.68304575179,0,47,66,70,78,0.00317503208809025,0.00445855569816929,0.00472877119502804,0.00526920218874552,37,75,86,54,0.00249949334594339,0.00506654056610147,0.00580963318246301,0.00364790920759306,2821.20476105371,1239.52043071109,3428.93958207554,1389.79453851575,0,36,10,1,0.0334391677362697,0.0283050732959535,51011.6550290577,139,3.22234199363338
"7","V10463",216,"new_caledonia","new_caledonia_5","sw_pacific",5280,38.4132733198012,38.4132733198012,44.0343360338565,164,-20,2.780672141,11,"Restricted",7.8731768095083,518,52,88,0.00351280145916368,0.00594474093089239,42,47,0.00283726271701682,0.00317503208809025,7030.19402256602,7363.50568554596,684,246,138,62,0.0093224346416267,0.00418834020131055,62,26,0.00418834020131055,0.00175640072958184,15360.4561892599,5650.83701655837,130,15,101,42,50,0.00682294129568331,0.00283726271701682,0.00337769371073431,65,14,9,0.0043910018239546,0.000945754239005607,0.000607984867932176,7218.21911335235,11609.25,52619.95,514,182,67,127,0.00857934202526515,74,0.00499898669188678,39234.0439955186,205,31,29,38,0.00209417010065527,0.0019590623522259,0.00256704722015808,16,15,10,0.00108086198743498,0.00101330811322029,0.000675538742146862,7776.67126616395,110.889359461404,2162.591379728,264,27,3,43,0.00290481659123151,8,0.00054043099371749,1232.78213747414,30,138,107,165,129,0.0093224346416267,0.00722826454097142,0.0111463892454232,0.00871444977369452,62,70,101,82,0.00418834020131055,0.00472877119502804,0.00682294129568331,0.00553941768560427,15360.4561892599,19526.7076660572,16406.4882432505,36231.0784722362,15,541,146,28,0.0603931635479295,0.033574275484699,173706.38222492,2832,3.7849696939981
"8","V10478",214,"new_caledonia","new_caledonia_2","sw_pacific",3600,311.634362039835,311.634362039835,376.719928629315,165.8284,-19.8943,0.629343304,5,"Restricted",5.88540443571988,534,85,47,0.00574207930824833,0.00317503208809025,53,61,0.00358035533337837,0.00412078632709586,17048.3921362399,11270.3670304726,2,0,76,24,0.00513409444031615,0.00162129298115247,87,40,0.0058771870566777,0.00270215496858745,44036.0960375416,43645.8475109618,0,0,150,13,7,0.0101330811322029,0.000878200364790921,0.000472877119502804,111,18,11,0.00749848003783017,0.00121596973586435,0.000743092616361548,204579.972305287,21426.3,72399.1761904762,0,0,0,109,0.0073633722894008,79,0.00533675606296021,78152.9832985727,0,60,32,20,0.00405323245288117,0.00216172397486996,0.00135107748429372,47,39,33,0.00317503208809025,0.00263460109437276,0.00222927784908465,4848.06128088363,1338.34777682356,16767.3257940495,0,0,0,15,0.00101330811322029,28,0.00189150847801121,143143.979863845,0,76,150,177,121,0.00513409444031615,0.0101330811322029,0.0119570357359995,0.00817401877997703,87,121,148,101,0.0058771870566777,0.00817401877997703,0.00999797338377356,0.00682294129568331,44036.0960375416,119229.971050488,60278.4928258715,65355.796307158,0,2,0,0,0.059852732554212,0.0528946835100993,638188.050208712,4,5.93150201648241
"9","V10513",211,"new_caledonia","new_caledonia_1","sw_pacific",2000,307.521371414275,307.521371414275,341.725542470659,166.1606,-20.3981,1.020673114,11,"Restricted",4.88184985984284,574,46,60,0.00310747821387557,0.00405323245288117,19,25,0.00128352361007904,0.00168884685536716,18.3202565942075,8358.20711473539,392,207,118,50,0.00797135715733297,0.00337769371073431,69,24,0.00466121732081335,0.00162129298115247,39976.0931137769,8034.0553603555,90,36,75,36,29,0.00506654056610147,0.0024319394717287,0.0019590623522259,35,18,16,0.00236438559751402,0.00121596973586435,0.00108086198743498,6841.46572599031,1912.33333333333,63713.4833333334,479,129,55,105,0.00709315679254205,80,0.0054043099371749,3198.370238495,145,38,62,54,0.00256704722015808,0.00418834020131055,0.00364790920759306,11,13,15,0.000743092616361548,0.000878200364790921,0.00101330811322029,8377.83857901106,1099.35182489665,481.22996542244,468,69,11,50,0.00337769371073431,12,0.000810646490576235,4104.99786797658,660,118,81,98,119,0.00797135715733297,0.00547186381138958,0.00662027967303925,0.00803891103154766,69,41,92,80,0.00466121732081335,0.00276970884280213,0.00621495642775113,0.0054043099371749,39976.0931137769,7067.32792374518,3222.79471779115,1820.026609884,36,465,140,35,0.0505302979125853,0.0262784570695129,110946.434745093,2540,5.83400790748543
"10","V10543",217,"new_caledonia","new_caledonia_6","sw_pacific",1760,31.1682724978453,31.1682724978453,33.589456478122,167.1718,-20.8296,5.978511005,0,"Fished",9.60037563003885,607,39,14,0.00263460109437276,0.000945754239005607,66,59,0.00445855569816929,0.00398567857866649,738.798689218953,29.7690473760315,6,0,9,8,0.000607984867932176,0.00054043099371749,43,38,0.00290481659123151,0.00256704722015808,314.853732911068,6143.00141933292,0,0,46,2,1,0.00310747821387557,0.000135107748429372,6.75538742146862e-05,103,17,4,0.00695804904411268,0.00114841586164967,0.000270215496858745,3459.00755781394,65.5,14,3,0,0,22,0.0014861852327231,63,0.00425589407552523,344.381521589723,5,9,9,8,0.000607984867932176,0.000607984867932176,0.00054043099371749,55,68,32,0.00371546308180774,0.00459366344659866,0.00216172397486996,509.589205936068,90.7930850905027,5341.77562155744,0,0,0,5,0.000337769371073431,8,0.00054043099371749,91.2129731379731,15,9,43,30,16,0.000607984867932176,0.00290481659123151,0.00202661622644059,0.00108086198743498,43,112,118,62,0.00290481659123151,0.00756603391204486,0.00797135715733297,0.00418834020131055,314.853732911068,2476.02134536536,179427.251028793,317730.288546968,0,0,0,0,0.0151996216983044,0.0495845436735797,516025.795547452,9,3.51421222243113
