"","From","To","Prob"
"187","V187","V190",184
"188","V188","V190",82
"189","V189","V190",746
"190","V190","V190",1080
"191","V191","V190",405
"193","V193","V190",25
"194","V194","V190",24
"204","V204","V190",367
"205","V205","V190",428
"206","V206","V190",509
"207","V207","V190",651
"208","V208","V190",498
"209","V209","V190",512
"210","V210","V190",52
"211","V211","V190",2
"212","V212","V190",5
"213","V213","V190",20
"215","V215","V190",44
"216","V216","V190",10
"218","V218","V190",4
"222","V222","V190",301
"223","V223","V190",76
"224","V224","V190",321
"225","V225","V190",205
"226","V226","V190",439
"227","V227","V190",373
"228","V228","V190",464
"229","V229","V190",16
"230","V230","V190",125
"231","V231","V190",66
"232","V232","V190",17
"233","V233","V190",57
"234","V234","V190",270
"235","V235","V190",59
"236","V236","V190",36
"263","V263","V190",2
"14811","V7","V193",3
"14813","V9","V193",2
"14820","V16","V193",4
"14821","V17","V193",10
"14822","V18","V193",1
"14824","V20","V193",4
"14825","V21","V193",6
"14831","V27","V193",1
"14833","V29","V193",2
"14953","V149","V193",2
"14954","V150","V193",2
"14959","V155","V193",2
"14978","V174","V193",3
"14979","V175","V193",2
"14983","V179","V193",4
"14990","V186","V193",2
"14991","V187","V193",42
"14992","V188","V193",71
"14993","V189","V193",40
"14994","V190","V193",4
"14995","V191","V193",17
"14996","V192","V193",16
"14997","V193","V193",177
"14998","V194","V193",87
"15009","V205","V193",7
"15010","V206","V193",11
"15011","V207","V193",36
"15012","V208","V193",1
"15013","V209","V193",44
"15026","V222","V193",32
"15027","V223","V193",1
"15028","V224","V193",43
"15030","V226","V193",63
"15031","V227","V193",49
"15034","V230","V193",26
"15035","V231","V193",39
"15036","V232","V193",2
"15037","V233","V193",3
"15038","V234","V193",1
"15039","V235","V193",1
"15040","V236","V193",17
"15062","V258","V193",1
"29611","V3","V194",1
"29615","V7","V194",2
"29617","V9","V194",1
"29624","V16","V194",2
"29625","V17","V194",8
"29628","V20","V194",2
"29635","V27","V194",3
"29757","V149","V194",2
"29764","V156","V194",1
"29782","V174","V194",3
"29795","V187","V194",151
"29796","V188","V194",174
"29797","V189","V194",25
"29798","V190","V194",26
"29799","V191","V194",26
"29800","V192","V194",18
"29801","V193","V194",89
"29802","V194","V194",139
"29812","V204","V194",13
"29813","V205","V194",2
"29814","V206","V194",5
"29815","V207","V194",31
"29816","V208","V194",10
"29817","V209","V194",50
"29823","V215","V194",1
"29830","V222","V194",2
"29832","V224","V194",11
"29834","V226","V194",40
"29835","V227","V194",4
"29838","V230","V194",1
"29839","V231","V194",10
"29840","V232","V194",1
"29842","V234","V194",50
"29843","V235","V194",1
"29864","V256","V194",1
"29906","V298","V194",1
"45515","V1103","V1130",1
"45516","V1104","V1130",2
"45541","V1129","V1130",6
"45542","V1130","V1130",2
"45544","V1132","V1130",58
"45567","V1155","V1130",9
"60336","V1120","V1170",1
"60337","V1121","V1170",2
"60339","V1123","V1170",1
"60367","V1151","V1170",1
"60379","V1163","V1170",79
"60380","V1164","V1170",2
"60381","V1165","V1170",40
"60383","V1167","V1170",113
"60384","V1168","V1170",123
"60385","V1169","V1170",22
"60386","V1170","V1170",87
"60387","V1171","V1170",2
"60388","V1172","V1170",1
"60389","V1173","V1170",71
"60390","V1174","V1170",2
"60391","V1175","V1170",2
"60392","V1176","V1170",101
"60393","V1177","V1170",2
"60394","V1178","V1170",19
"60449","V1233","V1170",1
"60452","V1236","V1170",1
"60453","V1237","V1170",1
"60456","V1240","V1170",7
"60457","V1241","V1170",11
"75138","V1118","V1173",3
"75139","V1119","V1173",6
"75172","V1152","V1173",2
"75173","V1153","V1173",1
"75174","V1154","V1173",5
"75183","V1163","V1173",31
"75184","V1164","V1173",9
"75185","V1165","V1173",10
"75186","V1166","V1173",10
"75187","V1167","V1173",12
"75188","V1168","V1173",5
"75189","V1169","V1173",12
"75191","V1171","V1173",3
"75192","V1172","V1173",40
"75194","V1174","V1173",34
"75195","V1175","V1173",36
"75196","V1176","V1173",8
"75197","V1177","V1173",36
"75198","V1178","V1173",38
"75221","V1201","V1173",2
"75253","V1233","V1173",10
"75254","V1234","V1173",4
"75255","V1235","V1173",28
"75256","V1236","V1173",61
"75257","V1237","V1173",35
"75258","V1238","V1173",1
"75259","V1239","V1173",18
"75260","V1240","V1173",77
"75261","V1241","V1173",37
"75262","V1242","V1173",106
"89942","V1118","V1174",1
"89943","V1119","V1174",2
"89976","V1152","V1174",1
"89978","V1154","V1174",2
"89988","V1164","V1174",9
"89989","V1165","V1174",2
"89990","V1166","V1174",1
"89991","V1167","V1174",1
"89992","V1168","V1174",8
"89993","V1169","V1174",1
"89994","V1170","V1174",10
"89995","V1171","V1174",12
"89996","V1172","V1174",45
"89997","V1173","V1174",53
"89998","V1174","V1174",13
"89999","V1175","V1174",9
"90000","V1176","V1174",24
"90001","V1177","V1174",44
"90002","V1178","V1174",62
"90025","V1201","V1174",1
"90026","V1202","V1174",1
"90057","V1233","V1174",156
"90058","V1234","V1174",22
"90059","V1235","V1174",61
"90060","V1236","V1174",12
"90061","V1237","V1174",19
"90062","V1238","V1174",55
"90063","V1239","V1174",14
"90064","V1240","V1174",10
"90065","V1241","V1174",11
"90066","V1242","V1174",21
"104746","V1118","V1175",2
"104747","V1119","V1175",8
"104779","V1151","V1175",2
"104780","V1152","V1175",1
"104782","V1154","V1175",1
"104791","V1163","V1175",27
"104792","V1164","V1175",15
"104793","V1165","V1175",27
"104794","V1166","V1175",38
"104795","V1167","V1175",3
"104796","V1168","V1175",9
"104797","V1169","V1175",31
"104798","V1170","V1175",80
"104801","V1173","V1175",49
"104802","V1174","V1175",1
"104803","V1175","V1175",96
"104804","V1176","V1175",57
"104806","V1178","V1175",100
"104823","V1195","V1175",7
"104827","V1199","V1175",1
"104828","V1200","V1175",2
"104829","V1201","V1175",1
"104830","V1202","V1175",6
"104832","V1204","V1175",3
"104833","V1205","V1175",16
"104861","V1233","V1175",9
"104863","V1235","V1175",12
"104864","V1236","V1175",5
"104865","V1237","V1175",1
"104866","V1238","V1175",4
"104868","V1240","V1175",2
"104869","V1241","V1175",2
"104870","V1242","V1175",17
"119549","V1117","V1176",2
"119550","V1118","V1176",2
"119551","V1119","V1176",5
"119552","V1120","V1176",2
"119586","V1154","V1176",6
"119595","V1163","V1176",61
"119596","V1164","V1176",7
"119597","V1165","V1176",16
"119598","V1166","V1176",5
"119599","V1167","V1176",69
"119600","V1168","V1176",20
"119601","V1169","V1176",68
"119602","V1170","V1176",1
"119604","V1172","V1176",34
"119605","V1173","V1176",31
"119606","V1174","V1176",22
"119607","V1175","V1176",159
"119608","V1176","V1176",96
"119609","V1177","V1176",26
"119610","V1178","V1176",204
"119627","V1195","V1176",5
"119631","V1199","V1176",1
"119632","V1200","V1176",1
"119633","V1201","V1176",1
"119634","V1202","V1176",5
"119636","V1204","V1176",4
"119637","V1205","V1176",8
"119665","V1233","V1176",41
"119666","V1234","V1176",3
"119667","V1235","V1176",7
"119668","V1236","V1176",4
"119669","V1237","V1176",2
"119670","V1238","V1176",3
"119671","V1239","V1176",10
"119672","V1240","V1176",13
"119673","V1241","V1176",5
"119674","V1242","V1176",4
"134354","V1118","V1177",11
"134355","V1119","V1177",2
"134399","V1163","V1177",11
"134400","V1164","V1177",19
"134401","V1165","V1177",13
"134402","V1166","V1177",1
"134404","V1168","V1177",10
"134405","V1169","V1177",10
"134406","V1170","V1177",34
"134407","V1171","V1177",6
"134408","V1172","V1177",47
"134409","V1173","V1177",35
"134410","V1174","V1177",12
"134411","V1175","V1177",16
"134412","V1176","V1177",52
"134413","V1177","V1177",37
"134414","V1178","V1177",136
"134431","V1195","V1177",4
"134437","V1201","V1177",1
"134440","V1204","V1177",1
"134454","V1218","V1177",2
"134455","V1219","V1177",3
"134469","V1233","V1177",114
"134470","V1234","V1177",43
"134471","V1235","V1177",51
"134472","V1236","V1177",20
"134473","V1237","V1177",32
"134474","V1238","V1177",49
"134475","V1239","V1177",5
"134476","V1240","V1177",7
"134477","V1241","V1177",12
"134478","V1242","V1177",8
"149200","V1160","V1182",9
"149204","V1164","V1182",1
"149206","V1166","V1182",1
"149207","V1167","V1182",3
"149208","V1168","V1182",3
"149210","V1170","V1182",1
"149211","V1171","V1182",11
"149212","V1172","V1182",2
"149213","V1173","V1182",3
"149214","V1174","V1182",19
"149215","V1175","V1182",2
"149216","V1176","V1182",5
"149217","V1177","V1182",2
"149219","V1179","V1182",10
"149221","V1181","V1182",25
"149222","V1182","V1182",14
"149223","V1183","V1182",17
"149224","V1184","V1182",26
"149225","V1185","V1182",37
"149226","V1186","V1182",21
"149227","V1187","V1182",33
"149228","V1188","V1182",4
"149229","V1189","V1182",2
"149230","V1190","V1182",24
"149231","V1191","V1182",3
"149232","V1192","V1182",4
"149234","V1194","V1182",3
"149235","V1195","V1182",5
"149237","V1197","V1182",5
"149243","V1203","V1182",8
"149246","V1206","V1182",4
"149247","V1207","V1182",3
"149248","V1208","V1182",14
"149249","V1209","V1182",1
"149253","V1213","V1182",1
"149254","V1214","V1182",3
"149255","V1215","V1182",6
"149256","V1216","V1182",6
"149257","V1217","V1182",9
"149258","V1218","V1182",6
"149259","V1219","V1182",14
"149260","V1220","V1182",15
"149261","V1221","V1182",26
"149262","V1222","V1182",19
"149264","V1224","V1182",1
"149265","V1225","V1182",11
"149266","V1226","V1182",13
"149267","V1227","V1182",10
"149268","V1228","V1182",47
"149269","V1229","V1182",2
"149271","V1231","V1182",9
"149273","V1233","V1182",3
"149274","V1234","V1182",14
"149275","V1235","V1182",16
"149276","V1236","V1182",14
"149277","V1237","V1182",5
"149278","V1238","V1182",15
"149279","V1239","V1182",18
"149280","V1240","V1182",4
"149281","V1241","V1182",12
"149282","V1242","V1182",7
"149283","V1243","V1182",13
"149284","V1244","V1182",14
"149285","V1245","V1182",1
"149286","V1246","V1182",23
"164112","V1268","V1271",29
"164114","V1270","V1271",25
"164115","V1271","V1271",5
"164116","V1272","V1271",4
"164117","V1273","V1271",11
"164119","V1275","V1271",5
"164123","V1279","V1271",2
"164124","V1280","V1271",1
"164127","V1283","V1271",1
"164128","V1284","V1271",1
"164129","V1285","V1271",4
"164131","V1287","V1271",2
"164132","V1288","V1271",1
"164135","V1291","V1271",10
"164136","V1292","V1271",1
"164137","V1293","V1271",4
"164138","V1294","V1271",2
"164145","V1301","V1271",2
"164149","V1305","V1271",3
"164151","V1307","V1271",2
"164153","V1309","V1271",2
"164154","V1310","V1271",4
"164155","V1311","V1271",12
"164156","V1312","V1271",6
"164158","V1314","V1271",2
"164161","V1317","V1271",4
"164162","V1318","V1271",57
"164163","V1319","V1271",3
"164164","V1320","V1271",18
"164165","V1321","V1271",5
"164166","V1322","V1271",7
"164167","V1323","V1271",26
"164168","V1324","V1271",12
"164172","V1328","V1271",31
"164173","V1329","V1271",3
"164176","V1332","V1271",15
"164177","V1333","V1271",1
"164184","V1340","V1271",1
"164212","V1368","V1271",19
"164213","V1369","V1271",1
"164215","V1371","V1271",1
"164219","V1375","V1271",2
"164221","V1377","V1271",5
"164222","V1378","V1271",1
"164224","V1380","V1271",6
"164226","V1382","V1271",1
"164227","V1383","V1271",2
"164235","V1391","V1271",2
"164238","V1394","V1271",1
"164240","V1396","V1271",42
"164241","V1397","V1271",13
"164242","V1398","V1271",3
"164243","V1399","V1271",12
"164244","V1400","V1271",22
"164245","V1401","V1271",2
"164246","V1402","V1271",8
"164247","V1403","V1271",11
"164248","V1404","V1271",7
"164250","V1406","V1271",40
"164252","V1408","V1271",3
"164253","V1409","V1271",12
"164254","V1410","V1271",28
"164255","V1411","V1271",14
"164257","V1413","V1271",10
"164260","V1416","V1271",2
"164261","V1417","V1271",5
"164265","V1421","V1271",17
"164270","V1426","V1271",4
"164271","V1427","V1271",2
"164272","V1428","V1271",3
"164273","V1429","V1271",3
"164274","V1430","V1271",1
"164275","V1431","V1271",3
"164276","V1432","V1271",10
"164277","V1433","V1271",1
"164278","V1434","V1271",2
"164279","V1435","V1271",4
"164281","V1437","V1271",15
"164283","V1439","V1271",1
"164285","V1441","V1271",2
"164288","V1444","V1271",23
"164289","V1445","V1271",2
"164292","V1448","V1271",1
"164293","V1449","V1271",8
"164294","V1450","V1271",4
"164297","V1453","V1271",10
"164298","V1454","V1271",1
"164299","V1455","V1271",2
"164301","V1457","V1271",9
"164302","V1458","V1271",1
"164303","V1459","V1271",1
"164306","V1462","V1271",4
"164307","V1463","V1271",6
"164308","V1464","V1271",1
"164309","V1465","V1271",1
"164310","V1466","V1271",9
"164311","V1467","V1271",3
"164312","V1468","V1271",3
"164313","V1469","V1271",1
"164315","V1471","V1271",4
"164317","V1473","V1271",2
"164318","V1474","V1271",2
"164319","V1475","V1271",30
"164323","V1479","V1271",1
"164324","V1480","V1271",3
"164325","V1481","V1271",2
"164326","V1482","V1271",4
"164327","V1483","V1271",1
"164329","V1485","V1271",7
"164330","V1486","V1271",1
"164331","V1487","V1271",6
"164348","V1504","V1271",1
"164366","V1522","V1271",7
"164369","V1525","V1271",3
"164370","V1526","V1271",1
"164372","V1528","V1271",3
"164376","V1532","V1271",1
"164377","V1533","V1271",1
"164378","V1534","V1271",4
"164380","V1536","V1271",4
"164384","V1540","V1271",3
"164385","V1541","V1271",3
"164388","V1544","V1271",2
"164393","V1549","V1271",3
"164395","V1551","V1271",1
"164401","V1557","V1271",2
"164404","V1560","V1271",5
"164405","V1561","V1271",2
"164407","V1563","V1271",1
"164408","V1564","V1271",2
"164410","V1566","V1271",4
"164413","V1569","V1271",2
"164414","V1570","V1271",4
"164417","V1573","V1271",3
"164421","V1577","V1271",3
"164424","V1580","V1271",2
"164426","V1582","V1271",1
"164427","V1583","V1271",2
"164429","V1585","V1271",1
"164431","V1587","V1271",1
"164432","V1588","V1271",5
"164435","V1591","V1271",3
"164436","V1592","V1271",4
"164437","V1593","V1271",2
"164438","V1594","V1271",1
"164439","V1595","V1271",1
"164440","V1596","V1271",4
"164445","V1601","V1271",1
"164446","V1602","V1271",1
"164447","V1603","V1271",5
"164448","V1604","V1271",10
"164449","V1605","V1271",1
"164521","V1677","V1271",18
"164522","V1678","V1271",11
"164523","V1679","V1271",1
"164525","V1681","V1271",9
"164526","V1682","V1271",12
"164527","V1683","V1271",9
"164528","V1684","V1271",5
"164529","V1685","V1271",3
