"","From","To","Prob"
"187","V187","V190",176
"188","V188","V190",96
"189","V189","V190",358
"190","V190","V190",360
"191","V191","V190",64
"193","V193","V190",40
"194","V194","V190",52
"204","V204","V190",152
"205","V205","V190",48
"206","V206","V190",6
"207","V207","V190",324
"208","V208","V190",162
"209","V209","V190",262
"213","V213","V190",16
"222","V222","V190",320
"223","V223","V190",58
"224","V224","V190",230
"225","V225","V190",144
"226","V226","V190",260
"227","V227","V190",344
"228","V228","V190",176
"229","V229","V190",24
"230","V230","V190",90
"231","V231","V190",58
"232","V232","V190",10
"233","V233","V190",26
"234","V234","V190",30
"235","V235","V190",18
"236","V236","V190",28
"14811","V7","V193",6
"14812","V8","V193",2
"14816","V12","V193",2
"14821","V17","V193",20
"14824","V20","V193",4
"14978","V174","V193",12
"14991","V187","V193",14
"14992","V188","V193",48
"14995","V191","V193",2
"14996","V192","V193",4
"14997","V193","V193",270
"14998","V194","V193",168
"29610","V2","V194",4
"29611","V3","V194",2
"29615","V7","V194",2
"29624","V16","V194",2
"29625","V17","V194",14
"29628","V20","V194",2
"29757","V149","V194",2
"29775","V167","V194",2
"29782","V174","V194",4
"29795","V187","V194",106
"29796","V188","V194",70
"29797","V189","V194",4
"29800","V192","V194",12
"29801","V193","V194",124
"29802","V194","V194",164
"29812","V204","V194",2
"29815","V207","V194",4
"29816","V208","V194",2
"29827","V219","V194",2
"29830","V222","V194",2
"29833","V225","V194",2
"29834","V226","V194",2
"29837","V229","V194",2
"29839","V231","V194",12
"29843","V235","V194",2
"45516","V1104","V1130",6
"60379","V1163","V1170",10
"60380","V1164","V1170",2
"60381","V1165","V1170",2
"60383","V1167","V1170",12
"60384","V1168","V1170",28
"60385","V1169","V1170",6
"60386","V1170","V1170",106
"60388","V1172","V1170",2
"60389","V1173","V1170",140
"60391","V1175","V1170",8
"60392","V1176","V1170",188
"60393","V1177","V1170",2
"60394","V1178","V1170",20
"60449","V1233","V1170",4
"60452","V1236","V1170",8
"60455","V1239","V1170",2
"60456","V1240","V1170",18
"60457","V1241","V1170",2
"75172","V1152","V1173",2
"75184","V1164","V1173",2
"75186","V1166","V1173",16
"75189","V1169","V1173",2
"75191","V1171","V1173",12
"75192","V1172","V1173",64
"75194","V1174","V1173",44
"75195","V1175","V1173",44
"75196","V1176","V1173",10
"75197","V1177","V1173",76
"75198","V1178","V1173",44
"75222","V1202","V1173",2
"75224","V1204","V1173",2
"75225","V1205","V1173",2
"75253","V1233","V1173",6
"75254","V1234","V1173",12
"75255","V1235","V1173",66
"75256","V1236","V1173",104
"75257","V1237","V1173",26
"75259","V1239","V1173",28
"75260","V1240","V1173",28
"75261","V1241","V1173",22
"89990","V1166","V1174",4
"89991","V1167","V1174",2
"89995","V1171","V1174",28
"89996","V1172","V1174",24
"89998","V1174","V1174",32
"89999","V1175","V1174",20
"90001","V1177","V1174",56
"90002","V1178","V1174",2
"90057","V1233","V1174",130
"90058","V1234","V1174",4
"90059","V1235","V1174",120
"90060","V1236","V1174",28
"90061","V1237","V1174",2
"90062","V1238","V1174",114
"90063","V1239","V1174",16
"90064","V1240","V1174",4
"90065","V1241","V1174",16
"90066","V1242","V1174",58
"104792","V1164","V1175",24
"104794","V1166","V1175",68
"104795","V1167","V1175",4
"104801","V1173","V1175",48
"104803","V1175","V1175",134
"104804","V1176","V1175",16
"104806","V1178","V1175",24
"104828","V1200","V1175",2
"104830","V1202","V1175",24
"104832","V1204","V1175",8
"104833","V1205","V1175",20
"104861","V1233","V1175",8
"104862","V1234","V1175",2
"104863","V1235","V1175",6
"104866","V1238","V1175",2
"104870","V1242","V1175",40
"119596","V1164","V1176",2
"119598","V1166","V1176",12
"119601","V1169","V1176",10
"119604","V1172","V1176",38
"119605","V1173","V1176",38
"119606","V1174","V1176",6
"119607","V1175","V1176",166
"119608","V1176","V1176",34
"119609","V1177","V1176",36
"119610","V1178","V1176",166
"119627","V1195","V1176",2
"119633","V1201","V1176",2
"119634","V1202","V1176",8
"119637","V1205","V1176",4
"119665","V1233","V1176",30
"119666","V1234","V1176",4
"119667","V1235","V1176",22
"119668","V1236","V1176",6
"119669","V1237","V1176",2
"119670","V1238","V1176",2
"119671","V1239","V1176",8
"119672","V1240","V1176",12
"119673","V1241","V1176",2
"134403","V1167","V1177",2
"134405","V1169","V1177",6
"134407","V1171","V1177",16
"134408","V1172","V1177",50
"134409","V1173","V1177",4
"134410","V1174","V1177",20
"134412","V1176","V1177",2
"134413","V1177","V1177",74
"134414","V1178","V1177",8
"134431","V1195","V1177",2
"134438","V1202","V1177",4
"134440","V1204","V1177",2
"134441","V1205","V1177",6
"134454","V1218","V1177",2
"134469","V1233","V1177",152
"134470","V1234","V1177",30
"134471","V1235","V1177",114
"134472","V1236","V1177",58
"134473","V1237","V1177",32
"134474","V1238","V1177",76
"134475","V1239","V1177",8
"134476","V1240","V1177",6
"134477","V1241","V1177",28
"134478","V1242","V1177",12
"149224","V1184","V1182",36
"149248","V1208","V1182",54
"149254","V1214","V1182",2
"149255","V1215","V1182",6
"149258","V1218","V1182",12
"149259","V1219","V1182",20
"149260","V1220","V1182",10
"149261","V1221","V1182",22
"149262","V1222","V1182",30
"149265","V1225","V1182",20
"149266","V1226","V1182",8
"149267","V1227","V1182",16
"149268","V1228","V1182",84
"149283","V1243","V1182",18
"149284","V1244","V1182",34
"149286","V1246","V1182",26
"164112","V1268","V1271",52
"164114","V1270","V1271",42
"164115","V1271","V1271",14
"164116","V1272","V1271",12
"164117","V1273","V1271",20
"164119","V1275","V1271",10
"164124","V1280","V1271",4
"164136","V1292","V1271",4
"164148","V1304","V1271",2
"164149","V1305","V1271",2
"164151","V1307","V1271",4
"164153","V1309","V1271",4
"164161","V1317","V1271",2
"164166","V1322","V1271",2
"164167","V1323","V1271",2
"164168","V1324","V1271",2
"164176","V1332","V1271",38
"164212","V1368","V1271",30
"164215","V1371","V1271",4
"164221","V1377","V1271",4
"164242","V1398","V1271",14
"164243","V1399","V1271",16
"164244","V1400","V1271",30
"164245","V1401","V1271",4
"164248","V1404","V1271",20
"164249","V1405","V1271",2
"164252","V1408","V1271",2
"164255","V1411","V1271",4
"164257","V1413","V1271",2
"164258","V1414","V1271",2
"164260","V1416","V1271",4
"164261","V1417","V1271",2
"164276","V1432","V1271",6
"164308","V1464","V1271",2
"164311","V1467","V1271",4
"164401","V1557","V1271",4
"164404","V1560","V1271",2
"164410","V1566","V1271",2
"174858","V12014","V1271",2
"174921","V12077","V1271",2
"174922","V12078","V1271",2
"176087","V13243","V1271",2
"176098","V13254","V1271",2
"176108","V13264","V1271",2
"176122","V13278","V1271",2
"176129","V13285","V1271",2
"176132","V13288","V1271",2
"176133","V13289","V1271",2
"176137","V13293","V1271",2
"176138","V13294","V1271",2
"176140","V13296","V1271",4
"176150","V13306","V1271",4
"176153","V13309","V1271",2
"176248","V13404","V1271",2
"178916","V1268","V1272",62
"178917","V1269","V1272",4
"178920","V1272","V1272",2
"178923","V1275","V1272",8
"178927","V1279","V1272",40
"178928","V1280","V1272",90
"178930","V1282","V1272",34
"178940","V1292","V1272",2
"178951","V1303","V1272",6
"178952","V1304","V1272",2
"178953","V1305","V1272",6
"178954","V1306","V1272",8
"178955","V1307","V1272",4
"178956","V1308","V1272",4
"178960","V1312","V1272",16
"178967","V1319","V1272",18
"178971","V1323","V1272",24
"178980","V1332","V1272",110
"179016","V1368","V1272",8
"179025","V1377","V1272",2
"179046","V1398","V1272",28
"179047","V1399","V1272",22
"179048","V1400","V1272",4
"179049","V1401","V1272",4
"179052","V1404","V1272",8
"179056","V1408","V1272",2
"179059","V1411","V1272",2
"179067","V1419","V1272",2
"179078","V1430","V1272",2
"179083","V1435","V1272",20
"179103","V1455","V1272",16
"179111","V1463","V1272",6
"179112","V1464","V1272",2
"179205","V1557","V1272",2
"179208","V1560","V1272",2
"179384","V1736","V1272",2
"189722","V12074","V1272",2
"190907","V13259","V1272",4
"190914","V13266","V1272",4
"190926","V13278","V1272",2
"190933","V13285","V1272",4
"190941","V13293","V1272",2
"190942","V13294","V1272",2
"190944","V13296","V1272",6
"190954","V13306","V1272",8
"190956","V13308","V1272",4
"190957","V13309","V1272",8
"191052","V13404","V1272",8
"193720","V1268","V1273",2
"193727","V1275","V1273",30
"193756","V1304","V1273",34
"193757","V1305","V1273",36
"193759","V1307","V1273",42
"193761","V1309","V1273",8
"193762","V1310","V1273",56
"193763","V1311","V1273",2
"193766","V1314","V1273",4
"193820","V1368","V1273",6
"193821","V1369","V1273",6
"193823","V1371","V1273",20
"193827","V1375","V1273",12
"193863","V1411","V1273",2
"193871","V1419","V1273",2
"193875","V1423","V1273",2
"193879","V1427","V1273",2
"193884","V1432","V1273",4
"193891","V1439","V1273",2
"193893","V1441","V1273",2
"193897","V1445","V1273",6
"193913","V1461","V1273",2
"193916","V1464","V1273",2
"193917","V1465","V1273",4
"193919","V1467","V1273",4
"193923","V1471","V1273",4
"193938","V1486","V1273",8
"194419","V1967","V1273",2
"204529","V12077","V1273",2
"205711","V13259","V1273",2
"205715","V13263","V1273",2
"205758","V13306","V1273",2
"205857","V13405","V1273",2
"208524","V1268","V1274",14
"208526","V1270","V1274",16
"208528","V1272","V1274",2
"208529","V1273","V1274",6
"208530","V1274","V1274",2
"208560","V1304","V1274",2
"208561","V1305","V1274",12
"208563","V1307","V1274",4
"208565","V1309","V1274",2
"208566","V1310","V1274",6
"208570","V1314","V1274",4
"208573","V1317","V1274",14
"208580","V1324","V1274",2
"208588","V1332","V1274",4
"208624","V1368","V1274",20
"208625","V1369","V1274",2
"208627","V1371","V1274",14
"208631","V1375","V1274",8
"208633","V1377","V1274",4
"208657","V1401","V1274",2
"208661","V1405","V1274",2
"208665","V1409","V1274",2
"208667","V1411","V1274",2
"208673","V1417","V1274",2
"208675","V1419","V1274",4
"208679","V1423","V1274",2
"208681","V1425","V1274",2
"208719","V1463","V1274",52
"208722","V1466","V1274",2
"208726","V1470","V1274",2
"208742","V1486","V1274",4
"208813","V1557","V1274",2
"208816","V1560","V1274",6
"208822","V1566","V1274",2
"219270","V12014","V1274",2
"219333","V12077","V1274",2
"219341","V12085","V1274",2
"220513","V13257","V1274",2
"220549","V13293","V1274",4
"223666","V1606","V1623",14
"223671","V1611","V1623",18
"223672","V1612","V1623",24
"223673","V1613","V1623",2
"223674","V1614","V1623",16
"223675","V1615","V1623",4
"223676","V1616","V1623",6
"223677","V1617","V1623",24
"223678","V1618","V1623",8
"223679","V1619","V1623",50
"223680","V1620","V1623",96
"223681","V1621","V1623",24
"223682","V1622","V1623",60
"223683","V1623","V1623",2
"223685","V1625","V1623",2
"223687","V1627","V1623",8
"223688","V1628","V1623",4
"223689","V1629","V1623",14
"223690","V1630","V1623",4
"223693","V1633","V1623",26
"223694","V1634","V1623",4
"223696","V1636","V1623",2
"223697","V1637","V1623",20
"223698","V1638","V1623",20
"223700","V1640","V1623",24
"223701","V1641","V1623",4
"223705","V1645","V1623",2
"223711","V1651","V1623",20
"223712","V1652","V1623",12
"223715","V1655","V1623",2
"223728","V1668","V1623",6
"223732","V1672","V1623",2
"223735","V1675","V1623",2
"223757","V1697","V1623",2
"223766","V1706","V1623",10
"223768","V1708","V1623",4
"223769","V1709","V1623",36
"223770","V1710","V1623",38
"223771","V1711","V1623",30
"223772","V1712","V1623",6
"223773","V1713","V1623",14
"223774","V1714","V1623",12
"223775","V1715","V1623",24
"223776","V1716","V1623",22
"223778","V1718","V1623",36
"223779","V1719","V1623",18
"223780","V1720","V1623",10
"223793","V1733","V1623",6
"223805","V1745","V1623",4
"223813","V1753","V1623",2
"223815","V1755","V1623",8
"223816","V1756","V1623",6
"223818","V1758","V1623",4
"223876","V1816","V1623",10
"223887","V1827","V1623",8
"223890","V1830","V1623",4
"223894","V1834","V1623",2
"223897","V1837","V1623",2
"223899","V1839","V1623",4
"223900","V1840","V1623",4
"223902","V1842","V1623",2
"223908","V1848","V1623",4
"223909","V1849","V1623",8
"223910","V1850","V1623",14
"223911","V1851","V1623",6
"223915","V1855","V1623",24
"223916","V1856","V1623",2
"223917","V1857","V1623",4
"223918","V1858","V1623",8
"223920","V1860","V1623",12
"223923","V1863","V1623",2
"223927","V1867","V1623",18
"223928","V1868","V1623",2
"223929","V1869","V1623",2
"223930","V1870","V1623",20
"223931","V1871","V1623",2
"223933","V1873","V1623",6
"223940","V1880","V1623",4
"223941","V1881","V1623",2
"223942","V1882","V1623",2
"223955","V1895","V1623",2
"223958","V1898","V1623",6
"223965","V1905","V1623",6
"223969","V1909","V1623",2
"223971","V1911","V1623",4
"223974","V1914","V1623",4
"223977","V1917","V1623",14
"223978","V1918","V1623",6
"223980","V1920","V1623",18
"223983","V1923","V1623",8
"223984","V1924","V1623",18
"223987","V1927","V1623",8
"223989","V1929","V1623",2
"223990","V1930","V1623",24
"223992","V1932","V1623",6
"223995","V1935","V1623",32
"224001","V1941","V1623",4
"224003","V1943","V1623",2
"224012","V1952","V1623",30
"224013","V1953","V1623",10
"224054","V1994","V1623",20
"224055","V1995","V1623",14
"224057","V1997","V1623",4
"224058","V1998","V1623",10
"224059","V1999","V1623",2
"224060","V2000","V1623",4
"224061","V2001","V1623",8
"224062","V2002","V1623",6
"224064","V2004","V1623",4
"224065","V2005","V1623",14
"224066","V2006","V1623",8
"238470","V1606","V1651",2
"238477","V1613","V1651",4
"238478","V1614","V1651",4
"238479","V1615","V1651",2
"238488","V1624","V1651",108
"238489","V1625","V1651",6
"238490","V1626","V1651",8
"238492","V1628","V1651",20
"238493","V1629","V1651",4
"238494","V1630","V1651",36
"238495","V1631","V1651",56
"238497","V1633","V1651",154
"238498","V1634","V1651",94
"238499","V1635","V1651",2
"238500","V1636","V1651",84
"238501","V1637","V1651",8
"238502","V1638","V1651",24
"238505","V1641","V1651",22
"238509","V1645","V1651",4
"238514","V1650","V1651",2
"238515","V1651","V1651",42
"238516","V1652","V1651",40
"238517","V1653","V1651",68
"238518","V1654","V1651",56
"238519","V1655","V1651",24
"238520","V1656","V1651",38
"238527","V1663","V1651",8
"238528","V1664","V1651",2
"238529","V1665","V1651",6
"238534","V1670","V1651",6
"238535","V1671","V1651",4
"238536","V1672","V1651",2
"238540","V1676","V1651",2
"238562","V1698","V1651",2
"238572","V1708","V1651",4
"238573","V1709","V1651",16
"238575","V1711","V1651",2
"238576","V1712","V1651",14
"238578","V1714","V1651",8
"238579","V1715","V1651",46
"238580","V1716","V1651",20
"238581","V1717","V1651",20
"238582","V1718","V1651",6
"238583","V1719","V1651",120
"238584","V1720","V1651",44
"238585","V1721","V1651",34
"238586","V1722","V1651",50
"238597","V1733","V1651",34
"238620","V1756","V1651",2
"238622","V1758","V1651",6
"238637","V1773","V1651",2
"238678","V1814","V1651",12
"238680","V1816","V1651",40
"238681","V1817","V1651",102
"238684","V1820","V1651",8
"238685","V1821","V1651",40
"238705","V1841","V1651",6
"238713","V1849","V1651",4
"238715","V1851","V1651",4
"238717","V1853","V1651",16
"238718","V1854","V1651",8
"238719","V1855","V1651",6
"238720","V1856","V1651",2
"238721","V1857","V1651",68
"238725","V1861","V1651",4
"238728","V1864","V1651",70
"238730","V1866","V1651",18
"238731","V1867","V1651",4
"238733","V1869","V1651",2
"238734","V1870","V1651",4
"238736","V1872","V1651",20
"238737","V1873","V1651",20
"238738","V1874","V1651",10
"238739","V1875","V1651",18
"238740","V1876","V1651",6
"238745","V1881","V1651",4
"238748","V1884","V1651",26
"238759","V1895","V1651",56
"238762","V1898","V1651",2
"238765","V1901","V1651",12
"238767","V1903","V1651",82
"238769","V1905","V1651",14
"238770","V1906","V1651",126
"238773","V1909","V1651",116
"238774","V1910","V1651",4
"238775","V1911","V1651",88
"238776","V1912","V1651",106
"238778","V1914","V1651",6
"238779","V1915","V1651",14
"238781","V1917","V1651",60
"238782","V1918","V1651",28
"238790","V1926","V1651",26
"238792","V1928","V1651",26
"238793","V1929","V1651",2
"238794","V1930","V1651",28
"238795","V1931","V1651",24
"238796","V1932","V1651",78
"238799","V1935","V1651",10
"238800","V1936","V1651",14
"238803","V1939","V1651",50
"238805","V1941","V1651",2
"238807","V1943","V1651",6
"238815","V1951","V1651",2
"238866","V2002","V1651",2
"238867","V2003","V1651",6
"238870","V2006","V1651",10
"253282","V1614","V1653",2
"253286","V1618","V1653",2
"253292","V1624","V1653",18
"253293","V1625","V1653",10
"253294","V1626","V1653",4
"253296","V1628","V1653",8
"253297","V1629","V1653",4
"253298","V1630","V1653",198
"253299","V1631","V1653",36
"253301","V1633","V1653",56
"253302","V1634","V1653",10
"253304","V1636","V1653",68
"253309","V1641","V1653",18
"253313","V1645","V1653",2
"253319","V1651","V1653",74
"253320","V1652","V1653",38
"253321","V1653","V1653",304
"253322","V1654","V1653",116
"253323","V1655","V1653",144
"253324","V1656","V1653",104
"253331","V1663","V1653",22
"253333","V1665","V1653",32
"253335","V1667","V1653",2
"253336","V1668","V1653",16
"253338","V1670","V1653",2
"253344","V1676","V1653",4
"253366","V1698","V1653",28
"253376","V1708","V1653",4
"253377","V1709","V1653",6
"253382","V1714","V1653",4
"253385","V1717","V1653",122
"253386","V1718","V1653",2
"253387","V1719","V1653",38
"253388","V1720","V1653",104
"253389","V1721","V1653",90
"253390","V1722","V1653",210
"253401","V1733","V1653",24
"253426","V1758","V1653",4
"253432","V1764","V1653",2
"253441","V1773","V1653",2
"253482","V1814","V1653",26
"253484","V1816","V1653",4
"253485","V1817","V1653",4
"253489","V1821","V1653",108
"253490","V1822","V1653",2
"253516","V1848","V1653",2
"253519","V1851","V1653",2
"253521","V1853","V1653",14
"253522","V1854","V1653",12
"253523","V1855","V1653",2
"253524","V1856","V1653",2
"253525","V1857","V1653",8
"253534","V1866","V1653",18
"253535","V1867","V1653",2
"253537","V1869","V1653",6
"253538","V1870","V1653",10
"253540","V1872","V1653",18
"253541","V1873","V1653",20
"253542","V1874","V1653",6
"253543","V1875","V1653",18
"253552","V1884","V1653",16
"253563","V1895","V1653",26
"253569","V1901","V1653",8
"253571","V1903","V1653",10
"253574","V1906","V1653",94
"253577","V1909","V1653",4
"253579","V1911","V1653",16
"253580","V1912","V1653",130
"253585","V1917","V1653",14
"253586","V1918","V1653",54
"253594","V1926","V1653",18
"253596","V1928","V1653",20
"253599","V1931","V1653",4
"253600","V1932","V1653",178
"253603","V1935","V1653",10
"253604","V1936","V1653",54
"253605","V1937","V1653",50
"253607","V1939","V1653",4
"253609","V1941","V1653",78
"253611","V1943","V1653",142
"253619","V1951","V1653",10
"268125","V1653","V1663",4
"268128","V1656","V1663",24
"268131","V1659","V1663",2
"268132","V1660","V1663",30
"268133","V1661","V1663",2
"268134","V1662","V1663",156
"268135","V1663","V1663",368
"268136","V1664","V1663",76
"268189","V1717","V1663",2
"268191","V1719","V1663",16
"268192","V1720","V1663",12
"268193","V1721","V1663",20
"268194","V1722","V1663",18
"268205","V1733","V1663",4
"268361","V1889","V1663",2
"268400","V1928","V1663",34
"268403","V1931","V1663",10
"268404","V1932","V1663",4
"268408","V1936","V1663",2
"268409","V1937","V1663",18
"268411","V1939","V1663",36
"268413","V1941","V1663",26
"282925","V1649","V1670",14
"282926","V1650","V1670",20
"282928","V1652","V1670",6
"282931","V1655","V1670",16
"282937","V1661","V1670",2
"282941","V1665","V1670",370
"282946","V1670","V1670",134
"282947","V1671","V1670",72
"282948","V1672","V1670",2
"282972","V1696","V1670",26
"282973","V1697","V1670",26
"282974","V1698","V1670",168
"282987","V1711","V1670",4
"282988","V1712","V1670",4
"282989","V1713","V1670",2
"282990","V1714","V1670",4
"282994","V1718","V1670",4
"283032","V1756","V1670",2
"283039","V1763","V1670",2
"283105","V1829","V1670",2
"283109","V1833","V1670",4
"283116","V1840","V1670",2
"283151","V1875","V1670",2
"283203","V1927","V1670",4
"283211","V1935","V1670",2
"283660","V2384","V1670",4
"283662","V2386","V1670",6
"283678","V2402","V1670",2
"297582","V1502","V1675",2
"297687","V1607","V1675",10
"297688","V1608","V1675",24
"297689","V1609","V1675",12
"297690","V1610","V1675",28
"297691","V1611","V1675",18
"297692","V1612","V1675",6
"297703","V1623","V1675",2
"297753","V1673","V1675",12
"297756","V1676","V1675",28
"297757","V1677","V1675",2
"297758","V1678","V1675",14
"297759","V1679","V1675",8
"297763","V1683","V1675",6
"297766","V1686","V1675",12
"297769","V1689","V1675",4
"297771","V1691","V1675",8
"297772","V1692","V1675",6
"297824","V1744","V1675",2
"297891","V1811","V1675",2
"297937","V1857","V1675",22
"297944","V1864","V1675",16
"298004","V1924","V1675",4
"298025","V1945","V1675",2
"298026","V1946","V1675",6
"298047","V1967","V1675",10
"298049","V1969","V1675",2
"298052","V1972","V1675",4
"298054","V1974","V1675",4
"298055","V1975","V1675",10
