"","From","To","Prob"
"1","V1","V190",15
"6","V6","V190",15
"8","V8","V190",15
"13","V13","V190",25
"14","V14","V190",40
"16","V16","V190",15
"18","V18","V190",15
"20","V20","V190",15
"23","V23","V190",50
"29","V29","V190",15
"187","V187","V190",145
"188","V188","V190",70
"189","V189","V190",660
"190","V190","V190",595
"191","V191","V190",500
"192","V192","V190",40
"193","V193","V190",70
"194","V194","V190",60
"204","V204","V190",465
"205","V205","V190",525
"206","V206","V190",495
"207","V207","V190",475
"208","V208","V190",510
"209","V209","V190",445
"210","V210","V190",95
"211","V211","V190",95
"212","V212","V190",55
"213","V213","V190",85
"214","V214","V190",100
"215","V215","V190",100
"216","V216","V190",100
"217","V217","V190",50
"218","V218","V190",80
"219","V219","V190",40
"220","V220","V190",40
"221","V221","V190",55
"222","V222","V190",295
"223","V223","V190",240
"224","V224","V190",425
"225","V225","V190",250
"226","V226","V190",435
"227","V227","V190",475
"228","V228","V190",450
"229","V229","V190",130
"230","V230","V190",220
"231","V231","V190",205
"232","V232","V190",95
"233","V233","V190",190
"234","V234","V190",540
"235","V235","V190",175
"236","V236","V190",190
"237","V237","V190",15
"239","V239","V190",15
"241","V241","V190",20
"253","V253","V190",65
"254","V254","V190",105
"256","V256","V190",50
"257","V257","V190",50
"258","V258","V190",110
"259","V259","V190",75
"288","V288","V190",15
"289","V289","V190",15
"295","V295","V190",20
"306","V306","V190",15
"308","V308","V190",15
"14817","V13","V193",15
"14822","V18","V193",15
"14831","V27","V193",40
"14833","V29","V193",20
"14957","V153","V193",20
"14959","V155","V193",15
"14972","V168","V193",25
"14976","V172","V193",15
"14979","V175","V193",30
"14983","V179","V193",20
"14991","V187","V193",20
"14992","V188","V193",25
"14997","V193","V193",25
"14998","V194","V193",20
"15008","V204","V193",35
"15010","V206","V193",25
"15014","V210","V193",15
"15018","V214","V193",20
"15023","V219","V193",15
"15027","V223","V193",20
"15029","V225","V193",15
"15030","V226","V193",15
"15032","V228","V193",20
"15034","V230","V193",15
"15039","V235","V193",15
"29758","V150","V194",25
"29763","V155","V194",15
"29783","V175","V194",40
"29787","V179","V194",25
"29795","V187","V194",55
"29796","V188","V194",20
"29797","V189","V194",25
"29798","V190","V194",35
"29799","V191","V194",15
"29801","V193","V194",20
"29802","V194","V194",35
"29812","V204","V194",25
"29813","V205","V194",20
"29814","V206","V194",25
"29816","V208","V194",20
"29817","V209","V194",25
"29818","V210","V194",15
"29822","V214","V194",15
"29830","V222","V194",15
"29831","V223","V194",15
"29832","V224","V194",20
"29834","V226","V194",15
"29835","V227","V194",20
"29836","V228","V194",25
"29844","V236","V194",15
"29864","V256","V194",15
"29902","V294","V194",15
"60339","V1123","V1170",15
"60381","V1165","V1170",25
"60383","V1167","V1170",15
"60387","V1171","V1170",15
"60389","V1173","V1170",30
"60454","V1238","V1170",15
"75138","V1118","V1173",15
"75140","V1120","V1173",15
"75184","V1164","V1173",15
"75196","V1176","V1173",15
"75197","V1177","V1173",15
"89978","V1154","V1174",15
"89989","V1165","V1174",15
"89999","V1175","V1174",15
"90000","V1176","V1174",20
"90002","V1178","V1174",30
"90060","V1236","V1174",20
"90061","V1237","V1174",25
"104745","V1117","V1175",25
"104746","V1118","V1175",20
"104747","V1119","V1175",15
"104748","V1120","V1175",25
"104779","V1151","V1175",25
"104781","V1153","V1175",15
"104792","V1164","V1175",30
"104793","V1165","V1175",20
"104801","V1173","V1175",15
"104804","V1176","V1175",35
"104806","V1178","V1175",25
"104864","V1236","V1175",25
"104869","V1241","V1175",15
"119550","V1118","V1176",15
"119596","V1164","V1176",40
"119601","V1169","V1176",25
"119608","V1176","V1176",75
"119610","V1178","V1176",15
"119666","V1234","V1176",15
"119667","V1235","V1176",15
"134355","V1119","V1177",15
"134356","V1120","V1177",15
"134357","V1121","V1177",15
"134387","V1151","V1177",20
"134389","V1153","V1177",15
"134401","V1165","V1177",25
"134411","V1175","V1177",20
"134414","V1178","V1177",40
"134458","V1222","V1177",15
"134463","V1227","V1177",15
"134472","V1236","V1177",15
"149204","V1164","V1182",25
"149205","V1165","V1182",15
"149206","V1166","V1182",15
"149207","V1167","V1182",25
"149208","V1168","V1182",20
"149211","V1171","V1182",40
"149212","V1172","V1182",15
"149213","V1173","V1182",40
"149214","V1174","V1182",25
"149216","V1176","V1182",15
"149223","V1183","V1182",15
"149225","V1185","V1182",20
"149226","V1186","V1182",30
"149229","V1189","V1182",15
"149261","V1221","V1182",15
"149273","V1233","V1182",15
"149274","V1234","V1182",15
"149275","V1235","V1182",20
"149276","V1236","V1182",20
"149277","V1237","V1182",25
"149278","V1238","V1182",25
"149279","V1239","V1182",15
"149281","V1241","V1182",25
"149282","V1242","V1182",35
"149285","V1245","V1182",15
"164138","V1294","V1271",15
"164146","V1302","V1271",15
"164156","V1312","V1271",20
"164159","V1315","V1271",15
"164164","V1320","V1271",20
"164173","V1329","V1271",15
"164176","V1332","V1271",15
"164209","V1365","V1271",20
"164225","V1381","V1271",15
"164227","V1383","V1271",15
"164238","V1394","V1271",15
"164241","V1397","V1271",15
"164250","V1406","V1271",15
"164253","V1409","V1271",20
"164255","V1411","V1271",20
"164257","V1413","V1271",15
"164262","V1418","V1271",15
"164265","V1421","V1271",15
"164266","V1422","V1271",15
"164270","V1426","V1271",15
"164272","V1428","V1271",25
"164273","V1429","V1271",25
"164278","V1434","V1271",20
"164283","V1439","V1271",20
"164286","V1442","V1271",15
"164289","V1445","V1271",15
"164290","V1446","V1271",15
"164292","V1448","V1271",15
"164293","V1449","V1271",15
"164296","V1452","V1271",15
"164297","V1453","V1271",15
"164300","V1456","V1271",15
"164301","V1457","V1271",15
"164305","V1461","V1271",15
"164306","V1462","V1271",15
"164316","V1472","V1271",15
"164320","V1476","V1271",20
"164322","V1478","V1271",15
"164324","V1480","V1271",15
"164327","V1483","V1271",15
"164336","V1492","V1271",15
"164354","V1510","V1271",15
"164378","V1534","V1271",15
"164381","V1537","V1271",15
"164382","V1538","V1271",15
"164425","V1581","V1271",15
"164435","V1591","V1271",15
"164440","V1596","V1271",15
"164442","V1598","V1271",15
"164655","V1811","V1271",15
"164656","V1812","V1271",20
"164790","V1946","V1271",15
"164794","V1950","V1271",25
"164824","V1980","V1271",15
"165268","V2424","V1271",20
"165288","V2444","V1271",20
"165868","V3024","V1271",25
"172154","V9310","V1271",15
"172167","V9323","V1271",15
"178933","V1285","V1272",20
"178935","V1287","V1272",15
"178938","V1290","V1272",15
"178939","V1291","V1272",15
"178940","V1292","V1272",15
"178943","V1295","V1272",15
"178946","V1298","V1272",15
"178963","V1315","V1272",15
"178967","V1319","V1272",15
"178968","V1320","V1272",15
"178979","V1331","V1272",15
"178992","V1344","V1272",15
"179008","V1360","V1272",20
"179009","V1361","V1272",20
"179013","V1365","V1272",15
"179015","V1367","V1272",15
"179017","V1369","V1272",15
"179032","V1384","V1272",15
"179045","V1397","V1272",15
