"","From","To","Prob"
"14","V14","V190",1
"23","V23","V190",1
"187","V187","V190",45
"188","V188","V190",7
"189","V189","V190",317
"190","V190","V190",342
"191","V191","V190",278
"193","V193","V190",29
"194","V194","V190",8
"204","V204","V190",225
"205","V205","V190",281
"206","V206","V190",272
"207","V207","V190",260
"208","V208","V190",288
"209","V209","V190",252
"210","V210","V190",13
"211","V211","V190",50
"212","V212","V190",48
"213","V213","V190",62
"214","V214","V190",11
"215","V215","V190",70
"216","V216","V190",87
"217","V217","V190",34
"218","V218","V190",16
"219","V219","V190",30
"220","V220","V190",24
"221","V221","V190",23
"222","V222","V190",154
"223","V223","V190",144
"224","V224","V190",232
"225","V225","V190",151
"226","V226","V190",281
"227","V227","V190",236
"228","V228","V190",256
"229","V229","V190",78
"230","V230","V190",118
"231","V231","V190",82
"232","V232","V190",91
"233","V233","V190",143
"234","V234","V190",153
"235","V235","V190",115
"236","V236","V190",152
"249","V249","V190",1
"253","V253","V190",3
"254","V254","V190",7
"255","V255","V190",2
"256","V256","V190",20
"257","V257","V190",8
"258","V258","V190",4
"259","V259","V190",14
"14805","V1","V193",1
"14810","V6","V193",2
"14811","V7","V193",4
"14812","V8","V193",5
"14813","V9","V193",4
"14816","V12","V193",1
"14820","V16","V193",6
"14821","V17","V193",12
"14824","V20","V193",7
"14825","V21","V193",4
"14833","V29","V193",1
"14954","V150","V193",3
"14957","V153","V193",5
"14959","V155","V193",3
"14968","V164","V193",1
"14971","V167","V193",2
"14972","V168","V193",4
"14976","V172","V193",2
"14978","V174","V193",4
"14979","V175","V193",3
"14983","V179","V193",4
"14991","V187","V193",12
"14992","V188","V193",10
"14993","V189","V193",3
"14994","V190","V193",6
"14995","V191","V193",1
"14996","V192","V193",22
"14997","V193","V193",33
"14998","V194","V193",16
"15008","V204","V193",2
"15009","V205","V193",2
"15010","V206","V193",3
"15011","V207","V193",4
"15012","V208","V193",5
"15013","V209","V193",1
"15014","V210","V193",1
"15015","V211","V193",2
"15017","V213","V193",5
"15023","V219","V193",4
"15026","V222","V193",1
"15028","V224","V193",1
"15030","V226","V193",2
"15031","V227","V193",2
"15034","V230","V193",1
"15036","V232","V193",3
"15038","V234","V193",3
"15058","V254","V193",1
"15061","V257","V193",1
"15062","V258","V193",2
"21965","V7161","V193",2
"29609","V1","V194",1
"29610","V2","V194",3
"29611","V3","V194",2
"29612","V4","V194",2
"29616","V8","V194",1
"29618","V10","V194",3
"29619","V11","V194",3
"29624","V16","V194",2
"29625","V17","V194",12
"29628","V20","V194",4
"29632","V24","V194",1
"29635","V27","V194",1
"29757","V149","V194",3
"29758","V150","V194",1
"29761","V153","V194",1
"29764","V156","V194",1
"29772","V164","V194",1
"29775","V167","V194",1
"29782","V174","V194",3
"29795","V187","V194",18
"29796","V188","V194",22
"29797","V189","V194",1
"29798","V190","V194",4
"29799","V191","V194",4
"29800","V192","V194",6
"29801","V193","V194",13
"29802","V194","V194",15
"29812","V204","V194",3
"29813","V205","V194",3
"29814","V206","V194",11
"29815","V207","V194",7
"29816","V208","V194",7
"29817","V209","V194",7
"29818","V210","V194",3
"29819","V211","V194",2
"29820","V212","V194",4
"29821","V213","V194",4
"29822","V214","V194",1
"29823","V215","V194",8
"29824","V216","V194",5
"29825","V217","V194",8
"29826","V218","V194",5
"29827","V219","V194",2
"29828","V220","V194",12
"29829","V221","V194",3
"29830","V222","V194",1
"29832","V224","V194",1
"29833","V225","V194",1
"29834","V226","V194",3
"29835","V227","V194",6
"29836","V228","V194",4
"29839","V231","V194",7
"29840","V232","V194",3
"29841","V233","V194",1
"29842","V234","V194",3
"29843","V235","V194",1
"29844","V236","V194",4
"29864","V256","V194",4
"29867","V259","V194",1
"29902","V294","V194",1
"29906","V298","V194",3
"29908","V300","V194",1
"29920","V312","V194",4
"45514","V1102","V1130",1
"45515","V1103","V1130",5
"45516","V1104","V1130",3
"45541","V1129","V1130",1
"45543","V1131","V1130",1
"60333","V1117","V1170",2
"60336","V1120","V1170",1
"60337","V1121","V1170",2
"60339","V1123","V1170",1
"60367","V1151","V1170",1
"60379","V1163","V1170",19
"60381","V1165","V1170",17
"60383","V1167","V1170",14
"60384","V1168","V1170",15
"60385","V1169","V1170",13
"60386","V1170","V1170",33
"60387","V1171","V1170",1
"60388","V1172","V1170",1
"60389","V1173","V1170",4
"60391","V1175","V1170",2
"60392","V1176","V1170",1
"60393","V1177","V1170",4
"60394","V1178","V1170",2
"60449","V1233","V1170",4
"60450","V1234","V1170",1
"60451","V1235","V1170",4
"60452","V1236","V1170",2
"60456","V1240","V1170",4
"60457","V1241","V1170",5
"60458","V1242","V1170",1
"69753","V10537","V1170",3
"75137","V1117","V1173",2
"75138","V1118","V1173",4
"75139","V1119","V1173",7
"75140","V1120","V1173",3
"75142","V1122","V1173",1
"75171","V1151","V1173",1
"75172","V1152","V1173",2
"75174","V1154","V1173",7
"75183","V1163","V1173",2
"75184","V1164","V1173",11
"75185","V1165","V1173",23
"75186","V1166","V1173",7
"75187","V1167","V1173",13
"75188","V1168","V1173",11
"75189","V1169","V1173",7
"75191","V1171","V1173",1
"75192","V1172","V1173",4
"75194","V1174","V1173",3
"75195","V1175","V1173",10
"75196","V1176","V1173",2
"75197","V1177","V1173",9
"75198","V1178","V1173",61
"75215","V1195","V1173",1
"75221","V1201","V1173",2
"75224","V1204","V1173",2
"75253","V1233","V1173",3
"75254","V1234","V1173",11
"75255","V1235","V1173",16
"75256","V1236","V1173",2
"75257","V1237","V1173",4
"75260","V1240","V1173",2
"75261","V1241","V1173",2
"75262","V1242","V1173",5
"89941","V1117","V1174",1
"89942","V1118","V1174",2
"89943","V1119","V1174",4
"89944","V1120","V1174",2
"89976","V1152","V1174",1
"89978","V1154","V1174",2
"89988","V1164","V1174",6
"89989","V1165","V1174",2
"89991","V1167","V1174",10
"89992","V1168","V1174",2
"89993","V1169","V1174",3
"89995","V1171","V1174",8
"89996","V1172","V1174",5
"89997","V1173","V1174",5
"89998","V1174","V1174",3
"89999","V1175","V1174",3
"90000","V1176","V1174",11
"90001","V1177","V1174",4
"90002","V1178","V1174",24
"90028","V1204","V1174",1
"90046","V1222","V1174",1
"90058","V1234","V1174",1
"90059","V1235","V1174",3
"90060","V1236","V1174",1
"90061","V1237","V1174",2
"90063","V1239","V1174",5
"90065","V1241","V1174",1
"90066","V1242","V1174",1
"104745","V1117","V1175",1
"104746","V1118","V1175",6
"104747","V1119","V1175",6
"104748","V1120","V1175",1
