locality,sites,region,area,biomassarea1,biomassarea2,biomassarea,lon,lat,grav_total,Age_of_protection,Class,richness,temp
abrolhos,abrolhos_1,sw_atlantic,6560,129.2454912,129.2454912,135.1024104,-38.6928,-17.9649,24.5418829,36,Restricted,50,25.9122393
aceh,aceh_1,central_iwp,17500,453.732283,453.732283,510.6010796,95.26,5.8791,131.2382199,36,Closed,250,28.91175731
aceh,aceh_2,central_iwp,2000,86.56011682,86.56011682,110.0393068,95.1565,5.6286,450.3657373,0,Fished,136,28.93665872
aceh,aceh_4,central_iwp,2500,98.35833124,98.35833124,241.9489834,95.3501,5.866,170.9666102,9,Restricted,129,28.95750211
aceh,aceh_5,central_iwp,3000,126.9153394,126.9153394,147.1494285,95.3417,5.7889,379.9162581,0,Fished,130,28.9640574
ailuk_atoll,ailuk_atoll_1,central_pacific,2500,580.0722374,580.0722374,728.7596764,169.9616,10.2477,0.297504049,9,Closed,118,27.91438875
ailuk_atoll,ailuk_atoll_2,central_pacific,2000,1100.793627,1100.793627,1384.147535,169.8599,10.2817,8.17660596,9,Closed,111,27.91886028
ailuk_atoll,ailuk_atoll_3,central_pacific,2500,451.9924885,451.9924885,606.5092474,169.9125,10.387,0.916308183,9,Closed,131,27.9030443
ambon,ambon_1,central_iwp,5000,326.135093,326.135093,935.1365995,128.1243,-3.7329,1098.96048,0,Fished,200,28.49055249
austral_islands,austral_islands_1,polynesian,6000,34.471528,34.471528,50.80442346,-154.718,-21.802,0.005855667,0,Fished,97,25.48674916
bali,bali_1,central_iwp,9000,422.9497439,422.9497439,443.8842569,115.595,-8.2778,2332.618606,0,Fished,275,28.83700921
Bazaruto,2 Mile,western_indian,3800,39.42787184,39.42787184,40.47564214,35.4523,-22.0393,36,19,Closed,146,26.29
Bazaruto,6 Mile,western_indian,800,68.38923868,68.38923868,72.05438226,35.5021,-21.7271,28,19,Closed,75,26.29
Bazaruto,Baluba,western_indian,400,120.4016967,120.4016967,125.5061168,35.5268,-22.0433,36,19,Closed,64,26.29
Bazaruto,Lighthouse,western_indian,2100,46.11812785,46.11812785,51.05639107,35.4982,-21.5193,22,19,Closed,92,26.29
Bazaruto,Magaruque,western_indian,600,166.8769114,166.8769114,194.0491071,35.4266,-21.9622,28,19,Closed,69,26.29
Bazaruto,Santa Carolina,western_indian,1700,55.0636799,55.0636799,60.05433743,35.3362,-21.6275,28,19,Closed,98,26.29
belize,belize_2,caribbean,16500,155.2087193,155.2087193,175.583647,-88.0841,16.7938,101.3461117,23,Restricted,103,28.02936684
belize,belize_3,caribbean,2000,141.208764,141.208764,150.3753962,-88.0662,16.8683,100.5459794,23,Restricted,58,28.00453661
bocas_del_toro,bocas_del_toro_1,caribbean,4000,33.07927582,33.07927582,33.32948271,-82.1108,9.2597,64.90122141,0,Fished,40,28.00115765
bocas_del_toro,bocas_del_toro_2,caribbean,4500,67.35103156,67.35103156,68.32231789,-82.3379,9.2645,125.8592676,0,Fished,35,28.02461878
bocas_del_toro,bocas_del_toro_3,caribbean,7500,77.74042919,77.74042919,81.79125251,-82.2706,9.3373,131.9897393,0,Fished,62,28.01735426
bonaire,bonaire_1,caribbean,2500,510.4410485,510.4410485,525.481289,-68.2681,12.0458,76.32979504,27,Restricted,66,27.39184496
bonaire,bonaire_2,caribbean,1500,289.7148989,289.7148989,294.0054834,-68.2877,12.1126,53.52726759,27,Restricted,58,27.42594135
bonaire,bonaire_3,caribbean,3000,274.9593321,274.9593321,315.2466745,-68.3237,12.2084,159.6667909,27,Restricted,74,27.44957222
cambodia,cambodia_1,central_iwp,2500,52.40896631,52.40896631,64.83304623,103.2937,10.6293,251.4285945,0,Fished,64,29.04454481
capricorn_group,capricorn_group_1,sw_pacific,4500,584.9219877,584.9219877,657.7301152,150.9469,-23.1919,9.916668674,15,Closed,84,24.18477492
capricorn_group,capricorn_group_2,sw_pacific,8000,241.3003285,241.3003285,257.4690763,152.3847,-23.8806,7.461503311,15,Closed,199,24.5154978
capricorn_group,capricorn_group_4,sw_pacific,7000,268.5863302,268.5863302,354.3719501,151.7587,-23.5191,6.779172882,15,Restricted,172,24.28291566
capricorn_group,capricorn_group_6,sw_pacific,4500,312.677658,312.677658,368.3250452,151.727,-23.2781,4.218634727,15,Restricted,153,24.43738718
capricorn_group,capricorn_group_7,sw_pacific,2000,759.9568269,759.9568269,808.6940425,151.0717,-23.157,8.798819935,15,Closed,76,24.22564294
capricorn_group,capricorn_group_8,sw_pacific,6000,540.8430757,713.8596924,761.8801232,151.9286,-23.2148,3.261797926,15,Closed,155,24.55463253
central_coral_sea,central_coral_sea_1,sw_pacific,6000,242.0754041,242.0754041,293.3167588,152.2226,-19.2887,0.105308823,7,Closed,162,26.11375899
central_coral_sea,central_coral_sea_10,sw_pacific,2000,484.892859,484.892859,639.4450865,151.8413,-17.1141,0.005860597,7,Closed,105,26.64634114
central_coral_sea,central_coral_sea_12,sw_pacific,4500,323.2553283,323.2553283,622.1930672,151.0713,-17.4272,0.13898351,7,Closed,140,26.5582935
central_coral_sea,central_coral_sea_13,sw_pacific,2000,462.6031983,462.6031983,489.7260227,150.952,-17.4516,0.14848753,7,Closed,91,26.53115768
central_coral_sea,central_coral_sea_14,sw_pacific,5000,245.0714168,303.3324119,400.6575578,150.789,-17.6788,0.21864636,7,Closed,133,26.48135211
central_coral_sea,central_coral_sea_15,sw_pacific,3000,221.0375059,221.0375059,327.7067155,150.6335,-17.7737,0.247770716,7,Closed,126,26.46397257
central_coral_sea,central_coral_sea_16,sw_pacific,4000,255.3245329,255.3245329,398.0450864,149.6135,-18.0708,0.436503634,7,Closed,124,26.43222284
central_coral_sea,central_coral_sea_17,sw_pacific,4500,392.3837395,392.3837395,466.0899903,148.4922,-17.8513,0.730447591,7,Closed,146,26.51416426
central_coral_sea,central_coral_sea_18,sw_pacific,5000,308.597585,338.9264917,569.2466998,148.4486,-17.7109,0.703473762,7,Closed,137,26.52524038
central_coral_sea,central_coral_sea_19,sw_pacific,7000,283.8299502,283.8299502,572.3520499,150.3072,-16.5689,0.181255823,7,Closed,169,26.81819764
central_coral_sea,central_coral_sea_2,sw_pacific,7000,227.4405194,227.4405194,237.6715265,152.3429,-19.2461,0.095627052,7,Closed,184,26.11044847
central_coral_sea,central_coral_sea_20,sw_pacific,4000,189.8539924,189.8539924,219.2209549,149.9609,-16.2939,0.184343605,7,Closed,129,26.9018395
central_coral_sea,central_coral_sea_21,sw_pacific,7000,474.8821846,474.8821846,597.6573167,147.8493,-16.4949,0.599937535,7,Closed,169,26.76329348
central_coral_sea,central_coral_sea_22,sw_pacific,12000,938.5630612,1071.25906,1458.30433,147.0995,-15.4857,0.558261139,7,Closed,239,26.95444082
central_coral_sea,central_coral_sea_23,sw_pacific,2000,161.4558966,161.4558966,174.0602302,152.3431,-18.9861,0.081743892,7,Closed,74,26.1798981
central_coral_sea,central_coral_sea_3,sw_pacific,4000,352.6465003,406.4975003,509.4689175,152.3876,-19.1104,0.083861723,7,Closed,146,26.14337838
central_coral_sea,central_coral_sea_4,sw_pacific,5000,241.726872,306.034072,559.127459,149.195,-16.9329,0.326855143,7,Closed,184,26.71731865
central_coral_sea,central_coral_sea_5,sw_pacific,8000,262.9439183,262.9439183,309.0218023,149.9993,-16.9304,0.228821343,7,Closed,185,26.6901062
central_coral_sea,central_coral_sea_6,sw_pacific,2000,214.0556667,214.0556667,381.3540134,149.9051,-16.9665,0.242196096,7,Closed,113,26.69073325
central_coral_sea,central_coral_sea_7,sw_pacific,13500,386.382277,435.4103773,526.4463592,155.8579,-17.4032,0,7,Closed,184,26.73878637
central_coral_sea,central_coral_sea_8,sw_pacific,5000,386.8520941,386.8520941,658.0751778,152.0767,-17.1215,0.000344196,7,Closed,165,26.67324968
central_coral_sea,central_coral_sea_9,sw_pacific,4000,95.21191194,95.21191194,115.9348285,151.984,-17.1153,0.002573642,7,Closed,113,26.65258977
central_gbr,central_gbr_1,sw_pacific,4000,158.5178339,158.5178339,160.8062968,145.9921,-16.945,12.60558979,15,Restricted,129,26.46935317
central_gbr,central_gbr_10,sw_pacific,4000,237.9279047,237.9279047,268.7227415,146.1925,-18.0397,8.772265516,15,Closed,90,26.29538276
central_gbr,central_gbr_11,sw_pacific,2000,734.7927889,857.4129712,888.5685044,146.4497,-17.7721,5.584992654,15,Restricted,106,26.40171901
central_gbr,central_gbr_12,sw_pacific,1500,80.32589215,80.32589215,91.84558881,148.2615,-19.9783,42.00170134,15,Restricted,46,25.69291837
central_gbr,central_gbr_13,sw_pacific,8500,452.9310057,452.9310057,541.5278457,148.9025,-20.0661,19.4375289,15,Restricted,151,25.54306077
central_gbr,central_gbr_18,sw_pacific,2000,85.84672413,85.84672413,836.7006672,147.447,-18.4048,1.947964267,15,Closed,124,26.38260346
central_gbr,central_gbr_19,sw_pacific,3000,91.16645409,91.16645409,173.5811921,147.38,-18.2662,1.770948976,15,Closed,147,26.45829897
central_gbr,central_gbr_2,sw_pacific,4000,337.0801062,337.0801062,361.0823777,145.9812,-16.566,7.410903311,15,Closed,160,26.5672119
central_gbr,central_gbr_20,sw_pacific,2000,153.1607444,153.1607444,154.3649673,147.403,-18.6505,2.843159731,15,Restricted,121,26.23464071
central_gbr,central_gbr_21,sw_pacific,4000,894.643504,894.643504,989.3920578,149.0719,-19.7987,2.434943659,15,Closed,158,25.6795832
central_gbr,central_gbr_24,sw_pacific,3000,1250.382857,1250.382857,1418.726831,146.5018,-17.5199,5.169381462,15,Closed,142,26.46488439
central_gbr,central_gbr_25,sw_pacific,2000,140.743057,140.743057,140.743057,145.5318,-16.5197,32.60832418,15,Restricted,41,26.46988989
central_gbr,central_gbr_26,sw_pacific,2000,434.2453149,539.349418,562.7273777,145.5731,-16.3883,13.60789281,15,Closed,98,26.51169711
central_gbr,central_gbr_27,sw_pacific,2000,213.4556524,213.4556524,215.0552843,145.785,-16.2122,4.321748627,15,Restricted,118,26.54714343
central_gbr,central_gbr_3,sw_pacific,2500,440.9014478,440.9014478,492.7696994,146.1918,-16.8886,6.858620512,15,Restricted,149,26.51465166
central_gbr,central_gbr_5,sw_pacific,13500,803.1217673,803.1217673,943.5466871,146.2678,-16.7592,5.027961459,15,Restricted,269,26.58228857
central_gbr,central_gbr_6,sw_pacific,4000,233.4619936,233.4619936,235.4895703,146.0881,-17.219,6.205424803,15,Restricted,99,26.44288548
central_gbr,central_gbr_7,sw_pacific,1500,146.3016712,146.3016712,150.5250485,145.8175,-15.9682,2.628967975,15,Closed,114,26.61292931
central_gbr,central_gbr_9,sw_pacific,3000,148.176814,148.176814,867.8087509,146.2799,-18.1358,6.667953172,15,Closed,63,26.28109472
christmas_island,christmas_island_1,central_iwp,6000,562.5997084,562.5997084,649.815989,105.6774,-10.4334,301.6950936,39,Restricted,202,27.7325076
christmas_island,christmas_island_2,central_iwp,2500,298.9445391,298.9445391,359.7594441,105.5969,-10.4617,10.22965783,39,Restricted,140,27.73467077
clipperton,clipperton_1,offshore_tep,8000,285.4827992,285.4827992,381.5852009,-109.2167,10.3171,0,3,Closed,41,27.87131376
cocos,cocos_1,offshore_tep,52300,683.1800463,769.2691768,1527.403106,-87.0606,5.5382,3.38E-05,37,Closed,93,27.63421351
coiba,coiba_1,continental_tep,13000,512.6080094,518.4793322,586.416089,-82.0353,7.9685,51.62274446,0,Fished,68,28.45392325
coiba,coiba_10,continental_tep,10500,327.2023254,416.0060669,778.7241126,-81.8095,7.2439,17.63828907,14,Restricted,66,28.12772938
coiba,coiba_11,continental_tep,5000,320.1850795,337.5641478,540.8745022,-81.6953,7.3126,22.71726327,14,Restricted,44,28.12772938
coiba,coiba_12,continental_tep,2000,133.806565,133.806565,149.6635204,-81.5909,7.3471,26.96722611,14,Restricted,46,28.11145066
coiba,coiba_13,continental_tep,3000,55.27128578,55.27128578,66.79299745,-82.2471,7.4705,20.71879792,14,Restricted,34,28.35676826
