"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"1","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.41718856311357,5.67271910736208,5.83910847149945,6.00913158718844,6.25812540788083,"TRANSIENT","Biomass","Intercept"
"2","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.352621715363677,0.427621603378962,0.477614480309639,0.530022411214779,0.603773437258982,"TRANSIENT","Biomass","Richness"
"3","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",-0.0353216897046857,0.0464751003147035,0.103513682835303,0.158287315342949,0.236615046413173,"TRANSIENT","Biomass","Human/Env."
"4","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.263758753677878,-0.186070930314034,-0.135830044234219,-0.0845449730341208,0.00209196962406051,"TRANSIENT","Biomass","Human/Env."
"5","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.387410684894109,-0.165292679489623,-0.0181339305276407,0.133854808475766,0.343258844628214,"TRANSIENT","Biomass","Human/Env."
"6","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.220868636290363,-0.0196724628232906,0.111539228196671,0.249348702703174,0.447327687778669,"TRANSIENT","Biomass","Human/Env."
"7","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.907762706435135,-0.649045705492875,-0.466029887322263,-0.270914720748111,0.00378137358938587,"TRANSIENT","Biomass","Intrinsic Connect."
"8","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.685218300575092,-0.368006770877839,-0.166233512775347,0.0464837029074576,0.366455983390809,"TRANSIENT","Biomass","Intrinsic Connect."
"9","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.0223211572509588,0.208963740332512,0.364696299896682,0.513274914775978,0.742121134441523,"TRANSIENT","Biomass","Intrinsic Connect."
"10","Betweeness Centr.","b_logbiomassarea_log_btwdegree",0.9,0.5,"median",-0.499817793590122,-0.024535473642021,0.178236006306335,0.393636800473257,0.972925757876722,"TRANSIENT","Biomass","Intrinsic Connect."
"11","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.116733854498147,-0.0786135829077416,-0.0508883756944867,-0.0230175376348878,0.0202884008290138,"TRANSIENT","Biomass","Extrinsic Connect."
"12","Inflow MPA","b_logbiomassarea_log_InflowMPABR",0.9,0.5,"median",-0.853984954673003,-0.413142794495493,-0.13936715457586,0.142634015242071,0.646982535347683,"TRANSIENT","Biomass","Extrinsic Connect."
"13","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.154096799262712,-0.086857024419571,-0.0434540379798824,0.00152528126514952,0.0698119729583959,"TRANSIENT","Biomass","Extrinsic Connect."
"14","Corridor Indegree","b_logbiomassarea_log_CorridorIndegreeBR",0.9,0.5,"median",-0.241258146276048,-0.0136897211147537,0.133893827346137,0.284352131573503,0.546884628365486,"TRANSIENT","Biomass","Extrinsic Connect."
"15","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.0860749754875721,0.180211188273313,0.242886205390406,0.307770285619361,0.398986973204758,"TRANSIENT","Biomass","Human/Env."
"16","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0151539059090229,0.100321842308929,0.159232245958876,0.219240105437893,0.306922608441102,"TRANSIENT","Biomass","Human/Env."
"17","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",-0.0667361783838442,0.0186080702063401,0.0807114234470129,0.139543831133253,0.221730575112201,"TRANSIENT","Biomass","Intrinsic Connect."
"18","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.496706892627137,-0.194618358062114,0.0173934585648837,0.231874589867601,0.530550515155469,"TRANSIENT","Biomass","Intrinsic Connect."
"19","Restricted gears x Netflow","b_logbiomassarea_ClassRestricted:Netflow",0.9,0.5,"median",-0.118671949906916,0.160068385639075,0.352943448682981,0.545482672038359,0.823872343069143,"TRANSIENT","Biomass","Intrinsic Connect."
"20","Tot.Gravity x No-Take x Netflow","b_logbiomassarea_log_grav_total:ClassClosed:Netflow",0.9,0.5,"median",-0.313246437488981,-0.183171109169855,-0.0898091598256099,0.00348604162593681,0.139760831170816,"TRANSIENT","Biomass","Intrinsic Connect."
"21","Tot.Gravity x Restricted gears x Netflow","b_logbiomassarea_log_grav_total:ClassRestricted:Netflow",0.9,0.5,"median",-0.337339816406415,-0.219618739223382,-0.14070000092798,-0.0591327198512777,0.0579270442997415,"TRANSIENT","Biomass","Intrinsic Connect."
"22","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.54750059357256,5.83649290696055,6.0272820198137,6.22801533299666,6.52382820102659,"RESIDENT","Biomass","Intercept"
"23","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.326043041387854,0.400407247429811,0.4514414222456,0.503530350373352,0.576343169320156,"RESIDENT","Biomass","Richness"
"24","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0756492244646011,0.163197320225068,0.224987117875313,0.285156471524263,0.371596878411854,"RESIDENT","Biomass","Human/Env."
"25","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.300723319014315,-0.226221337566624,-0.176056204187299,-0.124820349910843,-0.0413329377273706,"RESIDENT","Biomass","Human/Env."
"26","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.303133594006339,-0.0596518953293907,0.104557431978351,0.268248675364333,0.492047929330974,"RESIDENT","Biomass","Human/Env."
