"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"1","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",5.38912060622916,5.60846087614978,5.75259807212154,5.89022341419297,6.08843936040576,"TRANSIENT","Biomass","Intercept"
"2","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.353249246763181,0.423053226727293,0.473081579793292,0.522491631478459,0.59522746018912,"TRANSIENT","Biomass","Richness"
"3","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0242877219183203,0.0959114767419134,0.146185564851607,0.197672278038547,0.269189904779073,"TRANSIENT","Biomass","Human/Env."
"4","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.268109884754139,-0.196425826114357,-0.148465384917285,-0.101514450533725,-0.0246922409610883,"TRANSIENT","Biomass","Human/Env."
"5","No-Take","b_logbiomassarea_ClassClosed",0.9,0.5,"median",-0.333776699858761,-0.124922530500155,0.0116174754762658,0.144021615809251,0.334052241381336,"TRANSIENT","Biomass","Human/Env."
"6","Restricted gears","b_logbiomassarea_ClassRestricted",0.9,0.5,"median",-0.206605546134293,-0.0239685225110274,0.104176279822548,0.231567765194004,0.410743218948812,"TRANSIENT","Biomass","Human/Env."
"7","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.944478133428246,-0.686596501075768,-0.51248068369484,-0.334875927576074,-0.0667925288614748,"TRANSIENT","Biomass","Intrinsic Connect."
"8","Inflow","b_logbiomassarea_log_InflowBR",0.9,0.5,"median",-0.651735563345402,-0.385708474313898,-0.220813634374908,-0.0447207988982517,0.253211240965477,"TRANSIENT","Biomass","Intrinsic Connect."
"9","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",0.0163455409540758,0.212299908245471,0.343050412085144,0.468250579715202,0.66586129483889,"TRANSIENT","Biomass","Intrinsic Connect."
"10","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.105812682648733,-0.0703934014892454,-0.0459030165523779,-0.0206925123239982,0.0178012393935237,"TRANSIENT","Biomass","Extrinsic Connect."
"11","Inflow Neighb.","b_logbiomassarea_log_InflowNeiBR",0.9,0.5,"median",-0.137696059322794,-0.0727742510845178,-0.030335416457461,0.0121827166156956,0.0779362400964879,"TRANSIENT","Biomass","Extrinsic Connect."
"12","Tot.Gravity x No-Take","b_logbiomassarea_log_grav_total:ClassClosed",0.9,0.5,"median",0.0940864676972315,0.180462045947106,0.241974184764392,0.30472432119234,0.392113270742429,"TRANSIENT","Biomass","Human/Env."
"13","Tot.Gravity x Restricted gears","b_logbiomassarea_log_grav_total:ClassRestricted",0.9,0.5,"median",0.0284855672269556,0.112554428119829,0.170137662555944,0.227811869215723,0.312280752717302,"TRANSIENT","Biomass","Human/Env."
"14","Tot.Gravity x Netflow","b_logbiomassarea_log_grav_total:Netflow",0.9,0.5,"median",-0.0520174406557376,0.0326089021945589,0.090705503687156,0.148447976074985,0.235116766026001,"TRANSIENT","Biomass","Intrinsic Connect."
"15","No-Take x Netflow","b_logbiomassarea_ClassClosed:Netflow",0.9,0.5,"median",-0.399119432282579,-0.106674389247397,0.0916249786161553,0.301390138290375,0.598941286213626,"TRANSIENT","Biomass","Intrinsic Connect."
