"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"1","Intercept","b_Richness_Intercept",0.9,0.5,"median",-0.967021166478739,-0.714729745199934,-0.56228363313602,-0.408023776100885,-0.190527145543025,"TRANSIENT","Richness","Intercept"
"2","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"TRANSIENT","Richness","Richness"
"3","Temperature","b_Richness_temp",0.9,0.5,"median",0.0372099978418262,0.101465984335013,0.143848550188571,0.191352440250831,0.253522043523749,"TRANSIENT","Richness","Human/Env."
"4","Betweeness Centr.","b_Richness_log_btwdegree",0.9,0.5,"median",-0.252826219042421,-0.164279387479866,-0.103108396692038,-0.0425101142063753,0.0435376347588329,"TRANSIENT","Richness","Intrinsic Connect."
"5","Corridor Indegree","b_Richness_log_CorridorIn",0.9,0.5,"median",0.0404651319468401,0.121969401526561,0.181645614471571,0.241012082409174,0.330879204974202,"TRANSIENT","Richness","Intrinsic Connect."
"6","Inflow MPA","b_Richness_log_InflowMPA",0.9,0.5,"median",-0.153803596379117,-0.085363152185042,-0.0397341212107515,0.00741512466119867,0.0696833448850455,"TRANSIENT","Richness","Extrinsic Connect."
"7","Inflow Neighb.","b_Richness_log_InflowNei",0.9,0.5,"median",-0.13493320309086,-0.0697842960334861,-0.0235692170500298,0.0212092408407993,0.0860835119947882,"TRANSIENT","Richness","Extrinsic Connect."
"8","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.0844700685210322,-0.0313389901076997,0.0062861332469993,0.043915945125208,0.100756101481033,"TRANSIENT","Richness","Intrinsic Connect."
"9","Productivity","b_Richness_prod.annual",0.9,0.5,"median",-0.21094638906234,-0.155458582591596,-0.116704225576584,-0.0771964349868403,-0.0211279408471072,"TRANSIENT","Richness","Human/Env."
"10","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",-0.113713759045515,0.0229979281665901,0.115903051494971,0.209988410137137,0.350451364063473,"TRANSIENT","Richness","Human/Env."
"11","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.125027585371245,0.00314017856105391,0.0877631593713596,0.174622883090516,0.299946412333602,"TRANSIENT","Richness","Human/Env."
"12","Intercept","b_Richness_Intercept",0.9,0.5,"median",-0.876755131635545,-0.63896043571938,-0.495283477649617,-0.353441385764399,-0.150898247808129,"RESIDENT","Richness","Intercept"
"13","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"RESIDENT","Richness","Richness"
"14","Temperature","b_Richness_temp",0.9,0.5,"median",0.037033629824637,0.0995751159335213,0.143832998054147,0.186362702755132,0.251294316168549,"RESIDENT","Richness","Human/Env."
"15","Betweeness Centr.","b_Richness_log_btwdegree",0.9,0.5,"median",-0.115584291226764,-0.042866097845768,0.0085631861227791,0.0605909318119235,0.135096548575192,"RESIDENT","Richness","Intrinsic Connect."
"16","Corridor Indegree","b_Richness_log_CorridorIn",0.9,0.5,"median",-0.021283960634504,0.059313452609631,0.118160169389853,0.175917062903387,0.254812543925755,"RESIDENT","Richness","Intrinsic Connect."
