"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(Richness)","cond(SelfR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(CorridorIndegreeBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"772",5.57738238350577,"+",NA,NA,"+",NA,-0.124360910464147,-0.0701244111306399,NA,NA,0.531453927547863,-0.0481473645489398,NA,NA,NA,-0.260049637805862,0.10419204587503,NA,NA,45648.284401624,45733.7078900884,0.108009770366812,0.443987997866675,"Gamma(log)",14,-22810.142200812,45648.4122555053,0,0.0640274666534703
"209",5.59314951520029,"+",0.0546091212365898,NA,"+",NA,-0.129498616644287,-0.0679395882150743,NA,NA,0.532467473943694,-0.0516101708617798,NA,NA,NA,-0.261264205810814,0.0993672120959472,NA,NA,45648.9564091047,45740.4815753165,0.107701104021811,0.445514537458458,"Gamma(log)",15,-22809.4782045523,45649.1025723203,0.690316814994731,0.0453383725579705
"558",5.59908334596531,"+",0.0675121396011236,NA,"+",NA,-0.134152908495666,-0.0687740350382821,NA,-0.0863503191977431,0.533840666014513,NA,NA,NA,NA,-0.182661812315569,NA,NA,NA,45649.0305654479,45734.4540539123,0.102139275769577,0.442527536486359,"Gamma(log)",14,-22810.5152827239,45649.1584193292,0.746163823881943,0.0440898785958717
"1586",5.57955187948926,"+",NA,NA,"+",NA,-0.128402645505472,-0.0716325275411176,NA,-0.083153584777183,0.532193094155022,NA,NA,NA,NA,-0.179732878999855,NA,NA,NA,45649.1053321089,45728.4271428258,0.102291740643477,0.440745430660023,"Gamma(log)",13,-22811.5526660545,45649.2161050852,0.803849579919188,0.0428363639900189
"628",5.59814648730523,"+",0.0710413349638636,NA,"+",NA,-0.133938701439028,-0.0687207434821776,NA,NA,0.5319584445095,NA,NA,NA,NA,-0.183209789070534,NA,NA,-0.0855714573976481,45649.1084094686,45734.531897933,0.101967531586569,0.444436439241157,"Gamma(log)",14,-22810.5542047343,45649.2362633499,0.824007844588778,0.042406779166513
"613",5.59760648013664,"+",0.0696522532682357,NA,"+",NA,-0.13420048874794,-0.0686688551385004,NA,NA,0.532276124058405,NA,-0.0856545814691953,NA,NA,-0.181889653231804,NA,NA,NA,45649.2582607997,45734.6817492641,0.101868627664878,0.444211898473666,"Gamma(log)",14,-22810.6291303999,45649.386114681,0.973859175705002,0.0393455377677952
"293",5.57879445760014,"+",NA,NA,"+","+",-0.126962811824612,-0.069937757380598,NA,NA,0.534673768434579,-0.0480722281899122,NA,NA,NA,-0.278870953135336,0.112774231918431,NA,NA,45649.2302142155,45752.9587359222,0.108578518297428,0.444671875380178,"Gamma(log)",17,-22807.6151071078,45649.4166858791,1.00443037384684,0.0387486908545964
"1652",5.5757608932965,"+",NA,NA,"+",NA,-0.128777163624822,-0.0696318809122528,NA,NA,0.532792998249632,NA,NA,NA,NA,-0.252668317362784,0.0874973876377028,NA,NA,45649.3482413291,45728.670052046,0.106400780003706,0.44169069053363,"Gamma(log)",13,-22811.6741206645,45649.4590143054,1.04675880007562,0.0379372226360451
"1656",5.57763948805268,"+",NA,NA,"+",NA,-0.128091554044669,-0.0717064463266734,NA,NA,0.530277568009366,NA,NA,NA,NA,-0.180746712638032,NA,NA,-0.0807140538699106,45649.3952112001,45728.717021917,0.102120751963864,0.442482400849373,"Gamma(log)",13,-22811.6976056,45649.5059841764,1.09372867107595,0.0370566499777993
"1641",5.57751014050757,"+",NA,NA,"+",NA,-0.128377790886876,-0.0716066457959837,NA,NA,0.530615840251443,NA,-0.0813889923562072,NA,NA,-0.179331739033251,NA,NA,NA,45649.4591959673,45728.7810066843,0.102025881001584,0.442305788917177,"Gamma(log)",13,-22811.7295979837,45649.5699689436,1.15771343832603,0.0358898827630671
"60",5.59539357364887,"+",0.0564712289743675,NA,"+","+",-0.132246005169822,-0.0676739798416443,NA,NA,0.535731911382767,-0.051667383604846,NA,NA,NA,-0.280271880266389,0.107783400509247,NA,NA,45649.8086188582,45759.6388183124,0.108269905152153,0.446282556557299,"Gamma(log)",18,-22806.9043094291,45650.0170918847,1.60483637943253,0.0286999094594699
"256",5.57794482397462,"+",NA,0.00926842529977781,"+",NA,-0.125249696192873,-0.0701049659969707,NA,NA,0.530600307367354,-0.0480798854350394,NA,NA,NA,-0.261295836343825,0.104954633884395,NA,NA,45650.1784924864,45741.7036586982,0.107897242237419,0.444390070242322,"Gamma(log)",15,-22810.0892462432,45650.324655702,1.91240019672841,0.0246089958091278
"797",5.57459541060082,"+",NA,NA,"+","+",-0.131583734620725,-0.0694414391604485,NA,NA,0.536044590131368,NA,NA,NA,NA,-0.271553753992532,0.0963512523403537,NA,NA,45650.2591466579,45747.8859906172,0.106980217757731,0.442407510625729,"Gamma(log)",16,-22809.129573329,45650.4248487597,2.01259325438878,0.0234065414059442
"624",5.58878575763012,"+",0.0452417156952295,NA,"+",NA,-0.13345704402689,-0.0677750458501366,NA,NA,0.533762990486755,NA,NA,NA,NA,-0.253250540115048,0.082714551362012,NA,NA,45650.4298816184,45735.8533700827,0.106081662649535,0.442915263242482,"Gamma(log)",14,-22811.2149408092,45650.5577354996,2.14547999436763,0.0219018730501815
"24",5.5939933716407,"+",0.0554168422555988,0.0107489275700084,"+",NA,-0.130682102507814,-0.0678801775002044,NA,NA,0.531562515241353,-0.0516616413341661,NA,NA,NA,-0.263188579608983,0.100432879184965,NA,NA,45650.8154015869,45748.4422455462,0.107599714653739,0.446038916795844,"Gamma(log)",16,-22809.4077007935,45650.9811036887,2.56884818338585,0.0177234401559691
"192",5.59990501740921,"+",0.0700372268258983,NA,"+",NA,-0.133772209920356,-0.0688589301483923,NA,-0.0808431355811779,0.533158574330984,-0.0123938052293542,NA,NA,NA,-0.185308382591209,NA,NA,NA,45650.8403640409,45742.3655302528,0.102297444370508,0.443018197327275,"Gamma(log)",15,-22810.4201820205,45650.9865272565,2.57427175124758,0.0176754431239579
"755",5.57961124411034,"+",NA,NA,"+",NA,-0.12808026085191,-0.0717393517917524,NA,-0.0799008092017442,0.531769623430849,-0.00713789219316253,NA,NA,NA,-0.181193968120524,NA,NA,NA,45651.0408627868,45736.4643512512,0.102384748498192,0.441003035654909,"Gamma(log)",14,-22811.5204313934,45651.1687166681,2.75646116280404,0.016136464331386
"99",5.59911157371496,"+",0.0675434231165808,0.000413149261411273,"+",NA,-0.134197529175267,-0.0687701516621254,NA,-0.0863062928808374,0.533799371004523,NA,NA,NA,NA,-0.18272381275288,NA,NA,NA,45651.0303537663,45742.5555199781,0.102132019960903,0.442543394622394,"Gamma(log)",15,-22810.5151768831,45651.1765169819,2.76426147660823,0.0160736521569373
"659",5.57947629374246,"+",NA,-0.00129693404218975,"+",NA,-0.128269820342331,-0.0716330849204615,NA,-0.0833005180868367,0.532325738674578,NA,NA,NA,NA,-0.17954603249227,NA,NA,NA,45651.1032106716,45736.5266991359,0.102314447022394,0.440690296865892,"Gamma(log)",14,-22811.5516053358,45651.2310645528,2.81880904754507,0.0156411871032957
"169",5.59816029472093,"+",0.0710529478563786,0.000187914912478433,"+",NA,-0.133959464701711,-0.0687200805568422,NA,NA,0.531939932955717,NA,NA,NA,NA,-0.183237839554287,NA,NA,-0.0855497316673926,45651.1083631108,45742.6335293226,0.101964298807186,0.444443753547172,"Gamma(log)",15,-22810.5541815554,45651.2545263263,2.84227082106372,0.0154587741334243
"68",5.57931267514655,"+",NA,0.0120462469352146,"+","+",-0.128159162173912,-0.0699107238741291,NA,NA,0.533579703419977,-0.0479504299230733,NA,NA,NA,-0.280655782289854,0.113876169757455,NA,NA,45651.0507597277,45760.8809591819,0.108441790941035,0.445192574508997,"Gamma(log)",18,-22807.5253798639,45651.2592327543,2.84697724896978,0.0154224390992589
"725",5.57635634215408,"+",NA,0.00971971218172987,"+",NA,-0.129715901643741,-0.0696134053069156,NA,NA,0.531890516803726,NA,NA,NA,NA,-0.253990877215454,0.088327160506012,NA,NA,45651.2318083755,45736.6552968399,0.10628257408091,0.442119741711411,"Gamma(log)",14,-22811.6159041877,45651.3596622568,2.94740675148205,0.0146671277464437
"154",5.59762354674003,"+",0.0696628580215678,0.000121611403210446,"+",NA,-0.134214291109346,-0.0686677163505109,NA,NA,0.532264562585755,NA,-0.0856409323372868,NA,NA,-0.181908141077255,NA,NA,NA,45651.2582431732,45742.783409385,0.101866183656017,0.44421857817476,"Gamma(log)",15,-22810.6291215866,45651.4044063888,2.99215088353958,0.0143426370933107
"234",5.5882271537925,"+",0.0471521721618536,NA,"+","+",-0.136457328082061,-0.067500517997124,NA,NA,0.537067737793995,NA,NA,NA,NA,-0.272287063303609,0.0913780249079765,NA,NA,45651.2605178988,45754.9890396055,0.106658331301158,0.443712059768681,"Gamma(log)",17,-22808.6302589494,45651.4469895624,3.03473405713157,0.0140404876259669
"729",5.57755778115799,"+",NA,-0.00145904745332718,"+",NA,-0.127939887947823,-0.0717085819441802,NA,NA,0.530423242063452,NA,NA,NA,NA,-0.180534833998415,NA,NA,-0.0808839423256653,45651.3925263615,45736.8160148259,0.10214500869498,0.442425073814212,"Gamma(log)",14,-22811.6962631808,45651.5203802428,3.10812473749684,0.0135346056762404
"714",5.57742364381724,"+",NA,-0.00153700931152316,"+",NA,-0.12821821259471,-0.071608463349496,NA,NA,0.530769842401013,NA,-0.0815735285897137,NA,NA,-0.179103682139531,NA,NA,NA,45651.4562193556,45736.8797078199,0.102051239795691,0.442244781872051,"Gamma(log)",14,-22811.7281096778,45651.5840732368,3.17181773155608,0.013110367009111
"199",5.60103104191277,"+",0.0696989003072162,NA,"+","+",-0.136471417990318,-0.0686125726028689,NA,-0.0825402801238753,0.536015388734543,NA,NA,NA,NA,-0.196578852086767,NA,NA,NA,45651.6176215043,45755.346143211,0.102119978089919,0.442864319924267,"Gamma(log)",17,-22808.8088107522,45651.8040931679,3.39183766264614,0.0117445972511311
"4",5.5962536423851,"+",0.0574343874357442,0.0135572408238168,"+","+",-0.133685459586364,-0.067601539518171,NA,NA,0.534514149688294,-0.0515842981290174,NA,NA,NA,-0.282320671806001,0.108943870501655,NA,NA,45651.5822835936,45767.5141607952,0.108105759775993,0.446881934818927,"Gamma(log)",19,-22806.7911417968,45651.8139909107,3.40173540537216,0.011686618333559
