"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(grav_nei)","cond(grav_total)","cond(InflowMPA)","cond(InflowNei)","cond(Netflow)","cond(Outdegree)","cond(SelfR)","cond(temp)","cond(CorridorIndegree)","cond(Inflow)","cond(OutFlow)","cond(IndegreeNei)","cond(Indegree)","cond(IndegreeMPA)","cond(FE)","AIC","BIC","R2.R2m","R2.R2c","df","logLik","AICc","delta","weight"
"2134",3.99941016305763,"+",0.03789998827378,NA,"+",0.0916456641752592,NA,NA,0.0480869617704326,-0.0523706728059475,NA,NA,0.176377023911467,NA,NA,NA,NA,NA,-0.0218332356273264,NA,29210.4606617336,29294.7168076728,0.0279111018817877,0.7474817281201,14,-14591.2303308668,29210.5996885459,0,0.0301470969204346
"2136",4.00069318341479,"+",0.0373213573514048,NA,"+",0.0913164251779201,NA,-0.0209213735689027,0.0493620631891047,-0.053076473417223,NA,NA,0.176817126892249,NA,NA,NA,NA,NA,NA,NA,29210.5518219145,29294.8079678537,0.0279511842308765,0.74669409005293,14,-14591.2759109573,29210.6908487268,0.0911601808838896,0.0288038350638487
"915",4.00556759035979,"+",0.0384437733262125,NA,"+",0.0884554848793531,NA,-0.0244454919872827,0.0457525089745725,-0.0514893279073934,NA,NA,0.172711321103201,0.0206367330806143,NA,NA,NA,NA,NA,NA,29210.5807522477,29300.8551943255,0.0283982993181614,0.746009854500801,15,-14590.2903761239,29210.7396926451,0.140004099132057,0.0281089092455944
"900",4.00155223890976,"+",0.0383118224015506,0.0157328108369527,"+",0.0906402912953117,NA,NA,0.0484398793373799,-0.0524400055376169,NA,NA,0.174393618647199,NA,NA,NA,NA,NA,-0.0219128307167736,NA,29210.6887097999,29300.9631518777,0.0281352620605238,0.747359912405386,15,-14590.3443549,29210.8476501973,0.247961651348305,0.0266318483234925
"902",4.0028272838007,"+",0.0377206810956124,0.0156473401978588,"+",0.0903182563263134,NA,-0.0209202303837381,0.0496859756182521,-0.0531313853623843,NA,NA,0.174845228714929,NA,NA,NA,NA,NA,NA,NA,29210.7982664897,29301.0727085675,0.0281764496743764,0.746566908202351,15,-14590.3991332449,29210.9572068871,0.357518341133982,0.0252122367024583
"2084",4.00388273914786,"+",0.0357717626734766,0.0156529242972461,"+",0.0909100593206565,NA,NA,0.0412451348667488,-0.0489139938414147,NA,NA,0.174520080866867,NA,NA,NA,NA,NA,NA,NA,29211.0471921552,29295.3033380945,0.0277356349162096,0.745956244714617,14,-14591.5235960776,29211.1862189675,0.58653042160222,0.022484437873797
"264",4.00704357416996,"+",0.0386950667112307,0.013986849581063,"+",0.0878312142614929,NA,-0.0241361217010432,0.0463586298361067,-0.0516778993038502,NA,NA,0.171296916350736,0.0188235026802718,NA,NA,NA,NA,NA,NA,29211.1759676449,29307.4687058612,0.0285706600081028,0.745965020011314,16,-14589.5879838225,29211.3561597615,0.756471215558122,0.0206528437724841
"615",4.00002701787831,"+",0.0399967969399021,NA,"+",0.0921656513680599,-0.0126594983897315,NA,0.0485569745997208,-0.0532620159635925,NA,NA,0.176468991592404,NA,NA,NA,NA,NA,-0.0225003531249578,NA,29211.5111510937,29301.7855931715,0.0278452421994895,0.747946335389914,15,-14590.7555755469,29211.6700914911,1.07040294515537,0.0176526719656977
"2132",4.00570220370278,"+",0.0360012828649897,NA,"+",0.0897402923102296,NA,NA,0.0370065859137235,-0.0470705781298552,NA,NA,0.173236907110084,0.0161043384258303,NA,NA,NA,NA,NA,NA,29211.5583823789,29295.8145283182,0.0278027970849471,0.745466820990151,14,-14591.7791911895,29211.6974091912,1.09772064530262,0.0174131959723892
"617",4.00134745835573,"+",0.0394061118228924,NA,"+",0.0918256652506345,-0.0126747486902313,-0.0215937437859742,0.0498850058826769,-0.0539972121462869,NA,NA,0.176922207159344,NA,NA,NA,NA,NA,NA,NA,29211.60002406,29301.8744661377,0.0278896103870999,0.747139094654107,15,-14590.80001203,29211.7589644573,1.15927591139916,0.0168854224869078
"193",4.00610043240981,"+",0.0404313981795329,NA,"+",0.0889931758473558,-0.0121583789794088,-0.0250255173274475,0.0463237269124102,-0.0524048256897914,NA,NA,0.172889099222222,0.0202498174645161,NA,NA,NA,NA,NA,NA,29211.7032945875,29307.9960328037,0.028343120791078,0.746455927845677,16,-14589.8516472937,29211.8834867041,1.28379815810695,0.0158661760616075
"6119",3.99189083212059,"+",NA,NA,"+",0.0939063046921677,NA,NA,0.0449476090940332,-0.0506663613162922,NA,NA,0.174738611625753,NA,NA,NA,NA,NA,NA,NA,29211.8216270259,29284.0411806881,0.0274353366505646,0.742318901713063,12,-14593.9108135129,29211.9248357589,1.32514721297048,0.0155415180094191
"178",4.00215258295364,"+",0.0403908797439674,0.0156701743642004,"+",0.0911597036704168,-0.012565073916958,NA,0.0489055009385113,-0.0533254740691142,NA,NA,0.174491596327749,NA,NA,NA,NA,NA,-0.0225748271975197,NA,29211.7523487005,29308.0450869167,0.0280733756964788,0.747823069001548,16,-14589.8761743502,29211.9325408171,1.33285227113083,0.0154817590448239
"180",4.00346857613502,"+",0.0397871472816897,0.0155826287757966,"+",0.0908273819833651,-0.0125771289013603,-0.0215874707816145,0.0502036094517047,-0.054046130152227,NA,NA,0.174955595722355,NA,NA,NA,NA,NA,NA,NA,29211.8601135155,29308.1528517318,0.0281185770704758,0.747012226730778,16,-14589.9300567578,29212.0403056321,1.4406170861912,0.0146696405220293
"1546",4.00237696821884,"+",0.037241971401482,NA,"+",0.0923978463960517,-0.0116466217380715,NA,0.0411538027562143,-0.049581542807553,NA,NA,0.176579410798966,NA,NA,NA,NA,NA,NA,NA,29211.9915372321,29296.2476831713,0.0274497151689144,0.746476169630314,14,-14591.9957686161,29212.1305640444,1.53087549848351,0.014022327510508
"912",4.0007914677151,"+",0.0388901619772376,NA,"+",0.0920392476721803,NA,NA,0.0492490082374695,-0.0531142609276484,NA,-0.00803345573406572,0.177419343012251,NA,NA,NA,NA,NA,-0.0225133298794447,NA,29212.0365500979,29302.3109921757,0.028127500668324,0.746643312598196,15,-14591.018275049,29212.1954904953,1.59580194935188,0.0135744270135398
"898",4.00721961916613,"+",0.0362928944556414,0.0143854871383116,"+",0.0890773583225562,NA,NA,0.037745044364564,-0.0473233467130376,NA,NA,0.171784008336948,0.0142999928794606,NA,NA,NA,NA,NA,NA,29212.0785957449,29302.3530378226,0.0279790161216552,0.745423325669509,15,-14591.0392978725,29212.2375361423,1.63784759631017,0.0132920329909224
"2285",3.99475855381204,"+",NA,NA,"+",0.0907956637308022,NA,-0.0226356301383346,0.0496428613791708,-0.0531933244422388,NA,NA,0.171049482386133,0.0195521442043615,NA,NA,NA,NA,NA,NA,29212.1353049932,29296.3914509325,0.0282899715658529,0.741936374958596,14,-14592.0676524966,29212.2743318056,1.67464325961555,0.0130497242183249
"853",3.99939035270813,"+",0.0365822280333938,NA,"+",0.0919871934795472,NA,-0.0202302956679541,0.0509092595037344,-0.0510284198610116,-0.00908268965255708,NA,0.178879084372994,NA,NA,NA,NA,NA,NA,NA,29212.1835429049,29302.4579849827,0.0281506307209116,0.746904126542147,15,-14591.0917714525,29212.3424833023,1.74279475633011,0.0126125361577306
"2270",3.99112871291336,"+",NA,0.0153676776502338,"+",0.0928298762581418,NA,NA,0.0520624473114037,-0.0540438620785738,NA,NA,0.172564984523488,NA,NA,NA,NA,NA,-0.0197732382779622,NA,29212.2110260078,29296.4671719471,0.0279471517092216,0.743184777409391,14,-14592.1055130039,29212.3500528202,1.75036427420491,0.0125648909684364
"2272",3.99241136133825,"+",NA,0.0152960463550822,"+",0.0924972383624413,NA,-0.0193134683406563,0.0533072592781395,-0.0547266231423497,NA,NA,0.173019535746512,NA,NA,NA,NA,NA,NA,NA,29212.223338424,29296.4794843632,0.0280335952877405,0.742528866267981,14,-14592.111669212,29212.3623652363,1.76267669036315,0.0124877764950613
"1998",4.00013535357722,"+",0.0345674819087849,NA,"+",0.0926917782361598,NA,NA,0.0430894817387363,-0.0465709573213864,-0.0108692888161426,NA,0.178972507748125,NA,NA,NA,NA,NA,NA,NA,29212.2683379865,29296.5244839257,0.0277606717799324,0.746358777931843,14,-14592.1341689933,29212.4073647988,1.80767625288354,0.01220994158864
"565",4.00450072556163,"+",0.0376247989942702,0.0155928965892076,"+",0.0913972954735762,-0.0115495430045101,NA,0.0414778914394261,-0.0496339165305424,NA,NA,0.174616947924011,NA,NA,NA,NA,NA,NA,NA,29212.2515371168,29302.5259791946,0.0276715986253773,0.746346115017796,15,-14591.1257685584,29212.4104775142,1.81078896824692,0.0121909533323476
"261",4.00282420703449,"+",0.0392403186516933,0.0155284120425799,"+",0.0910262353683267,NA,NA,0.0495331873452372,-0.053141630578119,NA,-0.00758634616153067,0.17540313075773,NA,NA,NA,NA,NA,-0.0225544419384142,NA,29212.3107017838,29308.6034400001,0.0283398483200996,0.746569100154869,16,-14590.1553508919,29212.4908939004,1.89120535446273,0.011710500915528
"36",4.00757221683227,"+",0.040674321048575,0.0139587732168044,"+",0.088368035058841,-0.0121177858343103,-0.0247148625076676,0.0469266931492439,-0.0525904731241739,NA,NA,0.1714758293011,0.0184424512955524,NA,NA,NA,NA,NA,NA,29212.3037389582,29314.614773313,0.0285179347306997,0.746410130100652,17,-14589.1518694791,29212.5065222584,1.9068337124736,0.0116193495654324
"250",4.0014739870885,"+",0.0369436567111985,0.0158865502473751,"+",0.0910125094112776,NA,-0.0201862743953361,0.0513345226180717,-0.0509594364405493,-0.00965379878492719,NA,0.17700785971715,NA,NA,NA,NA,NA,NA,NA,29212.382239512,29308.6749777282,0.0283912230251358,0.746788230631789,16,-14590.191119756,29212.5624316286,1.96274308262582,0.0112990323504138
"914",4.00155449392391,"+",0.0377945925505108,NA,"+",0.0915595445404577,NA,-0.0203513323382324,0.0496616947986082,-0.0533202139589329,NA,-0.00457658981130258,0.177409502833101,NA,NA,NA,NA,NA,NA,NA,29212.4144606384,29302.6889027161,0.028059305232473,0.746172747986345,15,-14591.2072303192,29212.5734010357,1.9737124897656,0.0112372301456593
