"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(SelfR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","cond(InflowLR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"2173",5.80119848108313,"+",NA,NA,"+",NA,-0.0714853333715215,-0.0613101301750225,NA,NA,-0.192257724922603,NA,NA,NA,NA,NA,NA,NA,-0.107725721280684,45835.1546459785,45908.3747789479,0.0532057287492789,0.423884675190168,"Gamma(log)",12,-22905.5773229892,45835.2495653578,0,0.0451371917575605
"1286",5.80649572697609,"+",NA,NA,"+","+",-0.0740048183628845,-0.0606952740265515,NA,NA,-0.219916656215125,NA,NA,NA,NA,NA,NA,NA,-0.106887181826862,45835.3192813108,45926.8444475227,0.0542613947361061,0.42483285022149,"Gamma(log)",15,-22902.6596406554,45835.4654445264,0.215879168594256,0.0405188368470198
"2128",5.79999037073229,"+",NA,NA,"+",NA,-0.0718242744503562,-0.0611656569056792,NA,NA,-0.191379138516217,NA,NA,NA,NA,NA,-0.107261622400229,NA,NA,45835.4346778763,45908.6548108458,0.0532573989412671,0.423928936213574,"Gamma(log)",12,-22905.7173389382,45835.5295972557,0.280031897847948,0.0392397635402142
"1268",5.80488431546256,"+",NA,NA,"+","+",-0.0743945846574835,-0.0605502441764011,NA,NA,-0.219048415420168,NA,NA,NA,NA,NA,-0.106295462850292,NA,NA,45835.6146693972,45927.139835609,0.054316800407827,0.424883222579399,"Gamma(log)",15,-22902.8073346986,45835.7608326128,0.511267254936683,0.0349553988451965
"1176",5.80232069852754,"+",NA,0.02773678133616,"+",NA,-0.0754159252243527,-0.0612347929371827,NA,NA,-0.195405825028377,NA,NA,NA,NA,NA,NA,NA,-0.105914235830102,45836.2111872276,45915.5329979445,0.0530979394805374,0.425067388208342,"Gamma(log)",13,-22905.1055936138,45836.3219602038,1.0723948459854,0.0264038315640171
"550",5.80732434458246,"+",NA,0.0307755857550652,"+","+",-0.0785825232240086,-0.060597144385991,NA,NA,-0.224052668207499,NA,NA,NA,NA,NA,NA,NA,-0.104586938137303,45836.1567797015,45933.7836236608,0.0541672749972575,0.426146472597507,"Gamma(log)",16,-22902.0783898508,45836.3224818032,1.07291644539509,0.0263969463504083
"1131",5.8011443034897,"+",NA,0.02782447505028,"+",NA,-0.0757682806633307,-0.0610937615304841,NA,NA,-0.194555094506875,NA,NA,NA,NA,NA,-0.105440273124067,NA,NA,45836.4853698949,45915.8071806118,0.0531459583806037,0.425111317959849,"Gamma(log)",13,-22905.2426849474,45836.5961428711,1.34657751328632,0.0230212522685996
"532",5.80574925644739,"+",NA,0.0308860812129901,"+","+",-0.0789883165363216,-0.0604564387229491,NA,NA,-0.223220685714666,NA,NA,NA,NA,NA,-0.103985037775722,NA,NA,45836.44396063,45934.0708045893,0.0542189096345509,0.426194933407776,"Gamma(log)",16,-22902.221980315,45836.6096627317,1.3600973738794,0.0228661550218319
"1013",5.78997426555112,"+",0.0282186459010696,NA,"+",NA,-0.0739076225388839,-0.0601284454298387,NA,NA,-0.191289214742347,NA,NA,NA,NA,NA,NA,NA,-0.110482949443435,45836.811126831,45916.1329375479,0.0542287001494891,0.425680158418851,"Gamma(log)",13,-22905.4055634155,45836.9218998073,1.67233444940939,0.0195610302191401
"457",5.79545946665746,"+",0.0279190112318062,NA,"+","+",-0.0763544739891097,-0.0595243082727173,NA,NA,-0.218895311075551,NA,NA,NA,NA,NA,NA,NA,-0.109637835570238,45836.9823165233,45934.6091604826,0.0552948603470059,0.426618233507438,"Gamma(log)",16,-22902.4911582617,45837.1480186251,1.89845326724026,0.0174699091535888
