"","coefficient","Estimate","Std.Error","AdjustedSE","zvalue","Pr(>|z|)","CI.min","CI.max"
"1","cond((Int))",5.89142754941237,0.154746973263028,0.15483300633646,38.0502044674504,0,5.58796043337484,6.19489466544989
"2","cond(temp)",0.169646881307533,0.0522298879141118,0.0522588129941904,3.24628271458046,0.0011692,0.0672214899641061,0.27207227265096
"3","cond(Richness)",0.504078985160416,0.0469836250285551,0.0470098063820925,10.7228475068222,0,0.411941457731313,0.596216512589518
"4","cond(grav_total)",-0.0639133247052165,0.0350897387646716,0.0351060687329248,1.82057766682586,0.0686711,-0.132719955060537,0.00489330565010367
"5","cond(grav_neiBR)",-0.0774312022121922,0.038542280503446,0.0385590748538478,2.00811877633691,0.0446307,-0.153005600202918,-0.0018568042214665
"6","cond(IndegreeMPABR)",0.026235900569574,0.0374475367814456,0.0374572795751646,0.700421943802061,0.4836638,-0.0471790183565963,0.0996508194957444
"7","cond(Outdegree)",-0.387662517555087,0.0414525299084986,0.0414750595827667,9.34688271590003,0,-0.468952140593962,-0.306372894516211
"8","cond(ClassFished)",-0.395813590125376,0.0534610315910959,0.0534906415632408,7.39967924403027,0,-0.500653321099269,-0.290973859151483
"9","cond(ClassRestricted)",0.0741288525527956,0.0485187083886859,0.0485455256454328,1.52699659890838,0.1267619,-0.0210186293228183,0.169276334428409
"10","cond(FEpare)",-0.044889244020465,0.0488371212528033,0.0488625872362496,0.91868332316147,0.3582612,-0.140658155194961,0.0508796671540307
"11","cond(FEresid)",0.0144875488246147,0.0481249476682352,0.0481509190550761,0.300877929412801,0.7635076,-0.0798865183458378,0.108861615995067
"12","cond(FEtransi)",-0.10926410145292,0.0548803149627527,0.054904051780699,1.99009176753201,0.0465808,-0.216874065548413,-0.00165413735742798
"13","cond(SelfR)",-0.0112877064839179,0.024889558839753,0.0248958474981341,0.45339715728753,0.6502628,-0.0600826709448623,0.0375072579770266
"14","cond(btwdegree)",0.00795086948194949,0.0220677679187568,0.0220748944475732,0.360177010170193,0.7187148,-0.0353151285978171,0.0512168675617161
"15","cond(IndegreeNeiBR)",0.00545079032121705,0.021657171965919,0.0216613321391742,0.251636893160388,0.8013217,-0.0370046405287243,0.0479062211711584
"16","cond(InflowBR)",-0.00700348504609211,0.0278417076966914,0.0278454530719547,0.251512698608085,0.8014177,-0.0615795702003235,0.0475726001081393
"17","cond(Age_of_protection)",-0.001457081754696,0.0140493542327504,0.0140555205281822,0.103666153933927,0.9174343,-0.0290053957738965,0.0260912322645045
"18","cond(IndegreeBR)",0.00131535892013079,0.00992467923159904,0.00992825722054284,0.132486386171497,0.8945996,-0.0181436676613829,0.0207743855016445
"19","cond(InflowMPABR)",0.00118371761619387,0.0109376170432808,0.0109421205150908,0.108179910334688,0.913853,-0.0202624445078809,0.0226298797402687
