"","coefficient","Estimate","Std.Error","AdjustedSE","zvalue","Pr(>|z|)","CI.min","CI.max"
"1","cond((Int))",4.0007859946714,0.151414020506373,0.151474638087177,26.4122499000054,0,3.70390115944929,4.29767082989351
"2","cond(temp)",0.174842373667118,0.0183713631796864,0.0183786359121305,9.51334878731213,0,0.138820909194367,0.210863838139868
"3","cond(Age_of_protection)",0.0309592002175086,0.0236391358518725,0.0236449298907922,1.30933778871405,0.19042,-0.0153840107854187,0.0773024112204359
"4","cond(grav_nei)",0.0911454108099976,0.0132704335565278,0.0132756805707505,6.86559233812935,0,0.0651255550210684,0.117165266598927
"5","cond(IndegreeMPA)",-0.00589193004585034,0.0121619442177968,0.012163733468235,0.484385000808907,0.6281127,-0.0297324095611354,0.0179485494694347
"6","cond(InflowNei)",0.0469781083138353,0.0147430759165014,0.0147485200242944,3.18527609797125,0.0014462,0.0180715402409505,0.0758846763867201
"7","cond(Netflow)",-0.0517713457159608,0.0132520538304593,0.013257227229367,3.90514131049053,9.42e-05,-0.0777550336203837,-0.0257876578115378
"8","cond(ClassClosed)",0.0937424299156445,0.0251288556313251,0.0251370905983494,3.72924740629292,0.0001921,0.0444746376667593,0.14301022216453
"9","cond(ClassRestricted)",0.0457199447481441,0.0230060336041795,0.0230136203092847,1.98664721733063,0.0469615,0.000614077788066519,0.0908258117082216
"10","cond(InflowMPA)",-0.00991940970458667,0.0144247116118622,0.0144271234972082,0.687552837993392,0.4917344,-0.0381960521596264,0.018357232750453
"11","cond(CorridorIndegree)",0.00424106083399581,0.0105476742508195,0.0105495527008344,0.402013332153917,0.6876742,-0.016435682512647,0.0249178041806386
"12","cond(btwdegree)",0.00649580040356513,0.0109648336294314,0.0109671351659489,0.592296922147315,0.5536518,-0.0149993895352775,0.0279909903424078
"13","cond(grav_total)",-0.00276582140555554,0.00796699063553226,0.0079688578869745,0.347078771485738,0.7285321,-0.0183844958619435,0.0128528530508324
"14","cond(SelfR)",-0.000474143657291338,0.00369571644525362,0.00369685403803061,0.128255985336095,0.8979464,-0.00771984442793279,0.00677155711335012
"15","cond(Outdegree)",-0.000677689686138415,0.00464505427757525,0.00464637549968366,0.1458534046989,0.8840371,-0.00978441832416769,0.00842903895189086
