"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(CorridorIndegreeBR)","cond(FE)","cond(grav_neiBR)","cond(grav_total)","cond(InflowLR)","cond(SelfR)","cond(IndegreeNeiBR)","cond(InflowBR)","cond(IndegreeBR)","cond(InflowNeiBR)","cond(InflowMPABR)","cond(IndegreeMPABR)","cond(InflowLRBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1047",3.99405654203557,"+",0.0610194182241164,0.0201023260579893,NA,NA,NA,0.079202380820091,0.0324190547415031,NA,NA,NA,NA,NA,0.0556337232443413,NA,NA,NA,31546.7321892883,31613.8506445103,0.00884165549323815,0.778039499880161,"Gamma(log)",11,-15762.3660946442,31546.8124812591,0,0.0368865402094964
"464",3.99686165433064,"+",0.0602057912516937,0.018619109794206,NA,0.0179510151914487,NA,0.0764480690748947,0.0324388310245986,NA,NA,NA,NA,NA,0.0494745872883891,NA,NA,NA,31547.268444633,31620.4885776024,0.00899142641298307,0.777405429593829,"Gamma(log)",12,-15761.6342223165,31547.3633640123,0.550882753206679,0.0280056239098591
"402",3.99610191349945,"+",0.0617999562912817,0.0198184595149201,NA,NA,NA,0.073294605464478,0.0325319507275383,0.0310484439559939,NA,0.0418436113424345,NA,NA,NA,NA,NA,NA,31547.4805928318,31620.7007258012,0.00880157384934669,0.778279811891977,"Gamma(log)",12,-15761.7402964159,31547.5755122111,0.763030952006375,0.0251870820124613
"449",3.99486425922526,"+",0.0604003126920608,0.0206726012100279,NA,NA,NA,0.0766571868064139,0.0323799691382504,NA,NA,NA,0.0152538809088223,NA,0.0482415959710561,NA,NA,NA,31547.5793122898,31620.7994452593,0.00890311566603576,0.777939688732357,"Gamma(log)",12,-15761.7896561449,31547.6742316692,0.861750410073,0.0239740384953758
"1845",3.99316748091051,"+",0.0613204649439696,NA,NA,NA,NA,0.080540687032429,0.032296097740316,NA,NA,NA,NA,NA,0.055341439979605,NA,NA,NA,31547.6599336832,31608.6767111577,0.00868515845532724,0.777786098139022,"Gamma(log)",10,-15763.8299668416,31547.7268233153,0.914342056174064,0.0233518379118736
"485",3.99477539842952,"+",0.0603708981829478,0.0206693657813535,NA,NA,NA,0.076716027840021,0.0323965113096772,NA,NA,NA,NA,NA,0.0485496713039475,NA,NA,0.014688417056531,31547.6471276533,31620.8672606228,0.008893444821952,0.777992913067393,"Gamma(log)",12,-15761.8235638267,31547.7420470327,0.929565773552895,0.0231747618156486
"475",3.9930649636141,"+",0.0629216564527518,0.0201217641672523,NA,NA,NA,0.0790945637770291,0.0324237458984792,NA,NA,NA,NA,NA,0.0604602954926814,NA,-0.0137488248248811,NA,31547.7513297698,31620.9714627393,0.00894222544469306,0.778438622011395,"Gamma(log)",12,-15761.8756648849,31547.8462491492,1.03376789009417,0.0219982471566535
"1138",3.99640964022526,"+",0.0603828141758227,NA,NA,0.0202835911821717,NA,0.0772914820229666,0.032328918547934,NA,NA,NA,NA,NA,0.0484032240222796,NA,NA,NA,31547.773233489,31614.891688711,0.00885439874760653,0.777084373647018,"Gamma(log)",11,-15762.8866167445,31547.8535254598,1.04104420065414,0.0219183595275271
"457",3.99534157720381,"+",0.0599693914694759,0.0198790485164215,NA,NA,NA,0.0779346163583095,0.0323743439901787,NA,NA,NA,NA,0.013639052361504,0.0497755896407031,NA,NA,NA,31547.8366730649,31621.0568060344,0.00888938322573399,0.777453471550874,"Gamma(log)",12,-15761.9183365325,31547.9315924443,1.11911118518401,0.0210792918138754
"479",3.99374240953768,"+",0.0621217729105359,0.020003740327821,NA,NA,NA,0.0788714067475691,0.0324027263734763,NA,NA,NA,NA,NA,0.0593239358603593,-0.00870470862433753,NA,NA,31548.3156037044,31621.5357366738,0.00889161493677464,0.778152006160854,"Gamma(log)",12,-15762.1578018522,31548.4105230838,1.59804182463995,0.0165904264350281
