"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(temp)","cond(grav_neiBR.1)","cond(IndegreeBR)","cond(InflowBR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"126",5.9954135713302,"+",NA,-0.0489354444845522,"+",NA,-0.143897864922843,0.167656135507972,-0.105579357209719,-0.459174280442736,0.532729879770253,-0.0410014414419252,0.330004789899899,NA,NA,NA,NA,NA,NA,NA,45074.0233859045,45171.6502298638,0.176374709314822,0.240579738612593,"Gamma(log)",16,-22521.0116929523,45074.1890880062,0,0.074032929327445
"237",5.99541368198618,"+",NA,-0.048935402293393,"+",NA,NA,0.167655777992155,-0.10557978882378,-0.459174923971583,0.532730361394192,-0.0410014771390046,0.330005142435164,-0.143898012650881,NA,NA,NA,NA,NA,NA,45074.0233864074,45171.6502303666,0.176374908786621,0.240579768663711,"Gamma(log)",16,-22521.0116932037,45074.1890885091,5.02863258589059e-07,0.0740329107132273
"804",5.98938040843064,"+",NA,-0.0477871004437502,"+",NA,NA,0.170567336863632,-0.113195626235704,-0.454096960247229,0.538559315339209,NA,0.321278223658629,-0.145237974511734,NA,NA,NA,NA,NA,NA,45074.160472978,45165.6856391898,0.174996233104085,0.239822343880698,"Gamma(log)",15,-22522.080236489,45074.3066361936,0.117548187321518,0.0698071117054473
"509",5.98937847097426,"+",NA,-0.047787224935346,"+",NA,-0.145237795025043,0.170567702551104,-0.113195034069788,-0.45409528608656,0.538556286263866,NA,0.321277881864013,NA,NA,NA,NA,NA,NA,NA,45074.1604739715,45165.6856401833,0.174995371355365,0.239822150696773,"Gamma(log)",15,-22522.0802369857,45074.306637187,0.117549180795322,0.0698070770296875
"1588",5.98707523628379,"+",NA,NA,"+",NA,-0.150060006372972,0.171274577238494,-0.112579476743933,-0.461265142761669,0.535983334287158,NA,0.317654939286201,NA,NA,NA,NA,NA,NA,NA,45074.9405889778,45160.3640774422,0.173951305537594,0.241607949539248,"Gamma(log)",14,-22523.4702944889,45075.0684428591,0.879354852819233,0.0476952856047015
"2050",5.98707560724918,"+",NA,NA,"+",NA,NA,0.17127477900747,-0.112579522018389,-0.461265762409823,0.535983050082,NA,0.317655180817952,-0.150059902825265,NA,NA,NA,NA,NA,NA,45074.9405892451,45160.3640777095,0.173951359971109,0.241608007434907,"Gamma(log)",14,-22523.4702946226,45075.0684431264,0.87935512013064,0.047695279229955
"542",5.99288526192309,"+",NA,NA,"+",NA,-0.148775024396586,0.168487001833495,-0.105209835514912,-0.466356335238684,0.53032070607294,-0.039737628017455,0.326056467287806,NA,NA,NA,NA,NA,NA,NA,45074.9377377119,45166.4629039238,0.175274430997938,0.242364803510142,"Gamma(log)",15,-22522.468868856,45075.0839009275,0.894812921280391,0.0473280680561942
"846",5.99288553101993,"+",NA,NA,"+",NA,NA,0.16848721669189,-0.105209938764216,-0.466356471013119,0.530320813557658,-0.03973757563595,0.326056491156531,-0.148775028262654,NA,NA,NA,NA,NA,NA,45074.9377377765,45166.4629039883,0.175274509578331,0.242364789792445,"Gamma(log)",15,-22522.4688688883,45075.0839009921,0.894812985869066,0.0473280665277656
"76",6.00038809090784,"+",-0.0293093594618387,-0.0487786128195901,"+",NA,-0.140783951241822,0.172258105424808,-0.107603820802932,-0.456570433890938,0.535993806637634,NA,0.320046045011794,NA,NA,NA,NA,NA,NA,NA,45075.7098708704,45173.3367148297,0.175261078520598,0.238304481530155,"Gamma(log)",16,-22521.8549354352,45075.8755729722,1.68648496591049,0.0318573301705716
"177",6.00038796709883,"+",-0.029309471028332,-0.048778574416548,"+",NA,NA,0.172258995966996,-0.107604474084927,-0.456570438580911,0.535994412550063,NA,0.320046284403442,-0.140783017800534,NA,NA,NA,NA,NA,NA,45075.7098710492,45173.3367150085,0.175261163746489,0.238304556913465,"Gamma(log)",16,-22521.8549355246,45075.875573151,1.68648514472443,0.0318573273223045
"27",6.00256124400283,"+",-0.0197460325050333,-0.0495354200403309,"+",NA,NA,0.168925878132554,-0.102149584317603,-0.460609443546327,0.531278157962339,-0.0389654254115494,0.328775840462347,-0.141055931131822,NA,NA,NA,NA,NA,NA,45075.822997469,45179.5515191757,0.176470178430225,0.239548901216729,"Gamma(log)",17,-22520.9114987345,45076.0094691326,1.82038112638838,0.0297943691792914
"8",6.00255973741783,"+",-0.0197464774705834,-0.0495353964169636,"+",NA,-0.141055208609146,0.168926275204289,-0.102150249510495,-0.46060926558286,0.531278068326133,-0.0389651578824031,0.32877599462231,NA,NA,NA,NA,NA,NA,NA,45075.8229989364,45179.5515206431,0.176470094587668,0.239548894255193,"Gamma(log)",17,-22520.9114994682,45076.0094706,1.82038259372348,0.0297943473201376
"21",6.02256061329581,"+",NA,-0.0494911384236566,"+","+",-0.145048571301131,0.170038018496942,-0.108324666312023,-0.468100158875523,0.532650840525601,-0.041290766711603,0.336928224947892,NA,NA,NA,NA,NA,NA,NA,45076.2607253228,45192.1926025245,0.175728508288615,0.23229787663459,"Gamma(log)",19,-22519.1303626614,45076.4924326399,2.30334463364852,0.023402378636084
"41",6.02255910836581,"+",NA,-0.049491174736109,"+","+",NA,0.170036716633593,-0.108324834150579,-0.468099485154194,0.532649064036183,-0.0412918771447127,0.336927524800308,-0.145046325979436,NA,NA,NA,NA,NA,NA,45076.2607255001,45192.1926027018,0.175727932457959,0.232296845385757,"Gamma(log)",19,-22519.1303627501,45076.4924328172,2.30334481094178,0.0234023765615421
"244",6.01465974853188,"+",NA,-0.0483008984533362,"+","+",NA,0.172859189855315,-0.115726005850274,-0.463081274817238,0.538587822600068,NA,0.328175678474855,-0.146447637941357,NA,NA,NA,NA,NA,NA,45076.4288276462,45186.2590271004,0.174355775757564,0.231589959567839,"Gamma(log)",18,-22520.2144138231,45076.6373006727,2.44821266645886,0.0217671869896587
"131",6.01466036956065,"+",NA,-0.0483007559676127,"+","+",-0.146447970078998,0.172859614027163,-0.115726522778277,-0.463081899889106,0.538588962440208,NA,0.328175772076321,NA,NA,NA,NA,NA,NA,NA,45076.4288276476,45186.2590271018,0.174356252152581,0.231590615699741,"Gamma(log)",18,-22520.2144138238,45076.6373006741,2.44821266785584,0.0217671869744545
"725",5.99655395014153,"+",-0.0253445397289355,NA,"+",NA,NA,0.172757470322171,-0.107742712515934,-0.463506177676086,0.53377287371745,NA,0.316487066246124,-0.14631475001284,NA,NA,NA,NA,NA,NA,45076.6035536133,45168.1287198251,0.174165126379025,0.240326208804434,"Gamma(log)",15,-22523.3017768066,45076.7497168289,2.56062882261904,0.020577445016218
"451",5.996553940927,"+",-0.0253445310264427,NA,"+",NA,-0.146314752033495,0.172757478426589,-0.107742708948925,-0.46350618001795,0.533772864921432,NA,0.316487062246312,NA,NA,NA,NA,NA,NA,NA,45076.6035536781,45168.1287198899,0.174165125815642,0.240326207336404,"Gamma(log)",15,-22523.301776839,45076.7497168937,2.56062888742599,0.0205774443494372
"219",5.99866059650896,"+",-0.016023286018815,NA,"+",NA,NA,0.169530200902027,-0.102426245775801,-0.467575614919804,0.529148843356544,-0.0380857272344488,0.324996841092546,-0.146532036510714,NA,NA,NA,NA,NA,NA,45076.8057709719,45174.4326149312,0.175343418075186,0.241546214570323,"Gamma(log)",16,-22522.402885486,45076.9714730737,2.78238506742491,0.0184177974790852
"109",5.99866194073777,"+",-0.0160240649575322,NA,"+",NA,-0.146532172494634,0.169531088473945,-0.10242568165634,-0.467575741472496,0.529149440447332,-0.0380857919964662,0.324997547865014,NA,NA,NA,NA,NA,NA,NA,45076.8057723465,45174.4326163058,0.175343746606512,0.241546760759027,"Gamma(log)",16,-22522.4028861733,45076.9714744482,2.78238644199155,0.0184177848208446
"138",6.01932764165363,"+",NA,NA,"+","+",-0.149978026548796,0.170782833259604,-0.107809962016152,-0.475202580809123,0.53015225591333,-0.0399733274024792,0.332809701871127,NA,NA,NA,NA,NA,NA,NA,45077.2457231752,45187.0759226294,0.174457913082203,0.233937437092561,"Gamma(log)",18,-22520.6228615876,45077.4541962018,3.26510819551913,0.0144682397843044
"251",6.01932724030824,"+",NA,NA,"+","+",NA,0.170782387886101,-0.107809738759631,-0.475201760964036,0.530154841942816,-0.0399730429063071,0.332809424716387,-0.149978868757054,NA,NA,NA,NA,NA,NA,45077.2457246291,45187.0759240833,0.174458627618423,0.233938111207661,"Gamma(log)",18,-22520.6228623146,45077.4541976556,3.26510964937188,0.0144682292669632
"853",6.01174943908885,"+",NA,NA,"+","+",NA,0.173484962544896,-0.114973971121788,-0.470170242393114,0.535918215655328,NA,0.324403454100359,-0.151318181355051,NA,NA,NA,NA,NA,NA,45077.2729105707,45181.0014322774,0.173148271420011,0.233226264421644,"Gamma(log)",17,-22521.6364552854,45077.4593822343,3.27029422807391,0.0144307720013178
"547",6.01174897733719,"+",NA,NA,"+","+",-0.151318378555646,0.173484737863725,-0.114973630616756,-0.470170268755068,0.535918172346056,NA,0.324403961387199,NA,NA,NA,NA,NA,NA,NA,45077.2729107045,45181.0014324112,0.173148367131558,0.233226190099554,"Gamma(log)",17,-22521.6364553522,45077.4593823681,3.27029436186422,0.0144307710359691
"13",6.02530900736634,"+",-0.0298643498397939,-0.0493223828908199,"+","+",-0.141895479049678,0.174550760691338,-0.109940249286819,-0.465723755681134,0.535835363067701,NA,0.327000532997347,NA,NA,NA,NA,NA,NA,NA,45077.9569535628,45193.8888307644,0.17466082956752,0.230069369637241,"Gamma(log)",19,-22519.9784767814,45078.1886608798,3.99957287358848,0.0100214074347458
