"","ID","region","locality","sites","temp","Richness","grav_total","Age_of_protection","Class","biomassarea1","ModelMode","Larval_behaviour","FE","SelfR","InflowBR","IndegreeBR","CorridorIndegreeBR","grav_neiBR","IndegreeMPABR","InflowMPABR","IndegreeNeiBR","InflowNeiBR","OutFlow","Outdegree","btwdegree"
"1","V10025","sw_pacific","new_caledonia","new_caledonia_7",25.92239262,111.352,2.801571902,0,"Fished",48.58066279,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1436,54,203.391489148113
"2","V10026","sw_pacific","new_caledonia","new_caledonia_9",25.66932856,129.559,3.647123986,0,"Fished",64.00851649,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1956,71,609.80124778523
"3","V10094","sw_pacific","new_caledonia","new_caledonia_12",25.01223383,91.282,12.56664162,0,"Fished",107.1845271,"pare","passive","pare",26,0,0,0,0,0,0,0,0,1786,60,1392.31966058659
"4","V10463","sw_pacific","new_caledonia","new_caledonia_5",25.92937784,106.391,2.780672141,11,"Restricted",38.41327332,"pare","passive","pare",54,0,0,0,0,0,0,0,0,1964,62,2975.73716567369
"5","V10478","sw_pacific","new_caledonia","new_caledonia_2",26.18471463,142.026,0.629343304,5,"Restricted",311.634362,"pare","passive","pare",0,0,0,0,0,0,0,0,0,2428,87,12992.6234344929
"6","V10513","sw_pacific","new_caledonia","new_caledonia_1",26.05786634,156.323,1.020673114,11,"Restricted",307.5213714,"pare","passive","pare",96,0,0,0,0,0,0,0,0,2700,69,4703.85527049424
"7","V10543","sw_pacific","new_caledonia","new_caledonia_6",25.86883296,96.901,5.978511005,0,"Fished",31.1682725,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1198,43,5300.06847962546
"8","V10549","central_pacific","niue","niue_1",26.64775405,95.536,35.29592494,0,"Fished",404.6782482,"pare","passive","pare",0,0,0,0,0,0,0,0,0,1180,43,324.103599372623
"9","V10587","central_pacific","tonga","tonga_2",25.97714345,87.83,0.723435024,0,"Fished",215.0916064,"pare","passive","pare",0,0,0,0,0,0,0,0,0,584,22,591.048855427023
"10","V10598","central_pacific","tonga","tonga_7",25.92717357,147.542,7.603968166,0,"Fished",205.3941372,"pare","passive","pare",0,0,0,0,0,0,0,0,0,298,10,58.4140889897882
