ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V10025,sw_pacific,new_caledonia,new_caledonia_7,0,Fished,-21.0572,165.9494,87.31950327,48.58066279,48.58066279,2.801571902,pare ,pare ,passive,0,6,54,160.9748807
V10026,sw_pacific,new_caledonia,new_caledonia_9,0,Fished,-21.6264,166.6661,96.65362346,64.00851649,64.00851649,3.647123986,pare ,pare ,passive,0,6,71,883.7036378
V10094,sw_pacific,new_caledonia,new_caledonia_12,0,Fished,-21.9672,165.8847,130.1032208,107.1845271,107.1845271,12.56664162,pare ,pare ,passive,1,59,60,2353.087056
V10463,sw_pacific,new_caledonia,new_caledonia_5,11,Restricted,-20,164,44.03433603,38.41327332,38.41327332,2.780672141,pare ,pare ,passive,15,138,62,15360.45619
V10478,sw_pacific,new_caledonia,new_caledonia_2,5,Restricted,-19.8943,165.8284,376.7199286,311.634362,311.634362,0.629343304,pare ,pare ,passive,0,76,87,44036.09604
V10513,sw_pacific,new_caledonia,new_caledonia_1,11,Restricted,-20.3981,166.1606,341.7255425,307.5213714,307.5213714,1.020673114,pare ,pare ,passive,36,118,69,39976.09311
V10543,sw_pacific,new_caledonia,new_caledonia_6,0,Fished,-20.8296,167.1718,33.58945648,31.1682725,31.1682725,5.978511005,pare ,pare ,passive,0,9,43,314.8537329
V10549,central_pacific,niue,niue_1,0,Fished,-19.0935,-169.9222,406.7498465,404.6782482,404.6782482,35.29592494,pare ,pare ,passive,0,8,43,495.3929074
V10587,central_pacific,tonga,tonga_2,0,Fished,-19.9368,-174.7209,218.5295082,215.0916064,215.0916064,0.723435024,pare ,pare ,passive,0,10,22,4496.068074
V10598,central_pacific,tonga,tonga_7,0,Fished,-19.9616,-174.4924,239.529753,205.3941372,205.3941372,7.603968166,pare ,pare ,passive,0,26,10,8106.527623
V10609,central_pacific,tonga,tonga_8,0,Fished,-20.5031,-174.7436,296.8368272,226.4487803,226.4487803,43.37380658,pare ,pare ,passive,0,12,38,498.2391914
V10619,central_pacific,tonga,tonga_3,0,Fished,-20.0798,-174.704,494.4993921,430.1842233,430.1842233,0.912890815,pare ,pare ,passive,0,23,17,18440.65806
V10642,central_pacific,tonga,tonga_4,0,Fished,-18.7054,-174.115,346.0138509,325.8606815,325.8606815,9.637179249,pare ,pare ,passive,0,29,12,45861.91968
V10644,central_pacific,tonga,tonga_11,0,Fished,-18.7197,-173.94,53.58457127,50.39981213,50.39981213,13.96639455,pare ,pare ,passive,0,31,17,4273.596183
V10842,sw_atlantic,santa_catarina,santa_catarina_1,19,Restricted,-27.281,-48.3575,124.2741355,88.83822906,88.83822906,269.533681,pare ,pare ,passive,2,29,19,155359.294
V10843,sw_atlantic,santa_catarina,santa_catarina_3,19,Restricted,-27.1746,-48.3991,119.9051968,107.4861895,107.4861895,326.1445974,pare ,pare ,passive,1,27,19,1139.88234
V10844,sw_atlantic,santa_catarina,santa_catarina_4,19,Restricted,-27.8455,-48.432,46.89495772,31.69254448,31.69254448,253.218654,pare ,pare ,passive,0,28,13,332.2074895
V10845,eastern_atlantic,cverde,cverde_1,0,Fished,16.7764,-24.7669,361.8642708,275.8589295,275.8589295,10.60280489,pare ,pare ,passive,22,44,6,473.4195081
V1130,polynesian,cook_islands_sp,cook_islands_sp_1,2,Restricted,-13.249,-163.1124,484.1209638,358.8420184,358.8420184,0.000161209,pare ,pare ,passive,0,0,6,0
V11490,central_iwp,pulau_naira,pulau_naira_1,0,Fished,-4.5154,129.8903,571.1377174,519.5839125,519.5839125,132.9532289,pare ,pare ,passive,0,20,17,8005.048118
V1170,central_pacific,samoa,samoa_4,0,Fished,-14.2167,-169.4833,59.17000672,54.29437089,54.29437089,4.900748768,pare ,pare ,passive,0,6,17,11610.03595
V1173,central_pacific,rose_atoll,rose_atoll_1,10,Restricted,-14.5399,-168.1586,278.9518412,271.1308743,271.1308743,0.240674063,pare ,pare ,passive,0,5,15,26021.71237
V1174,central_pacific,samoa,samoa_2,0,Fished,-14.2836,-170.5517,67.93082241,52.92180559,52.92180559,9.619699536,pare ,pare ,passive,0,7,15,1720.628254
V1175,central_pacific,samoa,samoa_8,0,Fished,-14.2836,-170.67,75.44798207,75.44278217,75.44278217,1211.681489,pare ,pare ,passive,0,13,17,16028.43854
V1176,central_pacific,samoa,samoa_3,0,Fished,-14.1675,-169.6752,239.7472953,225.0891548,225.0891548,1.221461016,pare ,pare ,passive,13,7,24,106272.3126
V1177,central_pacific,samoa,samoa_1,0,Fished,-14.2853,-170.8014,46.53816183,42.78363041,42.78363041,10.47139258,pare ,pare ,passive,0,11,22,100648.3653
V1182,central_pacific,samoa,samoa_7,0,Fished,-13.8093,-171.7858,89.0388161,75.35971589,75.35971589,980.1064202,pare ,pare ,passive,0,25,30,1229.006307
