"","From","To","Prob"
"1","V1","V190",10
"13","V13","V190",20
"14","V14","V190",25
"16","V16","V190",5
"18","V18","V190",5
"23","V23","V190",35
"28","V28","V190",5
"187","V187","V190",225
"188","V188","V190",50
"189","V189","V190",750
"190","V190","V190",660
"191","V191","V190",475
"192","V192","V190",20
"193","V193","V190",75
"194","V194","V190",55
"204","V204","V190",510
"205","V205","V190",505
"206","V206","V190",690
"207","V207","V190",600
"208","V208","V190",625
"209","V209","V190",515
"210","V210","V190",55
"211","V211","V190",35
"212","V212","V190",30
"213","V213","V190",30
"214","V214","V190",70
"215","V215","V190",30
"216","V216","V190",45
"218","V218","V190",40
"219","V219","V190",15
"220","V220","V190",25
"221","V221","V190",15
"222","V222","V190",360
"223","V223","V190",135
"224","V224","V190",265
"225","V225","V190",265
"226","V226","V190",420
"227","V227","V190",380
"228","V228","V190",375
"229","V229","V190",55
"230","V230","V190",300
"231","V231","V190",200
"232","V232","V190",95
"233","V233","V190",140
"234","V234","V190",465
"235","V235","V190",205
"236","V236","V190",135
"241","V241","V190",10
"244","V244","V190",15
"253","V253","V190",5
"254","V254","V190",35
"255","V255","V190",5
"256","V256","V190",15
"257","V257","V190",20
"258","V258","V190",25
"259","V259","V190",10
"262","V262","V190",5
"263","V263","V190",10
"267","V267","V190",10
"288","V288","V190",10
"293","V293","V190",5
"295","V295","V190",10
"298","V298","V190",5
"312","V312","V190",5
"14812","V8","V193",5
"14817","V13","V193",5
"14823","V19","V193",5
"14825","V21","V193",10
"14831","V27","V193",10
"14833","V29","V193",5
"14954","V150","V193",20
"14957","V153","V193",5
"14979","V175","V193",10
"14990","V186","V193",5
"14991","V187","V193",5
"14992","V188","V193",5
"14993","V189","V193",10
"14994","V190","V193",5
"14995","V191","V193",25
"14996","V192","V193",40
"14997","V193","V193",10
"15008","V204","V193",30
"15009","V205","V193",40
"15010","V206","V193",25
"15011","V207","V193",25
"15012","V208","V193",25
"15013","V209","V193",20
"15017","V213","V193",10
"15023","V219","V193",10
"15026","V222","V193",5
"15027","V223","V193",5
"15028","V224","V193",10
"15029","V225","V193",15
"15030","V226","V193",25
"15031","V227","V193",30
"15032","V228","V193",5
"15033","V229","V193",5
"15034","V230","V193",25
"15035","V231","V193",30
"15036","V232","V193",10
"15037","V233","V193",5
"15038","V234","V193",15
"15039","V235","V193",15
"15040","V236","V193",15
"15059","V255","V193",5
"15067","V263","V193",10
"29615","V7","V194",5
"29624","V16","V194",5
"29628","V20","V194",5
"29635","V27","V194",15
"29772","V164","V194",5
"29787","V179","V194",5
"29794","V186","V194",5
"29797","V189","V194",5
"29798","V190","V194",5
"29801","V193","V194",5
"29802","V194","V194",5
"29814","V206","V194",5
"29834","V226","V194",5
"29849","V241","V194",5
"29902","V294","V194",15
"29908","V300","V194",15
"36769","V7161","V194",5
"45514","V1102","V1130",5
"60340","V1124","V1170",5
"60379","V1163","V1170",5
"60383","V1167","V1170",5
"60385","V1169","V1170",10
"60389","V1173","V1170",5
"60392","V1176","V1170",5
"60393","V1177","V1170",5
"69753","V10537","V1170",5
"75184","V1164","V1173",20
"75186","V1166","V1173",15
"75196","V1176","V1173",5
"75198","V1178","V1173",10
"75215","V1195","V1173",5
"75256","V1236","V1173",5
"75261","V1241","V1173",5
"89942","V1118","V1174",10
"89943","V1119","V1174",10
"89978","V1154","V1174",15
"89989","V1165","V1174",10
"89997","V1173","V1174",5
"90000","V1176","V1174",10
"90002","V1178","V1174",55
