"","From","To","Prob"
"13","V13","V190",3
"14","V14","V190",4
"16","V16","V190",2
"23","V23","V190",9
"29","V29","V190",1
"187","V187","V190",56
"188","V188","V190",21
"189","V189","V190",137
"190","V190","V190",168
"191","V191","V190",137
"192","V192","V190",5
"193","V193","V190",20
"194","V194","V190",13
"204","V204","V190",121
"205","V205","V190",130
"206","V206","V190",147
"207","V207","V190",133
"208","V208","V190",123
"209","V209","V190",109
"210","V210","V190",19
"211","V211","V190",16
"212","V212","V190",15
"213","V213","V190",16
"214","V214","V190",17
"215","V215","V190",24
"216","V216","V190",16
"217","V217","V190",11
"218","V218","V190",20
"219","V219","V190",10
"220","V220","V190",6
"221","V221","V190",6
"222","V222","V190",72
"223","V223","V190",47
"224","V224","V190",105
"225","V225","V190",69
"226","V226","V190",113
"227","V227","V190",110
"228","V228","V190",119
"229","V229","V190",23
"230","V230","V190",70
"231","V231","V190",47
"232","V232","V190",22
"233","V233","V190",41
"234","V234","V190",94
"235","V235","V190",52
"236","V236","V190",37
"241","V241","V190",4
"244","V244","V190",1
"253","V253","V190",9
"254","V254","V190",3
"255","V255","V190",1
"256","V256","V190",6
"257","V257","V190",9
"258","V258","V190",10
"259","V259","V190",5
"262","V262","V190",1
"263","V263","V190",1
"267","V267","V190",3
"271","V271","V190",1
"289","V289","V190",1
"293","V293","V190",4
"295","V295","V190",3
"306","V306","V190",1
"14818","V14","V193",1
"14820","V16","V193",1
"14831","V27","V193",2
"14832","V28","V193",1
"14833","V29","V193",1
"14954","V150","V193",9
"14957","V153","V193",1
"14959","V155","V193",2
"14971","V167","V193",2
"14972","V168","V193",9
"14976","V172","V193",2
"14979","V175","V193",1
"14983","V179","V193",4
"14992","V188","V193",2
"14993","V189","V193",2
"14995","V191","V193",1
"14996","V192","V193",3
"14997","V193","V193",2
"14998","V194","V193",1
"15008","V204","V193",1
"15010","V206","V193",2
"15011","V207","V193",2
"15012","V208","V193",3
"15013","V209","V193",3
"15017","V213","V193",1
"15020","V216","V193",1
"15021","V217","V193",1
"15023","V219","V193",2
"15027","V223","V193",1
"15028","V224","V193",1
"15029","V225","V193",5
"15031","V227","V193",3
"15032","V228","V193",2
"15034","V230","V193",1
"15035","V231","V193",1
"15037","V233","V193",1
"15038","V234","V193",2
"15039","V235","V193",2
"15063","V259","V193",1
"21965","V7161","V193",2
"29621","V13","V194",1
"29622","V14","V194",1
"29631","V23","V194",1
"29761","V153","V194",1
"29764","V156","V194",2
"29781","V173","V194",1
"29795","V187","V194",1
"29796","V188","V194",1
"29797","V189","V194",7
"29798","V190","V194",2
