"","From","To","Prob"
"14","V14","V190",3
"187","V187","V190",51
"189","V189","V190",588
"190","V190","V190",636
"191","V191","V190",528
"193","V193","V190",33
"194","V194","V190",6
"204","V204","V190",423
"205","V205","V190",540
"206","V206","V190",612
"207","V207","V190",429
"208","V208","V190",543
"209","V209","V190",423
"210","V210","V190",30
"211","V211","V190",168
"212","V212","V190",132
"213","V213","V190",168
"214","V214","V190",33
"215","V215","V190",186
"216","V216","V190",207
"217","V217","V190",78
"218","V218","V190",60
"219","V219","V190",78
"220","V220","V190",90
"221","V221","V190",72
"222","V222","V190",141
"223","V223","V190",150
"224","V224","V190",279
"225","V225","V190",231
"226","V226","V190",333
"227","V227","V190",333
"228","V228","V190",339
"229","V229","V190",42
"230","V230","V190",177
"231","V231","V190",165
"232","V232","V190",147
"233","V233","V190",132
"234","V234","V190",324
"235","V235","V190",156
"236","V236","V190",129
"241","V241","V190",6
"249","V249","V190",15
"253","V253","V190",12
"254","V254","V190",27
"255","V255","V190",3
"256","V256","V190",60
"257","V257","V190",15
"258","V258","V190",15
"259","V259","V190",78
"263","V263","V190",3
"14991","V187","V193",3
"14996","V192","V193",9
"14997","V193","V193",6
"15008","V204","V193",3
"15011","V207","V193",3
"15013","V209","V193",3
"15015","V211","V193",3
"15017","V213","V193",6
"15022","V218","V193",6
"15023","V219","V193",12
"15028","V224","V193",6
"15031","V227","V193",3
"15032","V228","V193",3
"15035","V231","V193",3
"15059","V255","V193",3
"15060","V256","V193",3
"15062","V258","V193",3
"15067","V263","V193",6
"29625","V17","V194",3
"29795","V187","V194",6
"29798","V190","V194",9
"29800","V192","V194",12
"29812","V204","V194",3
"29813","V205","V194",3
"29817","V209","V194",6
"29818","V210","V194",12
"29819","V211","V194",12
"29820","V212","V194",6
"29821","V213","V194",9
"29822","V214","V194",9
"29823","V215","V194",6
"29824","V216","V194",18
"29825","V217","V194",21
"29826","V218","V194",9
"29827","V219","V194",3
"29828","V220","V194",18
"29829","V221","V194",15
"29830","V222","V194",6
"29831","V223","V194",9
"29834","V226","V194",6
"29837","V229","V194",12
"29838","V230","V194",3
"29839","V231","V194",3
"29840","V232","V194",6
"29841","V233","V194",3
"29844","V236","V194",12
"29864","V256","V194",15
"29866","V258","V194",3
"29867","V259","V194",6
"45543","V1131","V1130",6
"60333","V1117","V1170",6
"60337","V1121","V1170",12
"60381","V1165","V1170",3
"60383","V1167","V1170",12
"69753","V10537","V1170",3
"75138","V1118","V1173",9
"75139","V1119","V1173",21
"75174","V1154","V1173",6
"75184","V1164","V1173",21
"75185","V1165","V1173",27
"75186","V1166","V1173",18
"75187","V1167","V1173",27
"75188","V1168","V1173",21
"75195","V1175","V1173",6
"75198","V1178","V1173",3
"75256","V1236","V1173",9
"89942","V1118","V1174",21
"89943","V1119","V1174",15
"89978","V1154","V1174",3
"89987","V1163","V1174",3
"89988","V1164","V1174",15
"89990","V1166","V1174",3
"89992","V1168","V1174",6
"89993","V1169","V1174",6
"89994","V1170","V1174",3
"89997","V1173","V1174",3
"89998","V1174","V1174",6
"89999","V1175","V1174",15
"90000","V1176","V1174",21
"90002","V1178","V1174",87
"104746","V1118","V1175",15
"104747","V1119","V1175",24
"104782","V1154","V1175",12
"104791","V1163","V1175",99
"104792","V1164","V1175",6
"104793","V1165","V1175",93
"104795","V1167","V1175",21
"104796","V1168","V1175",3
"104797","V1169","V1175",36
"104801","V1173","V1175",30
"104802","V1174","V1175",9
"104803","V1175","V1175",126
"104804","V1176","V1175",21
"104806","V1178","V1175",141
"104865","V1237","V1175",12
"119550","V1118","V1176",27
"119551","V1119","V1176",15
"119586","V1154","V1176",30
"119595","V1163","V1176",3
"119596","V1164","V1176",42
"119597","V1165","V1176",78
"119598","V1166","V1176",12
"119599","V1167","V1176",39
"119600","V1168","V1176",24
"119601","V1169","V1176",6
"119606","V1174","V1176",3
"119610","V1178","V1176",60
"119668","V1236","V1176",3
"119674","V1242","V1176",6
"134354","V1118","V1177",15
"134355","V1119","V1177",12
"134399","V1163","V1177",84
"134400","V1164","V1177",54
"134401","V1165","V1177",48
"134402","V1166","V1177",3
"134403","V1167","V1177",27
"134404","V1168","V1177",15
"134405","V1169","V1177",168
"134409","V1173","V1177",36
"134411","V1175","V1177",15
"134412","V1176","V1177",27
"134414","V1178","V1177",252
"134473","V1237","V1177",3
"149203","V1163","V1182",3
"149204","V1164","V1182",3
"149206","V1166","V1182",9
"149208","V1168","V1182",3
"149210","V1170","V1182",6
"149211","V1171","V1182",18
"149212","V1172","V1182",3
"149213","V1173","V1182",6
"149214","V1174","V1182",39
"149215","V1175","V1182",6
"149217","V1177","V1182",3
"149219","V1179","V1182",27
"149221","V1181","V1182",6
"149223","V1183","V1182",15
"149225","V1185","V1182",24
"149226","V1186","V1182",6
"149228","V1188","V1182",6
"149229","V1189","V1182",3
"149230","V1190","V1182",81
"149274","V1234","V1182",45
"149275","V1235","V1182",48
"149276","V1236","V1182",27
"149277","V1237","V1182",6
"149278","V1238","V1182",45
"149279","V1239","V1182",63
"149280","V1240","V1182",6
"149281","V1241","V1182",57
"149282","V1242","V1182",6
"164127","V1283","V1271",12
"164128","V1284","V1271",3
"164130","V1286","V1271",9
"164131","V1287","V1271",6
"164135","V1291","V1271",3
"164142","V1298","V1271",3
"164146","V1302","V1271",3
"164156","V1312","V1271",3
"164158","V1314","V1271",6
"164177","V1333","V1271",6
"164178","V1334","V1271",3
"164179","V1335","V1271",12
"164181","V1337","V1271",3
"164215","V1371","V1271",3
"164219","V1375","V1271",9
"164222","V1378","V1271",3
"164225","V1381","V1271",3
"164226","V1382","V1271",3
"164234","V1390","V1271",3
"164240","V1396","V1271",3
"164242","V1398","V1271",3
"164243","V1399","V1271",3
"164244","V1400","V1271",6
"164245","V1401","V1271",3
"164247","V1403","V1271",3
"164248","V1404","V1271",3
"164252","V1408","V1271",3
"164253","V1409","V1271",3
"164257","V1413","V1271",3
"164258","V1414","V1271",15
"164263","V1419","V1271",3
"164265","V1421","V1271",3
"164268","V1424","V1271",3
"164269","V1425","V1271",9
"164270","V1426","V1271",3
"164272","V1428","V1271",6
"164275","V1431","V1271",6
"164276","V1432","V1271",6
"164277","V1433","V1271",9
"164279","V1435","V1271",6
"164283","V1439","V1271",3
"164285","V1441","V1271",3
"164288","V1444","V1271",12
"164290","V1446","V1271",3
"164291","V1447","V1271",6
"164293","V1449","V1271",18
"164294","V1450","V1271",39
"164296","V1452","V1271",3
"164297","V1453","V1271",3
"164299","V1455","V1271",39
"164300","V1456","V1271",3
"164301","V1457","V1271",6
"164304","V1460","V1271",75
"164306","V1462","V1271",3
"164307","V1463","V1271",3
"164308","V1464","V1271",15
"164311","V1467","V1271",3
"164315","V1471","V1271",3
"164318","V1474","V1271",6
"164321","V1477","V1271",6
"164324","V1480","V1271",3
"164325","V1481","V1271",9
"164327","V1483","V1271",6
"164329","V1485","V1271",6
"164330","V1486","V1271",27
"164331","V1487","V1271",30
"164345","V1501","V1271",3
"164352","V1508","V1271",3
"164366","V1522","V1271",3
"164369","V1525","V1271",3
"164371","V1527","V1271",3
"164373","V1529","V1271",3
"164380","V1536","V1271",3
"164381","V1537","V1271",3
"164385","V1541","V1271",6
"164403","V1559","V1271",3
"164405","V1561","V1271",6
"164410","V1566","V1271",6
"164413","V1569","V1271",3
"164414","V1570","V1271",3
"164419","V1575","V1271",3
"164430","V1586","V1271",3
"164438","V1594","V1271",3
"164439","V1595","V1271",3
"164442","V1598","V1271",6
"164445","V1601","V1271",6
"164447","V1603","V1271",3
"164522","V1678","V1271",3
"164523","V1679","V1271",3
"164524","V1680","V1271",3
"164525","V1681","V1271",6
"164526","V1682","V1271",3
"164529","V1685","V1271",9
"164791","V1947","V1271",3
"164793","V1949","V1271",3
"164811","V1967","V1271",9
"164813","V1969","V1271",6
"164814","V1970","V1271",3
"164818","V1974","V1271",3
"164819","V1975","V1271",3
