Genus_and_species,species,Schooling,Diet_2012,Size_class
abudefduf_abdominalis,abudefduf abdominalis,M,PK,4
abudefduf_bengalensis,abudefduf bengalensis,M,PK,3
abudefduf_concolor,abudefduf concolor,F,OM,3
abudefduf_conformis,abudefduf conformis,M,PK,3
abudefduf_luridus,abudefduf luridus,F,OM,3
abudefduf_natalensis,abudefduf natalensis,F,IM,3
abudefduf_notatus,abudefduf notatus,M,OM,3
abudefduf_saxatilis,abudefduf saxatilis,F,OM,4
abudefduf_septemfasciatus,abudefduf septemfasciatus,M,OM,3
abudefduf_sexfasciatus,abudefduf sexfasciatus,M,PK,3
abudefduf_sordidus,abudefduf sordidus,M,OM,3
abudefduf_sp,abudefduf sp,M,OM,3
abudefduf_sparoides,abudefduf sparoides,F,OM,3
abudefduf_taurus,abudefduf taurus,F,OM,4
abudefduf_troschelii,abudefduf troschelii,F,PK,4
abudefduf_vaigiensis,abudefduf vaigiensis,M,PK,3
abudefduf_whitleyi,abudefduf whitleyi,M,PK,3
acanthemblemaria_aspera,acanthemblemaria aspera,S,PK,1
acanthemblemaria_atrata,acanthemblemaria atrata,S,PK,1
acanthemblemaria_balanorum,acanthemblemaria balanorum,S,IM,1
acanthemblemaria_castroi,acanthemblemaria castroi,S,PK,2
acanthemblemaria_crockeri,acanthemblemaria crockeri,S,PK,2
acanthemblemaria_exilispinus,acanthemblemaria exilispinus,S,PK,2
acanthemblemaria_hancocki,acanthemblemaria hancocki,S,PK,1
acanthemblemaria_macrospilus,acanthemblemaria macrospilus,S,PK,2
acanthemblemaria_maria,acanthemblemaria maria,S,PK,2
acanthemblemaria_spinosa,acanthemblemaria spinosa,S,PK,1
acanthemblemaria_stephensi,acanthemblemaria stephensi,S,PK,2
acanthistius_brasilianus,acanthistius brasilianus,S,IM,5
acanthistius_cinctus,acanthistius cinctus,S,FC,5
acanthistius_fuscus,acanthistius fuscus,S,FC,3
acanthochromis_polyacanthus,acanthochromis polyacanthus,M,OM,3
acanthostracion_notacanthus,acanthostracion notacanthus,S,IS,5
acanthostracion_polygonia,acanthostracion polygonia,S,IS,4
acanthostracion_polygonius,acanthostracion polygonius,S,IS,5
acanthostracion_quadricornis,acanthostracion quadricornis,S,IM,5
acanthostracion_sp_aotep,acanthostracion sp aotep,S,IM,6
acanthurus_achilles,acanthurus achilles,M,HD,4
acanthurus_albipectoralis,acanthurus albipectoralis,M,PK,4
acanthurus_auranticavus,acanthurus auranticavus,L,HD,4
acanthurus_bahianus,acanthurus bahianus,M,HD,4
acanthurus_bariene,acanthurus bariene,S,HD,4
acanthurus_blochii,acanthurus blochii,F,HD,4
acanthurus_chirurgus,acanthurus chirurgus,M,HD,4
acanthurus_coeruleus,acanthurus coeruleus,M,HD,4
acanthurus_dussumieri,acanthurus dussumieri,F,HD,5
acanthurus_fowleri,acanthurus fowleri,S,HD,5
acanthurus_gahhm,acanthurus gahhm,F,HD,4
acanthurus_grammoptilus,acanthurus grammoptilus,F,HD,4
acanthurus_guttatus,acanthurus guttatus,L,HD,4
acanthurus_leucocheilus,acanthurus leucocheilus,F,HD,5
acanthurus_leucopareius,acanthurus leucopareius,M,HD,4
acanthurus_leucosternon,acanthurus leucosternon,L,HD,4
acanthurus_lineatus,acanthurus lineatus,S,HD,4
acanthurus_maculiceps,acanthurus maculiceps,F,HD,4
acanthurus_mata,acanthurus mata,L,PK,5
acanthurus_monroviae,acanthurus monroviae,M,HD,5
acanthurus_nigricans,acanthurus nigricans,F,HD,3
acanthurus_nigricauda,acanthurus nigricauda,F,HD,4
acanthurus_nigrofuscus,acanthurus nigrofuscus,F,HD,3
acanthurus_nigroris,acanthurus nigroris,F,HD,4
acanthurus_nubilus,acanthurus nubilus,F,PK,4
acanthurus_olivaceus,acanthurus olivaceus,M,HD,4
acanthurus_pyroferus,acanthurus pyroferus,S,HD,4
acanthurus_reversus,acanthurus reversus,M,HD,4
acanthurus_sohal,acanthurus sohal,M,HD,4
acanthurus_sp,acanthurus sp,F,HD,2
acanthurus_tennenti,acanthurus tennenti,F,HD,3
acanthurus_tennentii,acanthurus tennentii,F,HD,4
acanthurus_thompsoni,acanthurus thompsoni,M,PK,4
acanthurus_tractus,acanthurus tractus,L,HD,4
acanthurus_triostegus,acanthurus triostegus,L,HD,3
acanthurus_tristis,acanthurus tristis,S,HD,4
acanthurus_xanthopterus,acanthurus xanthopterus,M,HD,5
aethaloperca_rogaa,aethaloperca rogaa,S,FC,5
aluterus_monoceros,aluterus monoceros,S,PK,5
aluterus_scriptus,aluterus scriptus,S,PK,5
amanses_scopas,amanses scopas,S,IM,3
amblycirrhitus_bimacula,amblycirrhitus bimacula,S,IM,2
amblycirrhitus_pinos,amblycirrhitus pinos,S,IM,2
amblyeleotris_fasciata,amblyeleotris fasciata,P,IM,2
amblyeleotris_guttata,amblyeleotris guttata,S,IM,2
amblyeleotris_gymnocephala,amblyeleotris gymnocephala,S,IM,3
amblyeleotris_katherine,amblyeleotris katherine,S,IM,2
amblyeleotris_periophthalma,amblyeleotris periophthalma,S,IM,2
amblyeleotris_sp,amblyeleotris sp,S,IM,2
amblyeleotris_steinitzi,amblyeleotris steinitzi,S,IM,2
amblyeleotris_sungami,amblyeleotris sungami,S,IM,2
amblyeleotris_wheeleri,amblyeleotris wheeleri,S,IM,2
amblyglyphidodon_aureus,amblyglyphidodon aureus,F,PK,3
amblyglyphidodon_batunai,amblyglyphidodon batunai,M,PK,3
amblyglyphidodon_curacao,amblyglyphidodon curacao,M,PK,3
amblyglyphidodon_flavilatus,amblyglyphidodon flavilatus,M,PK,2
amblyglyphidodon_indicus,amblyglyphidodon indicus,M,PK,2
amblyglyphidodon_leucogaster,amblyglyphidodon leucogaster,M,PK,3
amblyglyphidodon_melanopterus,amblyglyphidodon melanopterus,M,PK,3
amblyglyphidodon_orbicularis,amblyglyphidodon orbicularis,M,PK,3
amblyglyphidodon_ternatensis,amblyglyphidodon ternatensis,M,PK,3
amblygobius_buanensis,amblygobius buanensis,P,OM,2
amblygobius_bynoensis,amblygobius bynoensis,S,OM,2
amblygobius_decussatus,amblygobius decussatus,S,OM,2
amblygobius_nocturnus,amblygobius nocturnus,P,OM,2
amblygobius_phalaena,amblygobius phalaena,P,OM,3
amblygobius_rainfordi,amblygobius rainfordi,P,OM,2
amblygobius_semicinctus,amblygobius semicinctus,P,OM,2
amblygobius_sp,amblygobius sp,P,OM,2
amblygobius_sphynx,amblygobius sphynx,P,OM,3
amphiprion_akallopisos,amphiprion akallopisos,F,PK,3
amphiprion_akindynos,amphiprion akindynos,F,PK,2
amphiprion_allardi,amphiprion allardi,F,PK,3
amphiprion_bicinctus,amphiprion bicinctus,F,PK,2
amphiprion_chrysopterus,amphiprion chrysopterus,F,PK,3
amphiprion_clarkii,amphiprion clarkii,F,PK,3
amphiprion_ephippium,amphiprion ephippium,F,PK,3
amphiprion_frenatus,amphiprion frenatus,F,PK,3
amphiprion_fuscocaudatus,amphiprion fuscocaudatus,F,PK,3
amphiprion_latezonatus,amphiprion latezonatus,F,PK,3
amphiprion_leucokranos,amphiprion leucokranos,F,PK,2
amphiprion_mccullochi,amphiprion mccullochi,F,PK,3
