pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
35.8778626,24.42748092,39.69465649,39.06976744,27.90697674,33.02325581,27.90697674,58.13953488,13.95348837,52.33160622,38.34196891,9.32642487
46.55172414,46.55172414,6.896551724,33.85826772,62.20472441,3.937007874,14.28571429,85.71428571,0,39.75903614,54.21686747,6.024096386
2.732793522,2.125506073,95.1417004,10.42016807,9.74789916,79.83193277,22.15568862,8.682634731,69.16167665,21.70087977,20.82111437,57.47800587
100,0,0,60.62992126,39.37007874,0,40.90909091,59.09090909,0,58.4,41.6,0
62.5,37.5,0,47.59036145,40.96385542,11.44578313,73.7704918,26.2295082,0,53.72340426,46.27659574,0
56.09756098,21.95121951,21.95121951,48.57142857,45,6.428571429,61.53846154,38.46153846,0,42.75862069,57.24137931,0
28.31858407,15.04424779,56.63716814,40.15748031,27.16535433,32.67716535,84.61538462,5.128205128,10.25641026,65.88785047,32.24299065,1.869158879
53.98230088,26.54867257,19.46902655,50.74626866,32.33830846,16.91542289,95.3271028,1.869158879,2.803738318,66.16915423,33.33333333,0.497512438
65.55555556,21.11111111,13.33333333,58.7628866,26.28865979,14.94845361,84.34782609,2.608695652,13.04347826,69.91150442,24.33628319,5.752212389
47.01492537,21.64179104,31.34328358,49.74874372,35.67839196,14.57286432,91.66666667,8.333333333,0,62.75303644,29.55465587,7.692307692
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.07142857,58.92857143,0,49.75609756,47.80487805,2.43902439,60,40,0,49.30555556,49.65277778,1.041666667
46.03960396,19.30693069,34.65346535,42.8030303,37.87878788,19.31818182,62.66666667,37.33333333,0,46.18320611,48.47328244,5.34351145
100,0,0,55.46875,33.59375,10.9375,50,50,0,60.97560976,38.21138211,0.81300813
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40.24390244,59.75609756,0,46.64179104,39.92537313,13.43283582,94.82758621,5.172413793,0,57.60869565,40.57971014,1.811594203
38.0952381,61.9047619,0,59.79899497,40.20100503,0,87.3015873,12.6984127,0,61.25,38.75,0
39.28571429,60.71428571,0,50.24875622,49.75124378,0,66.66666667,33.33333333,0,52.20883534,47.79116466,0
41.46341463,58.53658537,0,55.18518519,42.22222222,2.592592593,82.60869565,17.39130435,0,60.11904762,38.39285714,1.488095238
19.29824561,80.70175439,0,36.02484472,63.97515528,0,58.33333333,41.66666667,0,36.74418605,63.25581395,0
8.362369338,11.49825784,80.13937282,10.86956522,24.7826087,64.34782609,0,100,0,24.69879518,71.68674699,3.614457831
53.16455696,46.83544304,0,47.82608696,33.15217391,19.02173913,65.85365854,34.14634146,0,51.36363636,41.36363636,7.272727273
51.08695652,48.91304348,0,54.87179487,32.82051282,12.30769231,78.26086957,21.73913043,0,52.74261603,43.88185654,3.375527426
60.52631579,39.47368421,0,50,31.41025641,18.58974359,72.72727273,27.27272727,0,68.14159292,23.00884956,8.849557522
36.44067797,63.55932203,0,32.77310924,51.68067227,15.54621849,39.74358974,60.25641026,0,38.79003559,59.78647687,1.423487544
33.60655738,22.13114754,44.26229508,42.85714286,30.43478261,26.70807453,65.11627907,27.90697674,6.976744186,49.18032787,38.79781421,12.02185792
13.33333333,17.94871795,68.71794872,20.60301508,37.18592965,42.21105528,3.921568627,90.19607843,5.882352941,32.94117647,65.29411765,1.764705882
31.81818182,43.18181818,25,33.33333333,47.61904762,19.04761905,53.33333333,46.66666667,0,39.44444444,58.88888889,1.666666667
20.76502732,10.38251366,68.85245902,25.10121457,21.05263158,53.84615385,56.25,29.6875,14.0625,39.66244726,34.59915612,25.73839662
37.66233766,44.15584416,18.18181818,10.58823529,21.76470588,67.64705882,7.5,92.5,0,31.44104803,53.27510917,15.28384279
22.42990654,36.44859813,41.12149533,18.82845188,37.65690377,43.51464435,8.333333333,91.66666667,0,28.33333333,68.88888889,2.777777778
18.91891892,9.009009009,72.07207207,23.10469314,14.44043321,62.45487365,28.66242038,8.280254777,63.05732484,34.14634146,34.95934959,30.89430894
58.2278481,36.70886076,5.063291139,45.91836735,27.04081633,27.04081633,42.01680672,7.56302521,50.42016807,46.42857143,37.5,16.07142857
