"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"1","Intercept","b_Richness_Intercept",0.9,0.5,"median",-1.16492257407391,-0.845310025831736,-0.650188468783221,-0.45264668476017,-0.186137424356883,"TRANSIENT","Richness","Intercept"
"2","Richness","b_Richness_Richness",NA,NA,"median",0,0,0,0,0,"TRANSIENT","Richness","Richness"
"3","Temperature","b_Richness_temp",0.9,0.5,"median",0.0624186505841884,0.128345304181277,0.174819773691927,0.222821196494857,0.289388440315806,"TRANSIENT","Richness","Human/Env."
"4","Tot.Gravity","b_Richness_log_grav_total",0.9,0.5,"median",-0.0743932658960497,-0.0218059831480193,0.0132381033718446,0.0477031004027472,0.0957250951507991,"TRANSIENT","Richness","Human/Env."
"5","No-Take","b_Richness_ClassClosed",0.9,0.5,"median",-0.049214690144378,0.132038861524511,0.250795045814026,0.372517593019341,0.548951968187605,"TRANSIENT","Richness","Human/Env."
"6","Restricted gears","b_Richness_ClassRestricted",0.9,0.5,"median",-0.131898430756227,0.0411156745175858,0.157727517268258,0.274157396607093,0.436002189899671,"TRANSIENT","Richness","Human/Env."
"7","Netflow","b_Richness_Netflow",0.9,0.5,"median",-0.618899862472725,-0.40590173707202,-0.25267311321204,-0.104623125240212,0.119831041099916,"TRANSIENT","Richness","Intrinsic Connect."
"8","Inflow","b_Richness_log_InflowBR",0.9,0.5,"median",-0.135739329446627,0.0663606695959933,0.193431892298712,0.317209624879994,0.511286745375848,"TRANSIENT","Richness","Intrinsic Connect."
"9","Self Recruit.","b_Richness_log_SelfR",0.9,0.5,"median",-0.373172122055032,-0.207567013752426,-0.094596365842899,0.0208114673323747,0.186832581953131,"TRANSIENT","Richness","Intrinsic Connect."
"10","Gravity Neighb.","b_Richness_log_grav_neiBR",0.9,0.5,"median",-0.0601252628759986,-0.010004231312784,0.0201265214200612,0.0485613120812143,0.0870643363420045,"TRANSIENT","Richness","Extrinsic Connect."
"11","Inflow Neighb.","b_Richness_log_InflowNeiBR",0.9,0.5,"median",-0.147379813014066,-0.0713402890763723,-0.0137263877653041,0.0487314988304322,0.14841660573903,"TRANSIENT","Richness","Extrinsic Connect."
"12","Tot.Gravity x No-Take","b_Richness_log_grav_total:ClassClosed",0.9,0.5,"median",-0.128839517429587,-0.0530169828983728,0.00106648443808396,0.0551474569254852,0.132854799867137,"TRANSIENT","Richness","Human/Env."
"13","Tot.Gravity x Restricted gears","b_Richness_log_grav_total:ClassRestricted",0.9,0.5,"median",-0.120864633377721,-0.0520553308962258,-0.00178626864932522,0.0488229428290435,0.12417566426302,"TRANSIENT","Richness","Human/Env."
"14","Tot.Gravity x Netflow","b_Richness_log_grav_total:Netflow",0.9,0.5,"median",-0.056173284142881,0.0122158504862172,0.0580789485678884,0.105879742827998,0.175942395704203,"TRANSIENT","Richness","Intrinsic Connect."
"15","No-Take x Netflow","b_Richness_ClassClosed:Netflow",0.9,0.5,"median",0.00212261585082221,0.271625341891703,0.445096867707734,0.617090434982898,0.864601613051722,"TRANSIENT","Richness","Intrinsic Connect."
