"","PARAM","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","FE","model","CAT"
"1","Intercept","b_logbiomassarea_Intercept",0.9,0.5,"median",4.98456376671087,5.14292991725149,5.25032794511837,5.35499000070569,5.52533269600515,"TRANSIENT","Biomass","Intercept"
"2","Temperature","b_logbiomassarea_temp",0.9,0.5,"median",0.0392224352596343,0.111684711612872,0.160439814966139,0.208786609284888,0.277300329634012,"TRANSIENT","Biomass","Human/Env."
"3","Richness","b_logbiomassarea_Richness",0.9,0.5,"median",0.290363792800414,0.358625769304538,0.40730775934294,0.454936164549767,0.529433552616467,"TRANSIENT","Biomass","Richness"
"4","Self Recruit.","b_logbiomassarea_log_SelfR",0.9,0.5,"median",-0.00140248430665445,0.053553126095076,0.0945244205777307,0.134947246198167,0.193712300542455,"TRANSIENT","Biomass","Intrinsic Connect."
"5","Gravity Neighb.","b_logbiomassarea_log_grav_neiBR",0.9,0.5,"median",-0.307426645364897,-0.2122402235073,-0.152444059602161,-0.0880348683015416,0.00460744827905641,"TRANSIENT","Biomass","Extrinsic Connect."
"6","Inflow MPA","b_logbiomassarea_log_InflowMPA",0.9,0.5,"median",-0.224388706851279,-0.149096343831965,-0.0961694492605983,-0.0419437934569403,0.0291309526476575,"TRANSIENT","Biomass","Extrinsic Connect."
"7","Inflow Neighb.","b_logbiomassarea_log_InflowNei",0.9,0.5,"median",-0.212161315022804,-0.137479371152267,-0.0863946695017379,-0.0345144976606923,0.0389496536638303,"TRANSIENT","Biomass","Extrinsic Connect."
"8","Productivity","b_logbiomassarea_prod.annual",0.9,0.5,"median",-0.00982497622683578,0.0543373253815729,0.0994147397848219,0.144417291343315,0.210874960790289,"TRANSIENT","Biomass","Human/Env."
"9","Tot.Gravity","b_logbiomassarea_log_grav_total",0.9,0.5,"median",-0.374698839352446,-0.284859113119789,-0.223979147969168,-0.162847811777402,-0.0732078254268583,"TRANSIENT","Biomass","Human/Env."
"10","Netflow","b_logbiomassarea_Netflow",0.9,0.5,"median",-0.421336018909413,-0.311580247006414,-0.237892672453264,-0.165335450316815,-0.0603100026130323,"TRANSIENT","Biomass","Intrinsic Connect."
